ovis_aries ENSOARG00000017076
capra_hircus ENSCHIG00000026650
bos_taurus ENSBTAG00000010521
sus_scrofa ENSSSCG00000007656
equus_asinus_asinus ENSEASG00005017094
equus_caballus ENSECAG00000020068
ursus_maritimus ENSUMAG00000010707
ursus_americanus ENSUAMG00000007780
ailuropoda_melanoleuca ENSAMEG00000015075
mustela_putorius_furo ENSMPUG00000015669
neovison_vison ENSNVIG00000000743
canis_lupus_familiaris ENSCAFG00000014498
canis_lupus_dingo ENSCAFG00020014054
vulpes_vulpes ENSVVUG00000023410
panthera_tigris_altaica ENSPTIG00000017352
panthera_pardus ENSPPRG00000004947
felis_catus ENSFCAG00000022272
microcebus_murinus ENSMICG00000041865
propithecus_coquereli ENSPCOG00000028251
prolemur_simus ENSPSMG00000001430
otolemur_garnettii ENSOGAG00000026172
pan_troglodytes ENSPTRG00000046172
pan_troglodytes ENSPTRG00000046101
pan_paniscus ENSPPAG00000043042
nomascus_leucogenys ENSNLEG00000008690
pan_paniscus ENSPPAG00000038119
pan_troglodytes ENSPTRG00000033873
homo_sapiens ENSG00000213413
pongo_abelii ENSPPYG00000029529
nomascus_leucogenys ENSNLEG00000011723
colobus_angolensis_palliatus ENSCANG00000029914
piliocolobus_tephrosceles ENSPTEG00000025107
rhinopithecus_roxellana ENSRROG00000037613
rhinopithecus_bieti ENSRBIG00000013796
macaca_fascicularis ENSMFAG00000041336
macaca_mulatta ENSMMUG00000047872
macaca_nemestrina ENSMNEG00000033100
cercocebus_atys ENSCATG00000034669
theropithecus_gelada ENSTGEG00000010700
mandrillus_leucophaeus ENSMLEG00000025335
papio_anubis ENSPANG00000022229
chlorocebus_sabaeus ENSCSAG00000017887
saimiri_boliviensis_boliviensis ENSSBOG00000034075
cebus_capucinus_imitator ENSCCAG00000026096
callithrix_jacchus ENSCJAG00000015383
aotus_nancymaae ENSANAG00000035281
microtus_ochrogaster ENSMOCG00000014941
peromyscus_maniculatus_bairdii ENSPEMG00000016982
cricetulus_griseus_crigri_1.0 ENSCGRG00000007569
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006424
cricetulus_griseus_crigri-picr ENSCGRG00015022628
mesocricetus_auratus ENSMAUG00000020244
mus_spicilegus ENSMSIG00000003326
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000109713
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028919
nannospalax_galili ENSNGAG00000021882
jaculus_jaculus ENSJJAG00000016575
cavia_aperea ENSCAPG00000009986
cavia_porcellus ENSCPOG00000023204
marmota_marmota_marmota ENSMMMG00000012426
urocitellus_parryii ENSUPAG00010018032
castor_canadensis ENSCCNG00000004121
loxodonta_africana ENSLAFG00000031886
procavia_capensis ENSPCAG00000008387
dasypus_novemcinctus ENSDNOG00000041837
