gasterosteus_aculeatus ENSGACG00000013953
mola_mola ENSMMOG00000003913
labrus_bergylta ENSLBEG00000027689
monopterus_albus ENSMALG00000005138
seriola_lalandi_dorsalis ENSSLDG00000004743
anabas_testudineus ENSATEG00000010379
amphiprion_ocellaris ENSAOCG00000021273
amphiprion_percula ENSAPEG00000006436
acanthochromis_polyacanthus ENSAPOG00000024061
stegastes_partitus ENSSPAG00000012795
astatotilapia_calliptera ENSACLG00000027729
maylandia_zebra ENSMZEG00005004128
maylandia_zebra ENSMZEG00005005581
pundamilia_nyererei ENSPNYG00000014213
neolamprologus_brichardi ENSNBRG00000008975
maylandia_zebra ENSMZEG00005005963
oreochromis_niloticus ENSONIG00000016189
amphilophus_citrinellus ENSACIG00000017070
seriola_dumerili ENSSDUG00000009546
seriola_lalandi_dorsalis ENSSLDG00000002937
scophthalmus_maximus ENSSMAG00000005396
periophthalmus_magnuspinnatus ENSPMGG00000016108
monopterus_albus ENSMALG00000012871
monopterus_albus ENSMALG00000012746
mastacembelus_armatus ENSMAMG00000007157
cyprinodon_variegatus ENSCVAG00000017148
fundulus_heteroclitus ENSFHEG00000001069
xiphophorus_maculatus ENSXMAG00000014482
xiphophorus_couchianus ENSXCOG00000008424
gambusia_affinis ENSGAFG00000008243
poecilia_formosa ENSPFOG00000014304
poecilia_latipinna ENSPLAG00000020686
poecilia_mexicana ENSPMEG00000013051
poecilia_reticulata ENSPREG00000005073
kryptolebias_marmoratus ENSKMAG00000012943
oryzias_latipes_asm223471v1 ENSORLG00020020019
oryzias_latipes_asm223467v1 ENSORLG00000014281
oryzias_latipes_asm223469v1 ENSORLG00015004905
oryzias_melastigma ENSOMEG00000018299
takifugu_rubripes ENSTRUG00000003475
hippocampus_comes ENSHCOG00000015565
oryzias_latipes_asm223469v1 ENSORLG00015004921
oryzias_latipes_asm223471v1 ENSORLG00020020081
haplochromis_burtoni ENSHBUG00000009101
maylandia_zebra ENSMZEG00005005930
astatotilapia_calliptera ENSACLG00000027745
astatotilapia_calliptera ENSACLG00000027746
astatotilapia_calliptera ENSACLG00000027748
amphilophus_citrinellus ENSACIG00000017172
fundulus_heteroclitus ENSFHEG00000001065
anabas_testudineus ENSATEG00000010360
hippocampus_comes ENSHCOG00000015162
cynoglossus_semilaevis ENSCSEG00000019141
gadus_morhua ENSGMOG00000015778
