bison_bison_bison ENSBBBG00000004123
myotis_lucifugus ENSMLUG00000010306
ursus_americanus ENSUAMG00000004007
ursus_americanus ENSUAMG00000014775
ursus_maritimus ENSUMAG00000004396
ailuropoda_melanoleuca ENSAMEG00000018386
neovison_vison ENSNVIG00000012078
mustela_putorius_furo ENSMPUG00000016600
canis_lupus_dingo ENSCAFG00020015792
canis_lupus_familiaris ENSCAFG00000000040
vulpes_vulpes ENSVVUG00000018460
panthera_pardus ENSPPRG00000019248
panthera_tigris_altaica ENSPTIG00000011915
felis_catus ENSFCAG00000015556
tupaia_belangeri ENSTBEG00000010213
fukomys_damarensis ENSFDAG00000005881
pan_paniscus ENSPPAG00000030026
pan_troglodytes ENSPTRG00000010100
gorilla_gorilla ENSGGOG00000040790
homo_sapiens ENSG00000150636
pongo_abelii ENSPPYG00000009230
nomascus_leucogenys ENSNLEG00000009091
papio_anubis ENSPANG00000014792
theropithecus_gelada ENSTGEG00000005150
mandrillus_leucophaeus ENSMLEG00000035176
cercocebus_atys ENSCATG00000031916
macaca_mulatta ENSMMUG00000022902
macaca_fascicularis ENSMFAG00000037114
macaca_nemestrina ENSMNEG00000039465
chlorocebus_sabaeus ENSCSAG00000018216
colobus_angolensis_palliatus ENSCANG00000038940
piliocolobus_tephrosceles ENSPTEG00000030832
rhinopithecus_bieti ENSRBIG00000028851
rhinopithecus_roxellana ENSRROG00000018755
cebus_capucinus_imitator ENSCCAG00000022404
callithrix_jacchus ENSCJAG00000003033
carlito_syrichta ENSTSYG00000000134
propithecus_coquereli ENSPCOG00000020195
prolemur_simus ENSPSMG00000020964
otolemur_garnettii ENSOGAG00000000472
procavia_capensis ENSPCAG00000012774
gallus_gallus ENSGALG00000019509
danio_rerio ENSDARG00000076534
