meleagris_gallopavo ENSMGAG00000001386
coturnix_japonica ENSCJPG00005006174
gallus_gallus ENSGALG00000053742
numida_meleagris ENSNMEG00000007872
anser_brachyrhynchus ENSABRG00000004289
junco_hyemalis ENSJHYG00000013932
zonotrichia_albicollis ENSZALG00000002437
serinus_canaria ENSSCAG00000001281
lonchura_striata_domestica ENSLSDG00000000123
ficedula_albicollis ENSFALG00000011585
cyanistes_caeruleus ENSCCEG00000022657
parus_major ENSPMJG00000004792
calidris_pugnax ENSCPUG00000012615
calidris_pygmaea ENSCPGG00000017747
apteryx_owenii ENSAOWG00000014134
apteryx_haastii ENSAHAG00000019530
apteryx_rowi ENSARWG00000015477
dromaius_novaehollandiae ENSDNVG00000005693
crocodylus_porosus ENSCPRG00005012164
chrysemys_picta_bellii ENSCPBG00000007744
pogona_vitticeps ENSPVIG00000024207
salvator_merianae ENSSMRG00000010554
xenopus_tropicalis ENSXETG00000030132
amphiprion_ocellaris ENSAOCG00000004955
amphiprion_percula ENSAPEG00000003608
acanthochromis_polyacanthus ENSAPOG00000014602
stegastes_partitus ENSSPAG00000002192
maylandia_zebra ENSMZEG00005020630
astatotilapia_calliptera ENSACLG00000025613
pundamilia_nyererei ENSPNYG00000019675
haplochromis_burtoni ENSHBUG00000007254
neolamprologus_brichardi ENSNBRG00000002369
oreochromis_niloticus ENSONIG00000012552
amphilophus_citrinellus ENSACIG00000009947
cyprinodon_variegatus ENSCVAG00000012995
fundulus_heteroclitus ENSFHEG00000018382
xiphophorus_maculatus ENSXMAG00000006078
xiphophorus_couchianus ENSXCOG00000003633
gambusia_affinis ENSGAFG00000014121
poecilia_formosa ENSPFOG00000022006
poecilia_latipinna ENSPLAG00000004233
poecilia_mexicana ENSPMEG00000019195
poecilia_reticulata ENSPREG00000007882
kryptolebias_marmoratus ENSKMAG00000007440
oryzias_latipes_asm223467v1 ENSORLG00000006821
oryzias_latipes_asm223469v1 ENSORLG00015014537
oryzias_latipes_asm223471v1 ENSORLG00020018822
oryzias_melastigma ENSOMEG00000019926
mastacembelus_armatus ENSMAMG00000002883
monopterus_albus ENSMALG00000014034
anabas_testudineus ENSATEG00000014119
cynoglossus_semilaevis ENSCSEG00000015828
seriola_dumerili ENSSDUG00000007403
seriola_lalandi_dorsalis ENSSLDG00000024953
scophthalmus_maximus ENSSMAG00000021224
takifugu_rubripes ENSTRUG00000010717
tetraodon_nigroviridis ENSTNIG00000010077
mola_mola ENSMMOG00000008362
gasterosteus_aculeatus ENSGACG00000008821
labrus_bergylta ENSLBEG00000022099
periophthalmus_magnuspinnatus ENSPMGG00000011672
hippocampus_comes ENSHCOG00000009886
gadus_morhua ENSGMOG00000000950
esox_lucius ENSELUG00000013583
astyanax_mexicanus ENSAMXG00000034594
pygocentrus_nattereri ENSPNAG00000022535
ictalurus_punctatus ENSIPUG00000024945
danio_rerio ENSDARG00000103522
scleropages_formosus ENSSFOG00015018196
paramormyrops_kingsleyae ENSPKIG00000013010
scleropages_formosus ENSSFOG00015015759
paramormyrops_kingsleyae ENSPKIG00000001307
takifugu_rubripes ENSTRUG00000023054
tetraodon_nigroviridis ENSTNIG00000015339
labrus_bergylta ENSLBEG00000001822
anabas_testudineus ENSATEG00000016288
monopterus_albus ENSMALG00000021643
seriola_dumerili ENSSDUG00000015051
seriola_lalandi_dorsalis ENSSLDG00000018842
scophthalmus_maximus ENSSMAG00000003711
xiphophorus_maculatus ENSXMAG00000019289
gambusia_affinis ENSGAFG00000008190
poecilia_formosa ENSPFOG00000022013
poecilia_latipinna ENSPLAG00000019606
poecilia_mexicana ENSPMEG00000021207
fundulus_heteroclitus ENSFHEG00000021467
kryptolebias_marmoratus ENSKMAG00000007341
oryzias_latipes_asm223467v1 ENSORLG00000024445
oryzias_latipes_asm223471v1 ENSORLG00020018004
oryzias_latipes_asm223469v1 ENSORLG00015018229
oryzias_melastigma ENSOMEG00000019699
amphiprion_ocellaris ENSAOCG00000018943
acanthochromis_polyacanthus ENSAPOG00000024203
stegastes_partitus ENSSPAG00000003106
haplochromis_burtoni ENSHBUG00000021016
maylandia_zebra ENSMZEG00005025650
astatotilapia_calliptera ENSACLG00000003316
oreochromis_niloticus ENSONIG00000010263
esox_lucius ENSELUG00000007717
astyanax_mexicanus ENSAMXG00000012429
pygocentrus_nattereri ENSPNAG00000002174
ictalurus_punctatus ENSIPUG00000016727
lepisosteus_oculatus ENSLOCG00000000216
