vicugna_pacos ENSVPAG00000004880
sus_scrofa ENSSSCG00000011518
capra_hircus ENSCHIG00000012271
ovis_aries ENSOARG00000009547
bos_mutus ENSBMUG00000022905
bos_taurus ENSBTAG00000005436
bison_bison_bison ENSBBBG00000006026
tursiops_truncatus ENSTTRG00000005320
myotis_lucifugus ENSMLUG00000013539
ailuropoda_melanoleuca ENSAMEG00000015140
ursus_maritimus ENSUMAG00000024031
mustela_putorius_furo ENSMPUG00000017006
neovison_vison ENSNVIG00000003089
canis_lupus_familiaris ENSCAFG00000006434
canis_lupus_dingo ENSCAFG00020016743
vulpes_vulpes ENSVVUG00000013906
panthera_pardus ENSPPRG00000004769
panthera_tigris_altaica ENSPTIG00000011478
felis_catus ENSFCAG00000012781
urocitellus_parryii ENSUPAG00010021581
marmota_marmota_marmota ENSMMMG00000006887
ictidomys_tridecemlineatus ENSSTOG00000010043
castor_canadensis ENSCCNG00000007758
mus_spicilegus ENSMSIG00000030841
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000035378
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029717
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028689
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022440
rattus_norvegicus ENSRNOG00000005433
meriones_unguiculatus ENSMUGG00000007802
cricetulus_griseus_crigri-picr ENSCGRG00015017330
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012583
cricetulus_griseus_crigri_1.0 ENSCGRG00000009849
mesocricetus_auratus ENSMAUG00000022030
peromyscus_maniculatus_bairdii ENSPEMG00000000251
microtus_ochrogaster ENSMOCG00000017836
nannospalax_galili ENSNGAG00000023317
jaculus_jaculus ENSJJAG00000017611
chinchilla_lanigera ENSCLAG00000004206
octodon_degus ENSODEG00000009192
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003637
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011957
fukomys_damarensis ENSFDAG00000005595
cavia_aperea ENSCAPG00000009343
cavia_porcellus ENSCPOG00000011443
choloepus_hoffmanni ENSCHOG00000003273
equus_asinus_asinus ENSEASG00005002237
equus_caballus ENSECAG00000015673
pteropus_vampyrus ENSPVAG00000017392
pan_troglodytes ENSPTRG00000048303
pan_paniscus ENSPPAG00000043263
macaca_mulatta ENSMMUG00000021761
macaca_fascicularis ENSMFAG00000037396
callithrix_jacchus ENSCJAG00000015131
cebus_capucinus_imitator ENSCCAG00000027080
saimiri_boliviensis_boliviensis ENSSBOG00000021038
aotus_nancymaae ENSANAG00000029241
pan_paniscus ENSPPAG00000027714
pan_troglodytes ENSPTRG00000015106
homo_sapiens ENSG00000144736
gorilla_gorilla ENSGGOG00000034818
pongo_abelii ENSPPYG00000013717
