astyanax_mexicanus ENSAMXG00000033486
pygocentrus_nattereri ENSPNAG00000013945
fundulus_heteroclitus ENSFHEG00000021282
cyprinodon_variegatus ENSCVAG00000007797
poecilia_reticulata ENSPREG00000011171
poecilia_latipinna ENSPLAG00000004001
poecilia_mexicana ENSPMEG00000021122
xiphophorus_maculatus ENSXMAG00000023989
xiphophorus_couchianus ENSXCOG00000003752
gambusia_affinis ENSGAFG00000020763
oryzias_latipes_asm223467v1 ENSORLG00000029307
oryzias_latipes_asm223471v1 ENSORLG00020008312
oryzias_latipes_asm223469v1 ENSORLG00015001501
oryzias_melastigma ENSOMEG00000019359
astatotilapia_calliptera ENSACLG00000014281
haplochromis_burtoni ENSHBUG00000018262
maylandia_zebra ENSMZEG00005000486
pundamilia_nyererei ENSPNYG00000014956
neolamprologus_brichardi ENSNBRG00000015089
amphiprion_ocellaris ENSAOCG00000019285
amphiprion_percula ENSAPEG00000021620
stegastes_partitus ENSSPAG00000011741
stegastes_partitus ENSSPAG00000020687
seriola_lalandi_dorsalis ENSSLDG00000004058
cynoglossus_semilaevis ENSCSEG00000007333
anabas_testudineus ENSATEG00000010195
scophthalmus_maximus ENSSMAG00000013793
mola_mola ENSMMOG00000001670
takifugu_rubripes ENSTRUG00000023761
labrus_bergylta ENSLBEG00000014710
hippocampus_comes ENSHCOG00000018693
scleropages_formosus ENSSFOG00015019439
