castor_canadensis ENSCCNG00000027537
dipodomys_ordii ENSDORG00000009447
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021017
mus_spicilegus ENSMSIG00000018648
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000036046
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020120
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020125
rattus_norvegicus ENSRNOG00000031269
meriones_unguiculatus ENSMUGG00000000416
cricetulus_griseus_crigri-picr ENSCGRG00015021835
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002605
cricetulus_griseus_crigri_1.0 ENSCGRG00000004501
peromyscus_maniculatus_bairdii ENSPEMG00000023019
microtus_ochrogaster ENSMOCG00000004477
nannospalax_galili ENSNGAG00000000395
jaculus_jaculus ENSJJAG00000020167
ictidomys_tridecemlineatus ENSSTOG00000028637
urocitellus_parryii ENSUPAG00010001482
marmota_marmota_marmota ENSMMMG00000022944
spermophilus_dauricus ENSSDAG00000005341
panthera_tigris_altaica ENSPTIG00000006422
ursus_americanus ENSUAMG00000021673
ursus_maritimus ENSUMAG00000019876
ailuropoda_melanoleuca ENSAMEG00000009051
mustela_putorius_furo ENSMPUG00000016254
neovison_vison ENSNVIG00000021399
canis_lupus_familiaris ENSCAFG00000000850
canis_lupus_dingo ENSCAFG00020009512
vulpes_vulpes ENSVVUG00000028591
felis_catus ENSFCAG00000003281
panthera_pardus ENSPPRG00000006875
equus_asinus_asinus ENSEASG00005021773
equus_caballus ENSECAG00000023036
sus_scrofa ENSSSCG00000000018
tursiops_truncatus ENSTTRG00000000964
bos_mutus ENSBMUG00000022766
bos_taurus ENSBTAG00000006776
bison_bison_bison ENSBBBG00000013049
capra_hircus ENSCHIG00000016225
ovis_aries ENSOARG00000019337
mesocricetus_auratus ENSMAUG00000021935
loxodonta_africana ENSLAFG00000012771
echinops_telfairi ENSETEG00000015090
pteropus_vampyrus ENSPVAG00000004274
myotis_lucifugus ENSMLUG00000001212
carlito_syrichta ENSTSYG00000030833
pan_troglodytes ENSPTRG00000051816
pan_paniscus ENSPPAG00000036604
homo_sapiens ENSG00000100364
gorilla_gorilla ENSGGOG00000001170
nomascus_leucogenys ENSNLEG00000034466
pongo_abelii ENSPPYG00000011929
theropithecus_gelada ENSTGEG00000004649
papio_anubis ENSPANG00000009725
cercocebus_atys ENSCATG00000031269
macaca_mulatta ENSMMUG00000004131
chlorocebus_sabaeus ENSCSAG00000005354
rhinopithecus_roxellana ENSRROG00000040478
rhinopithecus_bieti ENSRBIG00000032111
colobus_angolensis_palliatus ENSCANG00000022263
piliocolobus_tephrosceles ENSPTEG00000034557
macaca_nemestrina ENSMNEG00000040052
macaca_fascicularis ENSMFAG00000041430
mandrillus_leucophaeus ENSMLEG00000043190
cebus_capucinus_imitator ENSCCAG00000035840
saimiri_boliviensis_boliviensis ENSSBOG00000020222
callithrix_jacchus ENSCJAG00000016255
aotus_nancymaae ENSANAG00000031867
prolemur_simus ENSPSMG00000011705
microcebus_murinus ENSMICG00000006848
propithecus_coquereli ENSPCOG00000019896
otolemur_garnettii ENSOGAG00000002323
chinchilla_lanigera ENSCLAG00000016457
octodon_degus ENSODEG00000015023
cavia_porcellus ENSCPOG00000032175
cavia_aperea ENSCAPG00000013662
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008631
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010540
fukomys_damarensis ENSFDAG00000000723
oryctolagus_cuniculus ENSOCUG00000001886
ochotona_princeps ENSOPRG00000002314
erinaceus_europaeus ENSEEUG00000005581
dasypus_novemcinctus ENSDNOG00000040412
phascolarctos_cinereus ENSPCIG00000012457
notamacropus_eugenii ENSMEUG00000010235
monodelphis_domestica ENSMODG00000007132
sarcophilus_harrisii ENSSHAG00000006410
ornithorhynchus_anatinus ENSOANG00000015794
manacus_vitellinus ENSMVIG00005009044
manacus_vitellinus ENSMVIG00005009932
lepidothrix_coronata ENSLCOG00000010442
nothoprocta_perdicaria ENSNPEG00000005582
xenopus_tropicalis ENSXETG00000003062
scleropages_formosus ENSSFOG00015011536
paramormyrops_kingsleyae ENSPKIG00000018993
paramormyrops_kingsleyae ENSPKIG00000001561
lepisosteus_oculatus ENSLOCG00000016527
pygocentrus_nattereri ENSPNAG00000007624
astyanax_mexicanus ENSAMXG00000017353
ictalurus_punctatus ENSIPUG00000011717
danio_rerio ENSDARG00000068830
esox_lucius ENSELUG00000009142
periophthalmus_magnuspinnatus ENSPMGG00000016679
oryzias_latipes_asm223471v1 ENSORLG00020003645
oryzias_latipes_asm223469v1 ENSORLG00015002897
oryzias_latipes_asm223467v1 ENSORLG00000020067
oryzias_melastigma ENSOMEG00000021189
gasterosteus_aculeatus ENSGACG00000000578
labrus_bergylta ENSLBEG00000000275
labrus_bergylta ENSLBEG00000015530
mola_mola ENSMMOG00000005993
mastacembelus_armatus ENSMAMG00000020662
monopterus_albus ENSMALG00000007716
anabas_testudineus ENSATEG00000000557
maylandia_zebra ENSMZEG00005018930
astatotilapia_calliptera ENSACLG00000008334
pundamilia_nyererei ENSPNYG00000022791
haplochromis_burtoni ENSHBUG00000020506
neolamprologus_brichardi ENSNBRG00000017274
oreochromis_niloticus ENSONIG00000007482
amphilophus_citrinellus ENSACIG00000009209
seriola_dumerili ENSSDUG00000012657
seriola_lalandi_dorsalis ENSSLDG00000019389
scophthalmus_maximus ENSSMAG00000004949
cyprinodon_variegatus ENSCVAG00000008440
fundulus_heteroclitus ENSFHEG00000006834
poecilia_formosa ENSPFOG00000015526
