carlito_syrichta ENSTSYG00000009627
macaca_mulatta ENSMMUG00000041354
ictidomys_tridecemlineatus ENSSTOG00000009663
marmota_marmota_marmota ENSMMMG00000023583
urocitellus_parryii ENSUPAG00010015031
spermophilus_dauricus ENSSDAG00000006187
dipodomys_ordii ENSDORG00000010653
propithecus_coquereli ENSPCOG00000022752
prolemur_simus ENSPSMG00000006465
microcebus_murinus ENSMICG00000016450
otolemur_garnettii ENSOGAG00000010497
pan_paniscus ENSPPAG00000014753
pan_troglodytes ENSPTRG00000023452
homo_sapiens ENSG00000198010
gorilla_gorilla ENSGGOG00000007585
pongo_abelii ENSPPYG00000018305
nomascus_leucogenys ENSNLEG00000014860
colobus_angolensis_palliatus ENSCANG00000036559
piliocolobus_tephrosceles ENSPTEG00000019279
rhinopithecus_roxellana ENSRROG00000036121
rhinopithecus_bieti ENSRBIG00000043071
macaca_fascicularis ENSMFAG00000034180
macaca_nemestrina ENSMNEG00000034116
chlorocebus_sabaeus ENSCSAG00000017056
theropithecus_gelada ENSTGEG00000018793
papio_anubis ENSPANG00000008566
mandrillus_leucophaeus ENSMLEG00000042320
cercocebus_atys ENSCATG00000031093
cebus_capucinus_imitator ENSCCAG00000022787
saimiri_boliviensis_boliviensis ENSSBOG00000023111
callithrix_jacchus ENSCJAG00000004541
aotus_nancymaae ENSANAG00000022994
capra_hircus ENSCHIG00000016087
ovis_aries ENSOARG00000005527
bos_mutus ENSBMUG00000010570
bos_taurus ENSBTAG00000051728
bison_bison_bison ENSBBBG00000016463
bos_taurus ENSBTAG00000052574
tursiops_truncatus ENSTTRG00000012322
sus_scrofa ENSSSCG00000015746
erinaceus_europaeus ENSEEUG00000012152
pteropus_vampyrus ENSPVAG00000001813
oryctolagus_cuniculus ENSOCUG00000016045
ochotona_princeps ENSOPRG00000000606
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024911
cricetulus_griseus_crigri_1.0 ENSCGRG00000000987
cricetulus_griseus_crigri-picr ENSCGRG00015020794
mesocricetus_auratus ENSMAUG00000017371
peromyscus_maniculatus_bairdii ENSPEMG00000024199
microtus_ochrogaster ENSMOCG00000013444
mus_spicilegus ENSMSIG00000016678
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047495
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031965
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021318
rattus_norvegicus ENSRNOG00000012573
meriones_unguiculatus ENSMUGG00000024494
nannospalax_galili ENSNGAG00000017745
jaculus_jaculus ENSJJAG00000015120
chinchilla_lanigera ENSCLAG00000015401
octodon_degus ENSODEG00000001173
cavia_aperea ENSCAPG00000013778
cavia_porcellus ENSCPOG00000011579
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003073
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001171
fukomys_damarensis ENSFDAG00000013651
equus_caballus ENSECAG00000020427
equus_asinus_asinus ENSEASG00005008406
ursus_maritimus ENSUMAG00000023290
ursus_americanus ENSUAMG00000003443
ailuropoda_melanoleuca ENSAMEG00000010029
neovison_vison ENSNVIG00000002615
mustela_putorius_furo ENSMPUG00000002980
canis_lupus_familiaris ENSCAFG00000016291
canis_lupus_dingo ENSCAFG00020026628
vulpes_vulpes ENSVVUG00000023853
panthera_pardus ENSPPRG00000000363
panthera_tigris_altaica ENSPTIG00000011694
felis_catus ENSFCAG00000000631
echinops_telfairi ENSETEG00000016053
procavia_capensis ENSPCAG00000011343
loxodonta_africana ENSLAFG00000007154
choloepus_hoffmanni ENSCHOG00000001702
dasypus_novemcinctus ENSDNOG00000006303
phascolarctos_cinereus ENSPCIG00000021372
notamacropus_eugenii ENSMEUG00000012444
monodelphis_domestica ENSMODG00000014224
sarcophilus_harrisii ENSSHAG00000017284
ornithorhynchus_anatinus ENSOANG00000014126
apteryx_haastii ENSAHAG00000004158
apteryx_owenii ENSAOWG00000013795
apteryx_rowi ENSARWG00000002870
dromaius_novaehollandiae ENSDNVG00000009761
nothoprocta_perdicaria ENSNPEG00000015862
calidris_pugnax ENSCPUG00000009325
calidris_pygmaea ENSCPGG00000015240
melopsittacus_undulatus ENSMUNG00000014075
taeniopygia_guttata ENSTGUG00000012930
lonchura_striata_domestica ENSLSDG00000012828
serinus_canaria ENSSCAG00000011697
junco_hyemalis ENSJHYG00000012015
zonotrichia_albicollis ENSZALG00000010068
parus_major ENSPMJG00000009667
cyanistes_caeruleus ENSCCEG00000005461
ficedula_albicollis ENSFALG00000001965
lepidothrix_coronata ENSLCOG00000015375
manacus_vitellinus ENSMVIG00005003765
anser_brachyrhynchus ENSABRG00000020618
anas_platyrhynchos_platyrhynchos ENSAPLG00000012783
gallus_gallus ENSGALG00000032937
coturnix_japonica ENSCJPG00005008169
meleagris_gallopavo ENSMGAG00000013958
numida_meleagris ENSNMEG00000021320
crocodylus_porosus ENSCPRG00005009062
gopherus_agassizii ENSGAGG00000019428
chelonoidis_abingdonii ENSCABG00000019168
chrysemys_picta_bellii ENSCPBG00000021830
pelodiscus_sinensis ENSPSIG00000002442
anolis_carolinensis ENSACAG00000005202
pogona_vitticeps ENSPVIG00000007868
notechis_scutatus ENSNSUG00000007585
salvator_merianae ENSSMRG00000007461
sphenodon_punctatus ENSSPUG00000007448
scleropages_formosus ENSSFOG00015007951
paramormyrops_kingsleyae ENSPKIG00000022262
scophthalmus_maximus ENSSMAG00000007958
cynoglossus_semilaevis ENSCSEG00000000147
takifugu_rubripes ENSTRUG00000010749
