xiphophorus_maculatus ENSXMAG00000004583
xiphophorus_couchianus ENSXCOG00000014709
poecilia_formosa ENSPFOG00000004128
poecilia_mexicana ENSPMEG00000009588
poecilia_latipinna ENSPLAG00000012725
poecilia_reticulata ENSPREG00000017498
gambusia_affinis ENSGAFG00000006921
fundulus_heteroclitus ENSFHEG00000006284
cyprinodon_variegatus ENSCVAG00000002215
oryzias_latipes_asm223471v1 ENSORLG00020021393
oryzias_latipes_asm223467v1 ENSORLG00000015503
oryzias_latipes_asm223469v1 ENSORLG00015000684
oryzias_melastigma ENSOMEG00000020600
takifugu_rubripes ENSTRUG00000014941
tetraodon_nigroviridis ENSTNIG00000011427
cynoglossus_semilaevis ENSCSEG00000009902
maylandia_zebra ENSMZEG00005001656
pundamilia_nyererei ENSPNYG00000008572
astatotilapia_calliptera ENSACLG00000002693
haplochromis_burtoni ENSHBUG00000022679
oreochromis_niloticus ENSONIG00000015879
neolamprologus_brichardi ENSNBRG00000009944
amphilophus_citrinellus ENSACIG00000014521
amphiprion_percula ENSAPEG00000002692
amphiprion_ocellaris ENSAOCG00000009119
acanthochromis_polyacanthus ENSAPOG00000012823
stegastes_partitus ENSSPAG00000004640
kryptolebias_marmoratus ENSKMAG00000008314
monopterus_albus ENSMALG00000016788
mastacembelus_armatus ENSMAMG00000020602
anabas_testudineus ENSATEG00000014657
hippocampus_comes ENSHCOG00000005262
seriola_dumerili ENSSDUG00000003275
seriola_lalandi_dorsalis ENSSLDG00000014746
scophthalmus_maximus ENSSMAG00000020076
gasterosteus_aculeatus ENSGACG00000013234
labrus_bergylta ENSLBEG00000000041
mola_mola ENSMMOG00000014933
periophthalmus_magnuspinnatus ENSPMGG00000008296
gadus_morhua ENSGMOG00000002776
esox_lucius ENSELUG00000005751
astyanax_mexicanus ENSAMXG00000038353
pygocentrus_nattereri ENSPNAG00000007488
ictalurus_punctatus ENSIPUG00000016502
danio_rerio ENSDARG00000035577
scleropages_formosus ENSSFOG00015018350
paramormyrops_kingsleyae ENSPKIG00000001932
lepisosteus_oculatus ENSLOCG00000015345
anolis_carolinensis ENSACAG00000000307
ornithorhynchus_anatinus ENSOANG00000030870
pogona_vitticeps ENSPVIG00000016928
salvator_merianae ENSSMRG00000015496
ornithorhynchus_anatinus ENSOANG00000019761
anas_platyrhynchos_platyrhynchos ENSAPLG00000016097
anser_brachyrhynchus ENSABRG00000011318
gallus_gallus ENSGALG00000030406
coturnix_japonica ENSCJPG00005011977
meleagris_gallopavo ENSMGAG00000000669
numida_meleagris ENSNMEG00000018112
lepidothrix_coronata ENSLCOG00000003346
manacus_vitellinus ENSMVIG00005019191
taeniopygia_guttata ENSTGUG00000004008
lonchura_striata_domestica ENSLSDG00000011712
serinus_canaria ENSSCAG00000016342
junco_hyemalis ENSJHYG00000009302
cyanistes_caeruleus ENSCCEG00000011477
ficedula_albicollis ENSFALG00000000235
melopsittacus_undulatus ENSMUNG00000012560
calidris_pygmaea ENSCPGG00000013346
calidris_pugnax ENSCPUG00000005279
dromaius_novaehollandiae ENSDNVG00000007788
nothoprocta_perdicaria ENSNPEG00000009302
apteryx_haastii ENSAHAG00000007879
apteryx_owenii ENSAOWG00000015403
apteryx_rowi ENSARWG00000012137
crocodylus_porosus ENSCPRG00005016351
gopherus_agassizii ENSGAGG00000010030
chelonoidis_abingdonii ENSCABG00000022725
chrysemys_picta_bellii ENSCPBG00000003128
pelodiscus_sinensis ENSPSIG00000002124
sphenodon_punctatus ENSSPUG00000008381
marmota_marmota_marmota ENSMMMG00000000346
urocitellus_parryii ENSUPAG00010001423
ictidomys_tridecemlineatus ENSSTOG00000006739
spermophilus_dauricus ENSSDAG00000004942
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016290
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007170
fukomys_damarensis ENSFDAG00000015484
chinchilla_lanigera ENSCLAG00000014661
octodon_degus ENSODEG00000006048
cavia_porcellus ENSCPOG00000020201
cavia_aperea ENSCAPG00000017291
castor_canadensis ENSCCNG00000023283
dipodomys_ordii ENSDORG00000004029
mus_spicilegus ENSMSIG00000020417
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000058793
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025259
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024339
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025784
rattus_norvegicus ENSRNOG00000021265
meriones_unguiculatus ENSMUGG00000016967
peromyscus_maniculatus_bairdii ENSPEMG00000028822
microtus_ochrogaster ENSMOCG00000015701
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021649
cricetulus_griseus_crigri_1.0 ENSCGRG00000004472
cricetulus_griseus_crigri-picr ENSCGRG00015011045
mesocricetus_auratus ENSMAUG00000011457
nannospalax_galili ENSNGAG00000023718
pan_paniscus ENSPPAG00000038066
pan_troglodytes ENSPTRG00000013223
gorilla_gorilla ENSGGOG00000012340
homo_sapiens ENSG00000101290
pongo_abelii ENSPPYG00000010794
nomascus_leucogenys ENSNLEG00000007730
rhinopithecus_bieti ENSRBIG00000041092
rhinopithecus_roxellana ENSRROG00000038769
piliocolobus_tephrosceles ENSPTEG00000005570
colobus_angolensis_palliatus ENSCANG00000029147
papio_anubis ENSPANG00000011724
cercocebus_atys ENSCATG00000041193
theropithecus_gelada ENSTGEG00000013905
mandrillus_leucophaeus ENSMLEG00000038399
chlorocebus_sabaeus ENSCSAG00000013406
macaca_nemestrina ENSMNEG00000030897
macaca_fascicularis ENSMFAG00000000273
macaca_mulatta ENSMMUG00000013261
saimiri_boliviensis_boliviensis ENSSBOG00000026888
callithrix_jacchus ENSCJAG00000021280
cebus_capucinus_imitator ENSCCAG00000026795
aotus_nancymaae ENSANAG00000035489
carlito_syrichta ENSTSYG00000013452
microcebus_murinus ENSMICG00000009641
prolemur_simus ENSPSMG00000008483
propithecus_coquereli ENSPCOG00000024729
otolemur_garnettii ENSOGAG00000010795
tupaia_belangeri ENSTBEG00000008809
