pundamilia_nyererei ENSPNYG00000000067
haplochromis_burtoni ENSHBUG00000001624
maylandia_zebra ENSMZEG00005005915
astatotilapia_calliptera ENSACLG00000022444
oreochromis_niloticus ENSONIG00000015765
neolamprologus_brichardi ENSNBRG00000021601
amphilophus_citrinellus ENSACIG00000005456
poecilia_formosa ENSPFOG00000002981
poecilia_latipinna ENSPLAG00000007974
poecilia_reticulata ENSPREG00000004120
xiphophorus_maculatus ENSXMAG00000028859
gambusia_affinis ENSGAFG00000000415
poecilia_mexicana ENSPMEG00000014448
fundulus_heteroclitus ENSFHEG00000016633
amphiprion_percula ENSAPEG00000008313
amphiprion_ocellaris ENSAOCG00000014631
acanthochromis_polyacanthus ENSAPOG00000008699
stegastes_partitus ENSSPAG00000022943
monopterus_albus ENSMALG00000011700
mastacembelus_armatus ENSMAMG00000015258
anabas_testudineus ENSATEG00000018376
seriola_lalandi_dorsalis ENSSLDG00000022957
seriola_dumerili ENSSDUG00000013175
scophthalmus_maximus ENSSMAG00000012910
mola_mola ENSMMOG00000009710
oryzias_latipes_asm223469v1 ENSORLG00015014448
oryzias_latipes_asm223467v1 ENSORLG00000009647
oryzias_latipes_asm223471v1 ENSORLG00020019508
oryzias_melastigma ENSOMEG00000016251
cyprinodon_variegatus ENSCVAG00000020949
labrus_bergylta ENSLBEG00000000411
cynoglossus_semilaevis ENSCSEG00000016964
kryptolebias_marmoratus ENSKMAG00000014110
gasterosteus_aculeatus ENSGACG00000018684
periophthalmus_magnuspinnatus ENSPMGG00000008364
takifugu_rubripes ENSTRUG00000025381
tetraodon_nigroviridis ENSTNIG00000001342
xiphophorus_couchianus ENSXCOG00000012570
hippocampus_comes ENSHCOG00000003468
gadus_morhua ENSGMOG00000005604
esox_lucius ENSELUG00000008619
pygocentrus_nattereri ENSPNAG00000008505
astyanax_mexicanus ENSAMXG00000010537
ictalurus_punctatus ENSIPUG00000002466
danio_rerio ENSDARG00000016280
scleropages_formosus ENSSFOG00015007777
paramormyrops_kingsleyae ENSPKIG00000025136
lepisosteus_oculatus ENSLOCG00000001883
chelonoidis_abingdonii ENSCABG00000000429
chrysemys_picta_bellii ENSCPBG00000023432
pelodiscus_sinensis ENSPSIG00000002790
coturnix_japonica ENSCJPG00005003035
numida_meleagris ENSNMEG00000000926
lonchura_striata_domestica ENSLSDG00000004665
salvator_merianae ENSSMRG00000010859
pogona_vitticeps ENSPVIG00000019336
sphenodon_punctatus ENSSPUG00000009425
phascolarctos_cinereus ENSPCIG00000008327
notamacropus_eugenii ENSMEUG00000004948
monodelphis_domestica ENSMODG00000008964
monodelphis_domestica ENSMODG00000024851
sarcophilus_harrisii ENSSHAG00000011448
pan_troglodytes ENSPTRG00000042604
pan_paniscus ENSPPAG00000002124
homo_sapiens ENSG00000175376
gorilla_gorilla ENSGGOG00000011792
pongo_abelii ENSPPYG00000004111
nomascus_leucogenys ENSNLEG00000029280
