scophthalmus_maximus ENSSMAG00000009442
cynoglossus_semilaevis ENSCSEG00000007164
seriola_lalandi_dorsalis ENSSLDG00000018244
seriola_dumerili ENSSDUG00000022565
takifugu_rubripes ENSTRUG00000015406
tetraodon_nigroviridis ENSTNIG00000010676
mola_mola ENSMMOG00000012290
labrus_bergylta ENSLBEG00000000814
gasterosteus_aculeatus ENSGACG00000008794
mastacembelus_armatus ENSMAMG00000018624
monopterus_albus ENSMALG00000001854
anabas_testudineus ENSATEG00000023706
amphiprion_ocellaris ENSAOCG00000007415
amphiprion_percula ENSAPEG00000002818
acanthochromis_polyacanthus ENSAPOG00000002818
stegastes_partitus ENSSPAG00000018439
astatotilapia_calliptera ENSACLG00000012098
pundamilia_nyererei ENSPNYG00000004018
maylandia_zebra ENSMZEG00005026870
haplochromis_burtoni ENSHBUG00000021509
neolamprologus_brichardi ENSNBRG00000018348
oreochromis_niloticus ENSONIG00000020389
amphilophus_citrinellus ENSACIG00000018384
fundulus_heteroclitus ENSFHEG00000003360
cyprinodon_variegatus ENSCVAG00000017672
poecilia_formosa ENSPFOG00000009637
poecilia_mexicana ENSPMEG00000015243
poecilia_latipinna ENSPLAG00000012470
poecilia_reticulata ENSPREG00000021146
xiphophorus_maculatus ENSXMAG00000026372
xiphophorus_couchianus ENSXCOG00000000789
gambusia_affinis ENSGAFG00000021511
kryptolebias_marmoratus ENSKMAG00000019514
oryzias_latipes_asm223471v1 ENSORLG00020008556
oryzias_latipes_asm223469v1 ENSORLG00015004195
oryzias_latipes_asm223467v1 ENSORLG00000008854
oryzias_melastigma ENSOMEG00000002426
hippocampus_comes ENSHCOG00000012486
gadus_morhua ENSGMOG00000008771
esox_lucius ENSELUG00000010012
pygocentrus_nattereri ENSPNAG00000025071
astyanax_mexicanus ENSAMXG00000034295
ictalurus_punctatus ENSIPUG00000010919
danio_rerio ENSDARG00000011371
scleropages_formosus ENSSFOG00015022576
paramormyrops_kingsleyae ENSPKIG00000017169
periophthalmus_magnuspinnatus ENSPMGG00000013250
lepisosteus_oculatus ENSLOCG00000004832
pogona_vitticeps ENSPVIG00000003630
anolis_carolinensis ENSACAG00000005618
notechis_scutatus ENSNSUG00000003510
salvator_merianae ENSSMRG00000015209
sphenodon_punctatus ENSSPUG00000001479
anser_brachyrhynchus ENSABRG00000013300
meleagris_gallopavo ENSMGAG00000016704
lonchura_striata_domestica ENSLSDG00000013145
taeniopygia_guttata ENSTGUG00000016469
serinus_canaria ENSSCAG00000014756
ficedula_albicollis ENSFALG00000008885
parus_major ENSPMJG00000005435
lepidothrix_coronata ENSLCOG00000002878
junco_hyemalis ENSJHYG00000005189
anas_platyrhynchos_platyrhynchos ENSAPLG00000031014
calidris_pugnax ENSCPUG00000004304
calidris_pygmaea ENSCPGG00000015533
apteryx_rowi ENSARWG00000005235
apteryx_haastii ENSAHAG00000006697
apteryx_owenii ENSAOWG00000018942
nothoprocta_perdicaria ENSNPEG00000000698
gallus_gallus ENSGALG00000052156
coturnix_japonica ENSCJPG00005006854
numida_meleagris ENSNMEG00000012393
chelonoidis_abingdonii ENSCABG00000019213
chrysemys_picta_bellii ENSCPBG00000004964
phascolarctos_cinereus ENSPCIG00000002976
monodelphis_domestica ENSMODG00000005013
sarcophilus_harrisii ENSSHAG00000000494
ursus_maritimus ENSUMAG00000001291
ursus_americanus ENSUAMG00000021715
ailuropoda_melanoleuca ENSAMEG00000017279
canis_lupus_dingo ENSCAFG00020014006
canis_lupus_familiaris ENSCAFG00000008572
mustela_putorius_furo ENSMPUG00000007864
neovison_vison ENSNVIG00000000115
panthera_pardus ENSPPRG00000008165
panthera_tigris_altaica ENSPTIG00000020109
felis_catus ENSFCAG00000035186
ovis_aries ENSOARG00000012609
capra_hircus ENSCHIG00000026139
bos_taurus ENSBTAG00000037856
bos_mutus ENSBMUG00000012635
bison_bison_bison ENSBBBG00000005528
sus_scrofa ENSSSCG00000008284
myotis_lucifugus ENSMLUG00000026800
equus_caballus ENSECAG00000023473
equus_asinus_asinus ENSEASG00005010508
piliocolobus_tephrosceles ENSPTEG00000036527
loxodonta_africana ENSLAFG00000028293
ornithorhynchus_anatinus ENSOANG00000010769
xenopus_tropicalis ENSXETG00000014949
latimeria_chalumnae ENSLACG00000000327
eptatretus_burgeri ENSEBUG00000005842
