manacus_vitellinus ENSMVIG00005011443
lepidothrix_coronata ENSLCOG00000006456
lonchura_striata_domestica ENSLSDG00000001639
cyanistes_caeruleus ENSCCEG00000003913
parus_major ENSPMJG00000016455
junco_hyemalis ENSJHYG00000017523
ficedula_albicollis ENSFALG00000003511
melopsittacus_undulatus ENSMUNG00000000266
gallus_gallus ENSGALG00000038666
numida_meleagris ENSNMEG00000002427
anas_platyrhynchos_platyrhynchos ENSAPLG00000021099
apteryx_haastii ENSAHAG00000008510
apteryx_rowi ENSARWG00000011926
apteryx_owenii ENSAOWG00000016845
dromaius_novaehollandiae ENSDNVG00000002501
crocodylus_porosus ENSCPRG00005013323
gopherus_agassizii ENSGAGG00000024582
chelonoidis_abingdonii ENSCABG00000021348
chrysemys_picta_bellii ENSCPBG00000014516
pelodiscus_sinensis ENSPSIG00000013392
anolis_carolinensis ENSACAG00000004547
pogona_vitticeps ENSPVIG00000024369
notechis_scutatus ENSNSUG00000000897
xenopus_tropicalis ENSXETG00000000645
latimeria_chalumnae ENSLACG00000022314
mustela_putorius_furo ENSMPUG00000014532
neovison_vison ENSNVIG00000023614
ursus_maritimus ENSUMAG00000025134
ursus_americanus ENSUAMG00000018746
ailuropoda_melanoleuca ENSAMEG00000012377
canis_lupus_dingo ENSCAFG00020023431
canis_lupus_familiaris ENSCAFG00000023016
vulpes_vulpes ENSVVUG00000028296
panthera_pardus ENSPPRG00000002002
panthera_tigris_altaica ENSPTIG00000016362
felis_catus ENSFCAG00000044922
pteropus_vampyrus ENSPVAG00000008627
bos_taurus ENSBTAG00000025148
bos_mutus ENSBMUG00000006518
bison_bison_bison ENSBBBG00000001083
capra_hircus ENSCHIG00000021313
ovis_aries ENSOARG00000013413
sus_scrofa ENSSSCG00000013670
equus_caballus ENSECAG00000008231
equus_asinus_asinus ENSEASG00005010614
pan_paniscus ENSPPAG00000034634
pan_troglodytes ENSPTRG00000010450
homo_sapiens ENSG00000127452
gorilla_gorilla ENSGGOG00000005995
pongo_abelii ENSPPYG00000009535
nomascus_leucogenys ENSNLEG00000031752
papio_anubis ENSPANG00000003096
theropithecus_gelada ENSTGEG00000023814
mandrillus_leucophaeus ENSMLEG00000042931
macaca_nemestrina ENSMNEG00000043988
macaca_mulatta ENSMMUG00000007875
macaca_fascicularis ENSMFAG00000042424
cercocebus_atys ENSCATG00000042681
chlorocebus_sabaeus ENSCSAG00000007639
piliocolobus_tephrosceles ENSPTEG00000032579
colobus_angolensis_palliatus ENSCANG00000034880
rhinopithecus_roxellana ENSRROG00000030208
rhinopithecus_bieti ENSRBIG00000040385
cebus_capucinus_imitator ENSCCAG00000024683
saimiri_boliviensis_boliviensis ENSSBOG00000032393
aotus_nancymaae ENSANAG00000012926
microcebus_murinus ENSMICG00000033575
prolemur_simus ENSPSMG00000020827
propithecus_coquereli ENSPCOG00000013856
otolemur_garnettii ENSOGAG00000014529
mus_spicilegus ENSMSIG00000017903
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000066892
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032966
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031842
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014708
rattus_norvegicus ENSRNOG00000020368
meriones_unguiculatus ENSMUGG00000020359
cricetulus_griseus_crigri-picr ENSCGRG00015024200
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020026
cricetulus_griseus_crigri_1.0 ENSCGRG00000015422
mesocricetus_auratus ENSMAUG00000001474
peromyscus_maniculatus_bairdii ENSPEMG00000005521
microtus_ochrogaster ENSMOCG00000020422
nannospalax_galili ENSNGAG00000004623
jaculus_jaculus ENSJJAG00000022996
chinchilla_lanigera ENSCLAG00000007941
