astatotilapia_calliptera ENSACLG00000002192
pundamilia_nyererei ENSPNYG00000009243
maylandia_zebra ENSMZEG00005008556
haplochromis_burtoni ENSHBUG00000018138
neolamprologus_brichardi ENSNBRG00000012022
oreochromis_niloticus ENSONIG00000002488
paramormyrops_kingsleyae ENSPKIG00000008290
rhinopithecus_roxellana ENSRROG00000000748
rhinopithecus_bieti ENSRBIG00000001928
microcebus_murinus ENSMICG00000031642
sus_scrofa ENSSSCG00000039149
panthera_tigris_altaica ENSPTIG00000007407
dromaius_novaehollandiae ENSDNVG00000018084
oryzias_latipes_asm223471v1 ENSORLG00020004445
oryzias_latipes_asm223469v1 ENSORLG00015013506
amphilophus_citrinellus ENSACIG00000013966
paramormyrops_kingsleyae ENSPKIG00000013772
urocitellus_parryii ENSUPAG00010008252
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026556
ursus_americanus ENSUAMG00000004979
capra_hircus ENSCHIG00000012272
chrysemys_picta_bellii ENSCPBG00000001469
apteryx_haastii ENSAHAG00000000996
ursus_americanus ENSUAMG00000010237
ursus_maritimus ENSUMAG00000007142
vulpes_vulpes ENSVVUG00000025502
pan_paniscus ENSPPAG00000006610
homo_sapiens ENSG00000165502
gorilla_gorilla ENSGGOG00000011105
gorilla_gorilla ENSGGOG00000043025
pongo_abelii ENSPPYG00000005788
nomascus_leucogenys ENSNLEG00000027347
nomascus_leucogenys ENSNLEG00000029486
microtus_ochrogaster ENSMOCG00000008873
mesocricetus_auratus ENSMAUG00000010433
fukomys_damarensis ENSFDAG00000007772
mus_spicilegus ENSMSIG00000025454
macaca_nemestrina ENSMNEG00000028297
macaca_fascicularis ENSMFAG00000007166
macaca_mulatta ENSMMUG00000029458
rhinopithecus_bieti ENSRBIG00000029653
rhinopithecus_roxellana ENSRROG00000001113
colobus_angolensis_palliatus ENSCANG00000037512
pan_paniscus ENSPPAG00000000113
pan_troglodytes ENSPTRG00000049244
pongo_abelii ENSPPYG00000008627
cebus_capucinus_imitator ENSCCAG00000020064
carlito_syrichta ENSTSYG00000036845
propithecus_coquereli ENSPCOG00000025593
propithecus_coquereli ENSPCOG00000013437
cricetulus_griseus_crigri-picr ENSCGRG00015013452
cricetulus_griseus_crigri-picr ENSCGRG00015013045
cricetulus_griseus_crigri_1.0 ENSCGRG00000005612
microtus_ochrogaster ENSMOCG00000013599
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026055
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000104043
mus_spicilegus ENSMSIG00000020071
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025113
meriones_unguiculatus ENSMUGG00000002506
castor_canadensis ENSCCNG00000004303
dipodomys_ordii ENSDORG00000024085
dipodomys_ordii ENSDORG00000026845
jaculus_jaculus ENSJJAG00000012489
jaculus_jaculus ENSJJAG00000012413
microtus_ochrogaster ENSMOCG00000001337
peromyscus_maniculatus_bairdii ENSPEMG00000024538
octodon_degus ENSODEG00000020207
aotus_nancymaae ENSANAG00000019555
bison_bison_bison ENSBBBG00000015732
vicugna_pacos ENSVPAG00000006484
felis_catus ENSFCAG00000026053
theropithecus_gelada ENSTGEG00000027226
mandrillus_leucophaeus ENSMLEG00000026687
fukomys_damarensis ENSFDAG00000002978
chinchilla_lanigera ENSCLAG00000001847
cricetulus_griseus_crigri_1.0 ENSCGRG00000019091
mus_spicilegus ENSMSIG00000016695
cercocebus_atys ENSCATG00000009670
macaca_mulatta ENSMMUG00000021281
mandrillus_leucophaeus ENSMLEG00000015063
macaca_fascicularis ENSMFAG00000040244
theropithecus_gelada ENSTGEG00000006434
rhinopithecus_bieti ENSRBIG00000006507
cebus_capucinus_imitator ENSCCAG00000031722
rhinopithecus_roxellana ENSRROG00000000313
piliocolobus_tephrosceles ENSPTEG00000001153
macaca_nemestrina ENSMNEG00000028277
theropithecus_gelada ENSTGEG00000006799
cebus_capucinus_imitator ENSCCAG00000013380
propithecus_coquereli ENSPCOG00000012793
sorex_araneus ENSSARG00000014178
spermophilus_dauricus ENSSDAG00000007246
marmota_marmota_marmota ENSMMMG00000004079
dipodomys_ordii ENSDORG00000024600
dipodomys_ordii ENSDORG00000027173
dipodomys_ordii ENSDORG00000023415
castor_canadensis ENSCCNG00000002429
colobus_angolensis_palliatus ENSCANG00000017115
cercocebus_atys ENSCATG00000013963
callithrix_jacchus ENSCJAG00000022873
carlito_syrichta ENSTSYG00000027556
microcebus_murinus ENSMICG00000042436
neovison_vison ENSNVIG00000000493
mustela_putorius_furo ENSMPUG00000018375
papio_anubis ENSPANG00000006946
saimiri_boliviensis_boliviensis ENSSBOG00000018012
panthera_pardus ENSPPRG00000015457
phascolarctos_cinereus ENSPCIG00000020194
gopherus_agassizii ENSGAGG00000001327
pogona_vitticeps ENSPVIG00000011848
latimeria_chalumnae ENSLACG00000017320
gasterosteus_aculeatus ENSGACG00000017482
tetraodon_nigroviridis ENSTNIG00000015751
xiphophorus_maculatus ENSXMAG00000000305
gambusia_affinis ENSGAFG00000001585
poecilia_mexicana ENSPMEG00000017110
fundulus_heteroclitus ENSFHEG00000013948
gadus_morhua ENSGMOG00000011463
danio_rerio ENSDARG00000058105
poecilia_formosa ENSPFOG00000000571
poecilia_latipinna ENSPLAG00000004099
xiphophorus_couchianus ENSXCOG00000016813
mastacembelus_armatus ENSMAMG00000019788
scophthalmus_maximus ENSSMAG00000012416
kryptolebias_marmoratus ENSKMAG00000019853
anabas_testudineus ENSATEG00000000574
pygocentrus_nattereri ENSPNAG00000008320
astyanax_mexicanus ENSAMXG00000006772
ictalurus_punctatus ENSIPUG00000018512
lepisosteus_oculatus ENSLOCG00000015330
serinus_canaria ENSSCAG00000017020
ficedula_albicollis ENSFALG00000011303
melopsittacus_undulatus ENSMUNG00000012339
apteryx_owenii ENSAOWG00000015488
apteryx_rowi ENSARWG00000000175
chelonoidis_abingdonii ENSCABG00000009280
gopherus_agassizii ENSGAGG00000018044
phascolarctos_cinereus ENSPCIG00000004980
gallus_gallus ENSGALG00000004952
coturnix_japonica ENSCJPG00005010523
numida_meleagris ENSNMEG00000011475
anser_brachyrhynchus ENSABRG00000000826
manacus_vitellinus ENSMVIG00005011749
cyanistes_caeruleus ENSCCEG00000021471
junco_hyemalis ENSJHYG00000002675
lonchura_striata_domestica ENSLSDG00000007113
pelodiscus_sinensis ENSPSIG00000003716
pogona_vitticeps ENSPVIG00000005827
anolis_carolinensis ENSACAG00000008503
notechis_scutatus ENSNSUG00000002115
calidris_pygmaea ENSCPGG00000006764
parus_major ENSPMJG00000012159
zonotrichia_albicollis ENSZALG00000002589
lepidothrix_coronata ENSLCOG00000014728
taeniopygia_guttata ENSTGUG00000006585
anas_platyrhynchos_platyrhynchos ENSAPLG00000011151
nothoprocta_perdicaria ENSNPEG00000013900
ornithorhynchus_anatinus ENSOANG00000004225
cricetulus_griseus_crigri-picr ENSCGRG00015015979
cricetulus_griseus_crigri_1.0 ENSCGRG00000018711
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012495
mola_mola ENSMMOG00000004150
monopterus_albus ENSMALG00000007635
periophthalmus_magnuspinnatus ENSPMGG00000020823
seriola_lalandi_dorsalis ENSSLDG00000003867
cyprinodon_variegatus ENSCVAG00000004695
scleropages_formosus ENSSFOG00015007230
scleropages_formosus ENSSFOG00015009732
calidris_pugnax ENSCPUG00000001015
