capra_hircus ENSCHIG00000007647
ovis_aries ENSOARG00000010184
bos_taurus ENSBTAG00000030674
bos_taurus ENSBTAG00000020774
bos_mutus ENSBMUG00000016632
bison_bison_bison ENSBBBG00000013550
tursiops_truncatus ENSTTRG00000016423
sus_scrofa ENSSSCG00000040337
equus_caballus ENSECAG00000018332
equus_asinus_asinus ENSEASG00005008138
sorex_araneus ENSSARG00000014484
dipodomys_ordii ENSDORG00000023966
castor_canadensis ENSCCNG00000021607
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028527
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027173
mus_spicilegus ENSMSIG00000005000
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026204
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028541
rattus_norvegicus ENSRNOG00000045738
meriones_unguiculatus ENSMUGG00000000101
meriones_unguiculatus ENSMUGG00000013041
microtus_ochrogaster ENSMOCG00000014444
peromyscus_maniculatus_bairdii ENSPEMG00000016088
cricetulus_griseus_crigri_1.0 ENSCGRG00000012793
cricetulus_griseus_crigri-picr ENSCGRG00015010588
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003307
cricetulus_griseus_crigri_1.0 ENSCGRG00000018921
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014091
cricetulus_griseus_crigri-picr ENSCGRG00015012162
cricetulus_griseus_crigri_1.0 ENSCGRG00000004065
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014697
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015421
cricetulus_griseus_crigri_1.0 ENSCGRG00000006086
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007825
cricetulus_griseus_crigri_1.0 ENSCGRG00000010516
cricetulus_griseus_crigri-picr ENSCGRG00015017533
mesocricetus_auratus ENSMAUG00000009918
mesocricetus_auratus ENSMAUG00000019985
nannospalax_galili ENSNGAG00000015116
jaculus_jaculus ENSJJAG00000014122
jaculus_jaculus ENSJJAG00000022233
spermophilus_dauricus ENSSDAG00000018400
spermophilus_dauricus ENSSDAG00000022410
spermophilus_dauricus ENSSDAG00000020708
spermophilus_dauricus ENSSDAG00000012922
spermophilus_dauricus ENSSDAG00000012486
urocitellus_parryii ENSUPAG00010008284
ictidomys_tridecemlineatus ENSSTOG00000023008
marmota_marmota_marmota ENSMMMG00000013460
cavia_porcellus ENSCPOG00000037978
cavia_aperea ENSCAPG00000014527
octodon_degus ENSODEG00000006541
chinchilla_lanigera ENSCLAG00000005491
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018527
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017214
fukomys_damarensis ENSFDAG00000021127
oryctolagus_cuniculus ENSOCUG00000010012
erinaceus_europaeus ENSEEUG00000008575
bison_bison_bison ENSBBBG00000021237
castor_canadensis ENSCCNG00000025635
choloepus_hoffmanni ENSCHOG00000003509
ailuropoda_melanoleuca ENSAMEG00000014969
ursus_maritimus ENSUMAG00000008451
neovison_vison ENSNVIG00000010479
mustela_putorius_furo ENSMPUG00000000722
