xenopus_tropicalis ENSXETG00000023126
anolis_carolinensis ENSACAG00000027573
pogona_vitticeps ENSPVIG00000014580
anolis_carolinensis ENSACAG00000001084
notechis_scutatus ENSNSUG00000016493
salvator_merianae ENSSMRG00000000400
sphenodon_punctatus ENSSPUG00000011719
apteryx_haastii ENSAHAG00000000425
apteryx_owenii ENSAOWG00000016999
apteryx_rowi ENSARWG00000016214
dromaius_novaehollandiae ENSDNVG00000005896
nothoprocta_perdicaria ENSNPEG00000001169
anser_brachyrhynchus ENSABRG00000009049
anas_platyrhynchos_platyrhynchos ENSAPLG00000006805
gallus_gallus ENSGALG00000040926
meleagris_gallopavo ENSMGAG00000014476
coturnix_japonica ENSCJPG00005004451
numida_meleagris ENSNMEG00000010558
junco_hyemalis ENSJHYG00000006922
zonotrichia_albicollis ENSZALG00000012265
serinus_canaria ENSSCAG00000011571
lonchura_striata_domestica ENSLSDG00000014447
taeniopygia_guttata ENSTGUG00000013543
ficedula_albicollis ENSFALG00000012114
cyanistes_caeruleus ENSCCEG00000019422
parus_major ENSPMJG00000012133
lepidothrix_coronata ENSLCOG00000002679
manacus_vitellinus ENSMVIG00005003421
melopsittacus_undulatus ENSMUNG00000005501
calidris_pugnax ENSCPUG00000013712
calidris_pygmaea ENSCPGG00000016416
crocodylus_porosus ENSCPRG00005013107
gopherus_agassizii ENSGAGG00000012210
chelonoidis_abingdonii ENSCABG00000007717
chrysemys_picta_bellii ENSCPBG00000028343
pelodiscus_sinensis ENSPSIG00000015766
phascolarctos_cinereus ENSPCIG00000014985
notamacropus_eugenii ENSMEUG00000014198
sarcophilus_harrisii ENSSHAG00000003039
monodelphis_domestica ENSMODG00000020950
ornithorhynchus_anatinus ENSOANG00000008222
loxodonta_africana ENSLAFG00000030001
echinops_telfairi ENSETEG00000000899
dasypus_novemcinctus ENSDNOG00000038370
mus_spicilegus ENSMSIG00000023242
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022876
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021782
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020876
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016580
rattus_norvegicus ENSRNOG00000030930
meriones_unguiculatus ENSMUGG00000011836
cricetulus_griseus_crigri-picr ENSCGRG00015003532
cricetulus_griseus_crigri_1.0 ENSCGRG00000012424
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011901
mesocricetus_auratus ENSMAUG00000000826
microtus_ochrogaster ENSMOCG00000008536
peromyscus_maniculatus_bairdii ENSPEMG00000015859
nannospalax_galili ENSNGAG00000018662
jaculus_jaculus ENSJJAG00000021208
chinchilla_lanigera ENSCLAG00000005821
octodon_degus ENSODEG00000000435
cavia_porcellus ENSCPOG00000006019
cavia_aperea ENSCAPG00000015422
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015900
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018325
fukomys_damarensis ENSFDAG00000014651
castor_canadensis ENSCCNG00000018218
dipodomys_ordii ENSDORG00000004945
urocitellus_parryii ENSUPAG00010019509
ictidomys_tridecemlineatus ENSSTOG00000025735
spermophilus_dauricus ENSSDAG00000013288
marmota_marmota_marmota ENSMMMG00000016963
otolemur_garnettii ENSOGAG00000007033
cebus_capucinus_imitator ENSCCAG00000022867
saimiri_boliviensis_boliviensis ENSSBOG00000020506
callithrix_jacchus ENSCJAG00000003304
aotus_nancymaae ENSANAG00000023202
pan_paniscus ENSPPAG00000036931
pan_troglodytes ENSPTRG00000013791
homo_sapiens ENSG00000155307
gorilla_gorilla ENSGGOG00000002647
pongo_abelii ENSPPYG00000011288
nomascus_leucogenys ENSNLEG00000032387
colobus_angolensis_palliatus ENSCANG00000009182
piliocolobus_tephrosceles ENSPTEG00000009428
rhinopithecus_bieti ENSRBIG00000028751
rhinopithecus_roxellana ENSRROG00000026549
cercocebus_atys ENSCATG00000040647
theropithecus_gelada ENSTGEG00000001540
papio_anubis ENSPANG00000008067
mandrillus_leucophaeus ENSMLEG00000030771
macaca_mulatta ENSMMUG00000023771
macaca_nemestrina ENSMNEG00000029037
macaca_fascicularis ENSMFAG00000042889
chlorocebus_sabaeus ENSCSAG00000008820
carlito_syrichta ENSTSYG00000007964
propithecus_coquereli ENSPCOG00000016595
microcebus_murinus ENSMICG00000016350
prolemur_simus ENSPSMG00000013832
myotis_lucifugus ENSMLUG00000004223
tursiops_truncatus ENSTTRG00000007413
vicugna_pacos ENSVPAG00000000676
pteropus_vampyrus ENSPVAG00000005873
sorex_araneus ENSSARG00000007066
ochotona_princeps ENSOPRG00000005073
oryctolagus_cuniculus ENSOCUG00000015833
tupaia_belangeri ENSTBEG00000015507
choloepus_hoffmanni ENSCHOG00000001255
procavia_capensis ENSPCAG00000006154
mustela_putorius_furo ENSMPUG00000010703
neovison_vison ENSNVIG00000021414
ursus_maritimus ENSUMAG00000014478
ursus_americanus ENSUAMG00000025634
ailuropoda_melanoleuca ENSAMEG00000014408
canis_lupus_familiaris ENSCAFG00000031013
canis_lupus_dingo ENSCAFG00020026530
vulpes_vulpes ENSVVUG00000023854
panthera_pardus ENSPPRG00000001620
panthera_tigris_altaica ENSPTIG00000013394
felis_catus ENSFCAG00000013946
sus_scrofa ENSSSCG00000038062
equus_asinus_asinus ENSEASG00005013641
equus_caballus ENSECAG00000017241
capra_hircus ENSCHIG00000026072
ovis_aries ENSOARG00000016184
bos_taurus ENSBTAG00000002623
bison_bison_bison ENSBBBG00000008359
bos_mutus ENSBMUG00000024089
meriones_unguiculatus ENSMUGG00000011844
meriones_unguiculatus ENSMUGG00000011851
notechis_scutatus ENSNSUG00000009558
latimeria_chalumnae ENSLACG00000001446
xiphophorus_maculatus ENSXMAG00000010119
xiphophorus_couchianus ENSXCOG00000001726
gambusia_affinis ENSGAFG00000014498
poecilia_formosa ENSPFOG00000006430
poecilia_mexicana ENSPMEG00000008466
poecilia_latipinna ENSPLAG00000007098
poecilia_reticulata ENSPREG00000005559
cyprinodon_variegatus ENSCVAG00000019009
fundulus_heteroclitus ENSFHEG00000001193
kryptolebias_marmoratus ENSKMAG00000003423
oryzias_latipes_asm223467v1 ENSORLG00000014201
oryzias_latipes_asm223471v1 ENSORLG00020010014
oryzias_latipes_asm223469v1 ENSORLG00015016178
oryzias_melastigma ENSOMEG00000006441
cynoglossus_semilaevis ENSCSEG00000002609
tetraodon_nigroviridis ENSTNIG00000006179
tetraodon_nigroviridis ENSTNIG00000019810
takifugu_rubripes ENSTRUG00000020398
amphiprion_percula ENSAPEG00000022775
amphiprion_ocellaris ENSAOCG00000011835
