oryzias_latipes_asm223467v1 ENSORLG00000022263
amphilophus_citrinellus ENSACIG00000005702
gadus_morhua ENSGMOG00000008044
apteryx_haastii ENSAHAG00000000552
lonchura_striata_domestica ENSLSDG00000010555
panthera_pardus ENSPPRG00000008691
neovison_vison ENSNVIG00000021055
bos_mutus ENSBMUG00000006445
propithecus_coquereli ENSPCOG00000027761
microcebus_murinus ENSMICG00000035331
colobus_angolensis_palliatus ENSCANG00000039517
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003424
fukomys_damarensis ENSFDAG00000001951
cavia_aperea ENSCAPG00000015845
octodon_degus ENSODEG00000009921
chinchilla_lanigera ENSCLAG00000016241
cricetulus_griseus_crigri_1.0 ENSCGRG00000012689
pteropus_vampyrus ENSPVAG00000012442
sorex_araneus ENSSARG00000010411
ochotona_princeps ENSOPRG00000016619
myotis_lucifugus ENSMLUG00000030287
eptatretus_burgeri ENSEBUG00000012531
