echinops_telfairi ENSETEG00000013360
myotis_lucifugus ENSMLUG00000028946
ovis_aries ENSOARG00000015427
ovis_aries ENSOARG00000004711
bos_taurus ENSBTAG00000037421
bison_bison_bison ENSBBBG00000010793
sus_scrofa ENSSSCG00000001232
ursus_maritimus ENSUMAG00000019231
ursus_americanus ENSUAMG00000021152
ailuropoda_melanoleuca ENSAMEG00000006835
spermophilus_dauricus ENSSDAG00000024562
marmota_marmota_marmota ENSMMMG00000022970
urocitellus_parryii ENSUPAG00010015396
castor_canadensis ENSCCNG00000026878
oryctolagus_cuniculus ENSOCUG00000023505
loxodonta_africana ENSLAFG00000030976
tursiops_truncatus ENSTTRG00000012545
dasypus_novemcinctus ENSDNOG00000035983
