junco_hyemalis ENSJHYG00000010472
zonotrichia_albicollis ENSZALG00000001598
serinus_canaria ENSSCAG00000005727
lonchura_striata_domestica ENSLSDG00000017382
taeniopygia_guttata ENSTGUG00000008282
parus_major ENSPMJG00000001141
cyanistes_caeruleus ENSCCEG00000011512
ficedula_albicollis ENSFALG00000010464
lepidothrix_coronata ENSLCOG00000014870
manacus_vitellinus ENSMVIG00005013808
melopsittacus_undulatus ENSMUNG00000004495
calidris_pygmaea ENSCPGG00000010068
calidris_pugnax ENSCPUG00000018740
anser_brachyrhynchus ENSABRG00000021900
anas_platyrhynchos_platyrhynchos ENSAPLG00000011015
gallus_gallus ENSGALG00000006702
coturnix_japonica ENSCJPG00005020387
meleagris_gallopavo ENSMGAG00000008653
numida_meleagris ENSNMEG00000023051
apteryx_rowi ENSARWG00000002042
apteryx_owenii ENSAOWG00000002936
apteryx_haastii ENSAHAG00000005391
nothoprocta_perdicaria ENSNPEG00000013691
dromaius_novaehollandiae ENSDNVG00000005772
crocodylus_porosus ENSCPRG00005016926
gopherus_agassizii ENSGAGG00000024575
chelonoidis_abingdonii ENSCABG00000001974
chrysemys_picta_bellii ENSCPBG00000017692
pelodiscus_sinensis ENSPSIG00000014099
anolis_carolinensis ENSACAG00000000426
anolis_carolinensis ENSACAG00000028313
pogona_vitticeps ENSPVIG00000004234
notechis_scutatus ENSNSUG00000010821
salvator_merianae ENSSMRG00000022300
sphenodon_punctatus ENSSPUG00000012114
pteropus_vampyrus ENSPVAG00000002848
myotis_lucifugus ENSMLUG00000029585
ursus_maritimus ENSUMAG00000006287
ursus_americanus ENSUAMG00000009755
ailuropoda_melanoleuca ENSAMEG00000012894
mustela_putorius_furo ENSMPUG00000015809
neovison_vison ENSNVIG00000017997
canis_lupus_dingo ENSCAFG00020018748
canis_lupus_familiaris ENSCAFG00000011555
vulpes_vulpes ENSVVUG00000011607
panthera_pardus ENSPPRG00000024349
panthera_tigris_altaica ENSPTIG00000017689
felis_catus ENSFCAG00000006622
equus_asinus_asinus ENSEASG00005015354
sus_scrofa ENSSSCG00000001834
tursiops_truncatus ENSTTRG00000005772
bos_taurus ENSBTAG00000003300
bos_mutus ENSBMUG00000004392
bison_bison_bison ENSBBBG00000025271
capra_hircus ENSCHIG00000013575
ovis_aries ENSOARG00000011260
erinaceus_europaeus ENSEEUG00000013042
sorex_araneus ENSSARG00000009913
chinchilla_lanigera ENSCLAG00000009989
octodon_degus ENSODEG00000014861
cavia_aperea ENSCAPG00000000825
cavia_porcellus ENSCPOG00000003673
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005722
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011142
fukomys_damarensis ENSFDAG00000017013
dipodomys_ordii ENSDORG00000015707
urocitellus_parryii ENSUPAG00010016269
ictidomys_tridecemlineatus ENSSTOG00000001748
marmota_marmota_marmota ENSMMMG00000020100
spermophilus_dauricus ENSSDAG00000001557
oryctolagus_cuniculus ENSOCUG00000013259
ochotona_princeps ENSOPRG00000007482
mus_spicilegus ENSMSIG00000018457
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030605
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030978
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029876
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013098
rattus_norvegicus ENSRNOG00000017510
meriones_unguiculatus ENSMUGG00000019002
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011973
cricetulus_griseus_crigri_1.0 ENSCGRG00000012651
cricetulus_griseus_crigri-picr ENSCGRG00015000795
mesocricetus_auratus ENSMAUG00000014827
peromyscus_maniculatus_bairdii ENSPEMG00000018759
microtus_ochrogaster ENSMOCG00000022259
nannospalax_galili ENSNGAG00000019205
jaculus_jaculus ENSJJAG00000021191
castor_canadensis ENSCCNG00000024781
tupaia_belangeri ENSTBEG00000011333
loxodonta_africana ENSLAFG00000030365
procavia_capensis ENSPCAG00000008453
dasypus_novemcinctus ENSDNOG00000003863
macaca_mulatta ENSMMUG00000043001
macaca_fascicularis ENSMFAG00000037952
macaca_nemestrina ENSMNEG00000029493
papio_anubis ENSPANG00000026189
theropithecus_gelada ENSTGEG00000008029
mandrillus_leucophaeus ENSMLEG00000040733
cercocebus_atys ENSCATG00000002145
chlorocebus_sabaeus ENSCSAG00000017181
piliocolobus_tephrosceles ENSPTEG00000000689
colobus_angolensis_palliatus ENSCANG00000029745
rhinopithecus_bieti ENSRBIG00000043934
rhinopithecus_roxellana ENSRROG00000031391
pan_paniscus ENSPPAG00000027594
pan_troglodytes ENSPTRG00000007426
homo_sapiens ENSG00000140545
gorilla_gorilla ENSGGOG00000014551
pongo_abelii ENSPPYG00000006759
pongo_abelii ENSPPYG00000029735
nomascus_leucogenys ENSNLEG00000011483
saimiri_boliviensis_boliviensis ENSSBOG00000020877
callithrix_jacchus ENSCJAG00000012940
cebus_capucinus_imitator ENSCCAG00000024386
aotus_nancymaae ENSANAG00000020190
carlito_syrichta ENSTSYG00000031077
propithecus_coquereli ENSPCOG00000025633
prolemur_simus ENSPSMG00000005575
microcebus_murinus ENSMICG00000015488
otolemur_garnettii ENSOGAG00000017042
phascolarctos_cinereus ENSPCIG00000006412
notamacropus_eugenii ENSMEUG00000009834
monodelphis_domestica ENSMODG00000019575
sarcophilus_harrisii ENSSHAG00000016335
ornithorhynchus_anatinus ENSOANG00000006383
tetraodon_nigroviridis ENSTNIG00000010392
takifugu_rubripes ENSTRUG00000015729
mola_mola ENSMMOG00000019004
hippocampus_comes ENSHCOG00000008333
labrus_bergylta ENSLBEG00000004610
gasterosteus_aculeatus ENSGACG00000007091
scophthalmus_maximus ENSSMAG00000004623
cynoglossus_semilaevis ENSCSEG00000000736
seriola_lalandi_dorsalis ENSSLDG00000002751
seriola_lalandi_dorsalis ENSSLDG00000011616
seriola_dumerili ENSSDUG00000000258
monopterus_albus ENSMALG00000016371
mastacembelus_armatus ENSMAMG00000023060
anabas_testudineus ENSATEG00000021667
amphiprion_ocellaris ENSAOCG00000011899
amphiprion_percula ENSAPEG00000012106
acanthochromis_polyacanthus ENSAPOG00000011218
stegastes_partitus ENSSPAG00000020483
astatotilapia_calliptera ENSACLG00000023446
haplochromis_burtoni ENSHBUG00000008283
pundamilia_nyererei ENSPNYG00000009978
maylandia_zebra ENSMZEG00005011554
neolamprologus_brichardi ENSNBRG00000016591
oreochromis_niloticus ENSONIG00000015629
amphilophus_citrinellus ENSACIG00000012133
fundulus_heteroclitus ENSFHEG00000018539
cyprinodon_variegatus ENSCVAG00000009176
xiphophorus_maculatus ENSXMAG00000013036
xiphophorus_couchianus ENSXCOG00000000681
gambusia_affinis ENSGAFG00000005624
poecilia_formosa ENSPFOG00000003628
poecilia_latipinna ENSPLAG00000005776
poecilia_mexicana ENSPMEG00000016481
poecilia_reticulata ENSPREG00000006042
kryptolebias_marmoratus ENSKMAG00000006805
oryzias_latipes_asm223471v1 ENSORLG00020022262
oryzias_latipes_asm223469v1 ENSORLG00015015967
oryzias_latipes_asm223467v1 ENSORLG00000001529
oryzias_melastigma ENSOMEG00000004132
gadus_morhua ENSGMOG00000019232
esox_lucius ENSELUG00000003093
astyanax_mexicanus ENSAMXG00000013623
pygocentrus_nattereri ENSPNAG00000003713
ictalurus_punctatus ENSIPUG00000003390
danio_rerio ENSDARG00000045803
scleropages_formosus ENSSFOG00015015206
paramormyrops_kingsleyae ENSPKIG00000003137
takifugu_rubripes ENSTRUG00000016888
tetraodon_nigroviridis ENSTNIG00000009541
mola_mola ENSMMOG00000021596
gasterosteus_aculeatus ENSGACG00000016860
poecilia_mexicana ENSPMEG00000015219
poecilia_formosa ENSPFOG00000005778
poecilia_latipinna ENSPLAG00000009119
poecilia_reticulata ENSPREG00000008344
xiphophorus_maculatus ENSXMAG00000024531
xiphophorus_couchianus ENSXCOG00000018357
gambusia_affinis ENSGAFG00000005104
cyprinodon_variegatus ENSCVAG00000009581
fundulus_heteroclitus ENSFHEG00000000710
oryzias_latipes_asm223467v1 ENSORLG00000002302
oryzias_latipes_asm223469v1 ENSORLG00015021634
oryzias_latipes_asm223471v1 ENSORLG00020021951
oryzias_melastigma ENSOMEG00000009145
stegastes_partitus ENSSPAG00000019544
stegastes_partitus ENSSPAG00000019637
amphiprion_ocellaris ENSAOCG00000016526
amphiprion_percula ENSAPEG00000000448
acanthochromis_polyacanthus ENSAPOG00000015806
maylandia_zebra ENSMZEG00005012239
astatotilapia_calliptera ENSACLG00000016536
pundamilia_nyererei ENSPNYG00000008173
haplochromis_burtoni ENSHBUG00000012251
oreochromis_niloticus ENSONIG00000013296
neolamprologus_brichardi ENSNBRG00000022184
amphilophus_citrinellus ENSACIG00000019394
labrus_bergylta ENSLBEG00000004765
