haplochromis_burtoni ENSHBUG00000017470
pundamilia_nyererei ENSPNYG00000008505
astatotilapia_calliptera ENSACLG00000011674
neolamprologus_brichardi ENSNBRG00000005427
maylandia_zebra ENSMZEG00005024718
oreochromis_niloticus ENSONIG00000001159
amphilophus_citrinellus ENSACIG00000001042
oryzias_latipes_asm223469v1 ENSORLG00015011103
oryzias_latipes_asm223467v1 ENSORLG00000018416
oryzias_melastigma ENSOMEG00000019210
amphiprion_ocellaris ENSAOCG00000020503
amphiprion_percula ENSAPEG00000020407
stegastes_partitus ENSSPAG00000009225
gasterosteus_aculeatus ENSGACG00000004890
labrus_bergylta ENSLBEG00000007004
periophthalmus_magnuspinnatus ENSPMGG00000012776
seriola_dumerili ENSSDUG00000007125
seriola_lalandi_dorsalis ENSSLDG00000001269
cynoglossus_semilaevis ENSCSEG00000015521
monopterus_albus ENSMALG00000017485
poecilia_formosa ENSPFOG00000010262
poecilia_mexicana ENSPMEG00000002707
poecilia_reticulata ENSPREG00000007267
poecilia_latipinna ENSPLAG00000016009
gambusia_affinis ENSGAFG00000018646
fundulus_heteroclitus ENSFHEG00000012770
xiphophorus_couchianus ENSXCOG00000013115
xiphophorus_maculatus ENSXMAG00000021827
cyprinodon_variegatus ENSCVAG00000012515
stegastes_partitus ENSSPAG00000020310
acanthochromis_polyacanthus ENSAPOG00000017298
kryptolebias_marmoratus ENSKMAG00000010463
pundamilia_nyererei ENSPNYG00000008536
mola_mola ENSMMOG00000009746
takifugu_rubripes ENSTRUG00000025697
labrus_bergylta ENSLBEG00000027758
mastacembelus_armatus ENSMAMG00000019439
hippocampus_comes ENSHCOG00000019969
gadus_morhua ENSGMOG00000011516
esox_lucius ENSELUG00000005893
pygocentrus_nattereri ENSPNAG00000003861
astyanax_mexicanus ENSAMXG00000003014
ictalurus_punctatus ENSIPUG00000001784
danio_rerio ENSDARG00000040615
paramormyrops_kingsleyae ENSPKIG00000020989
scleropages_formosus ENSSFOG00015016671
lepisosteus_oculatus ENSLOCG00000009095
eptatretus_burgeri ENSEBUG00000014074
pogona_vitticeps ENSPVIG00000023733
