mustela_putorius_furo ENSMPUG00000008340
neovison_vison ENSNVIG00000018675
ursus_americanus ENSUAMG00000019086
canis_lupus_dingo ENSCAFG00020022933
canis_lupus_familiaris ENSCAFG00000018229
vulpes_vulpes ENSVVUG00000028228
equus_caballus ENSECAG00000035156
equus_asinus_asinus ENSEASG00005013796
pteropus_vampyrus ENSPVAG00000002513
myotis_lucifugus ENSMLUG00000016024
bos_taurus ENSBTAG00000046837
bison_bison_bison ENSBBBG00000004503
capra_hircus ENSCHIG00000009326
ovis_aries ENSOARG00000000964
tursiops_truncatus ENSTTRG00000003872
sus_scrofa ENSSSCG00000025078
erinaceus_europaeus ENSEEUG00000008172
chinchilla_lanigera ENSCLAG00000003278
octodon_degus ENSODEG00000012219
cavia_porcellus ENSCPOG00000009724
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006780
fukomys_damarensis ENSFDAG00000008355
urocitellus_parryii ENSUPAG00010018967
ictidomys_tridecemlineatus ENSSTOG00000020033
castor_canadensis ENSCCNG00000006533
dipodomys_ordii ENSDORG00000007745
cricetulus_griseus_crigri_1.0 ENSCGRG00000016033
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003945
cricetulus_griseus_crigri-picr ENSCGRG00015017772
mesocricetus_auratus ENSMAUG00000013185
microtus_ochrogaster ENSMOCG00000005230
peromyscus_maniculatus_bairdii ENSPEMG00000013331
mus_spicilegus ENSMSIG00000007815
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031878
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047264
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030770
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021242
rattus_norvegicus ENSRNOG00000000974
nannospalax_galili ENSNGAG00000016868
jaculus_jaculus ENSJJAG00000021547
oryctolagus_cuniculus ENSOCUG00000011756
prolemur_simus ENSPSMG00000002629
microcebus_murinus ENSMICG00000011673
propithecus_coquereli ENSPCOG00000023627
otolemur_garnettii ENSOGAG00000029525
pan_paniscus ENSPPAG00000013665
pan_troglodytes ENSPTRG00000029154
homo_sapiens ENSG00000198816
gorilla_gorilla ENSGGOG00000010641
pongo_abelii ENSPPYG00000009476
nomascus_leucogenys ENSNLEG00000007045
macaca_fascicularis ENSMFAG00000035386
macaca_nemestrina ENSMNEG00000037571
chlorocebus_sabaeus ENSCSAG00000018826
papio_anubis ENSPANG00000013776
theropithecus_gelada ENSTGEG00000021025
cercocebus_atys ENSCATG00000038779
rhinopithecus_bieti ENSRBIG00000037697
rhinopithecus_roxellana ENSRROG00000036267
piliocolobus_tephrosceles ENSPTEG00000028998
callithrix_jacchus ENSCJAG00000045015
saimiri_boliviensis_boliviensis ENSSBOG00000011944
cebus_capucinus_imitator ENSCCAG00000029198
aotus_nancymaae ENSANAG00000025717
loxodonta_africana ENSLAFG00000012559
dasypus_novemcinctus ENSDNOG00000042842
bos_mutus ENSBMUG00000026024
phascolarctos_cinereus ENSPCIG00000019494
