cricetulus_griseus_crigri_1.0 ENSCGRG00000005862
cricetulus_griseus_crigri-picr ENSCGRG00015008798
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023391
mesocricetus_auratus ENSMAUG00000017042
peromyscus_maniculatus_bairdii ENSPEMG00000001169
microtus_ochrogaster ENSMOCG00000015118
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021342
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043050
mus_spicilegus ENSMSIG00000008406
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020448
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016155
rattus_norvegicus ENSRNOG00000002566
meriones_unguiculatus ENSMUGG00000024530
nannospalax_galili ENSNGAG00000021413
jaculus_jaculus ENSJJAG00000014779
castor_canadensis ENSCCNG00000027133
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017160
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012550
oryctolagus_cuniculus ENSOCUG00000021104
ochotona_princeps ENSOPRG00000014114
cebus_capucinus_imitator ENSCCAG00000019693
saimiri_boliviensis_boliviensis ENSSBOG00000029839
callithrix_jacchus ENSCJAG00000039557
aotus_nancymaae ENSANAG00000035968
pan_troglodytes ENSPTRG00000007766
pan_paniscus ENSPPAG00000042600
homo_sapiens ENSG00000178279
gorilla_gorilla ENSGGOG00000024157
pongo_abelii ENSPPYG00000007100
nomascus_leucogenys ENSNLEG00000018453
rhinopithecus_roxellana ENSRROG00000029004
rhinopithecus_bieti ENSRBIG00000035454
piliocolobus_tephrosceles ENSPTEG00000023586
colobus_angolensis_palliatus ENSCANG00000031761
macaca_nemestrina ENSMNEG00000037731
macaca_mulatta ENSMMUG00000010955
macaca_fascicularis ENSMFAG00000036693
cercocebus_atys ENSCATG00000042608
mandrillus_leucophaeus ENSMLEG00000044057
chlorocebus_sabaeus ENSCSAG00000008391
papio_anubis ENSPANG00000008682
theropithecus_gelada ENSTGEG00000025907
carlito_syrichta ENSTSYG00000026848
prolemur_simus ENSPSMG00000004352
microcebus_murinus ENSMICG00000004815
propithecus_coquereli ENSPCOG00000009876
otolemur_garnettii ENSOGAG00000014858
tupaia_belangeri ENSTBEG00000006981
ursus_americanus ENSUAMG00000020849
ursus_maritimus ENSUMAG00000003930
mustela_putorius_furo ENSMPUG00000014628
canis_lupus_familiaris ENSCAFG00000031312
canis_lupus_dingo ENSCAFG00020024649
vulpes_vulpes ENSVVUG00000017918
panthera_pardus ENSPPRG00000014132
panthera_tigris_altaica ENSPTIG00000018566
felis_catus ENSFCAG00000003606
bos_taurus ENSBTAG00000032884
bos_mutus ENSBMUG00000015716
bison_bison_bison ENSBBBG00000005837
ovis_aries ENSOARG00000006554
capra_hircus ENSCHIG00000013907
sus_scrofa ENSSSCG00000027300
equus_asinus_asinus ENSEASG00005011525
loxodonta_africana ENSLAFG00000003970
dasypus_novemcinctus ENSDNOG00000043309
