stegastes_partitus ENSSPAG00000021317
acanthochromis_polyacanthus ENSAPOG00000012522
oryzias_latipes_asm223467v1 ENSORLG00000005096
oryzias_latipes_asm223471v1 ENSORLG00020007325
gasterosteus_aculeatus ENSGACG00000001729
periophthalmus_magnuspinnatus ENSPMGG00000024172
takifugu_rubripes ENSTRUG00000006788
esox_lucius ENSELUG00000016936
esox_lucius ENSELUG00000017636
danio_rerio ENSDARG00000114454
danio_rerio ENSDARG00000075045
danio_rerio ENSDARG00000075163
sarcophilus_harrisii ENSSHAG00000016139
monodelphis_domestica ENSMODG00000019184
ornithorhynchus_anatinus ENSOANG00000006926
anolis_carolinensis ENSACAG00000028995
pogona_vitticeps ENSPVIG00000019225
sphenodon_punctatus ENSSPUG00000008676
calidris_pugnax ENSCPUG00000003344
calidris_pygmaea ENSCPGG00000002214
lonchura_striata_domestica ENSLSDG00000018038
serinus_canaria ENSSCAG00000004812
junco_hyemalis ENSJHYG00000004606
zonotrichia_albicollis ENSZALG00000003946
ficedula_albicollis ENSFALG00000008120
anas_platyrhynchos_platyrhynchos ENSAPLG00000018570
anser_brachyrhynchus ENSABRG00000007177
gallus_gallus ENSGALG00000046160
numida_meleagris ENSNMEG00000019034
nothoprocta_perdicaria ENSNPEG00000004110
nothoprocta_perdicaria ENSNPEG00000004113
apteryx_haastii ENSAHAG00000003082
chelonoidis_abingdonii ENSCABG00000003175
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028390
mus_spicilegus ENSMSIG00000018319
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029372
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027393
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017171
rattus_norvegicus ENSRNOG00000002829
meriones_unguiculatus ENSMUGG00000017891
cricetulus_griseus_crigri_1.0 ENSCGRG00000015702
cricetulus_griseus_crigri-picr ENSCGRG00015010515
mesocricetus_auratus ENSMAUG00000018544
microtus_ochrogaster ENSMOCG00000013324
peromyscus_maniculatus_bairdii ENSPEMG00000027069
nannospalax_galili ENSNGAG00000000233
castor_canadensis ENSCCNG00000002576
ictidomys_tridecemlineatus ENSSTOG00000023838
spermophilus_dauricus ENSSDAG00000014498
urocitellus_parryii ENSUPAG00010004827
marmota_marmota_marmota ENSMMMG00000024700
chinchilla_lanigera ENSCLAG00000005093
pan_troglodytes ENSPTRG00000016159
pan_paniscus ENSPPAG00000042155
gorilla_gorilla ENSGGOG00000025133
homo_sapiens ENSG00000163736
pongo_abelii ENSPPYG00000014831
nomascus_leucogenys ENSNLEG00000007928
rhinopithecus_roxellana ENSRROG00000037721
rhinopithecus_bieti ENSRBIG00000029855
colobus_angolensis_palliatus ENSCANG00000003128
piliocolobus_tephrosceles ENSPTEG00000013757
macaca_fascicularis ENSMFAG00000031461
macaca_nemestrina ENSMNEG00000042825
macaca_mulatta ENSMMUG00000042371
papio_anubis ENSPANG00000022049
theropithecus_gelada ENSTGEG00000014517
mandrillus_leucophaeus ENSMLEG00000034227
cercocebus_atys ENSCATG00000035637
chlorocebus_sabaeus ENSCSAG00000004763
cebus_capucinus_imitator ENSCCAG00000008962
saimiri_boliviensis_boliviensis ENSSBOG00000026341
callithrix_jacchus ENSCJAG00000013918
aotus_nancymaae ENSANAG00000034892
carlito_syrichta ENSTSYG00000036528
prolemur_simus ENSPSMG00000013126
prolemur_simus ENSPSMG00000013108
otolemur_garnettii ENSOGAG00000032507
mustela_putorius_furo ENSMPUG00000009210
neovison_vison ENSNVIG00000014979
ursus_americanus ENSUAMG00000017479
ursus_maritimus ENSUMAG00000006679
ailuropoda_melanoleuca ENSAMEG00000014328
canis_lupus_dingo ENSCAFG00020026904
canis_lupus_familiaris ENSCAFG00000031174
vulpes_vulpes ENSVVUG00000014751
panthera_tigris_altaica ENSPTIG00000020623
panthera_pardus ENSPPRG00000000385
felis_catus ENSFCAG00000022486
equus_caballus ENSECAG00000012702
equus_asinus_asinus ENSEASG00005016563
capra_hircus ENSCHIG00000023547
ovis_aries ENSOARG00000014675
bos_mutus ENSBMUG00000001880
bison_bison_bison ENSBBBG00000004261
sus_scrofa ENSSSCG00000037579
myotis_lucifugus ENSMLUG00000027120
myotis_lucifugus ENSMLUG00000004265
loxodonta_africana ENSLAFG00000032662
monodelphis_domestica ENSMODG00000019188
ornithorhynchus_anatinus ENSOANG00000006911
ornithorhynchus_anatinus ENSOANG00000006655
dromaius_novaehollandiae ENSDNVG00000000649
calidris_pygmaea ENSCPGG00000002103
chelonoidis_abingdonii ENSCABG00000003228
chrysemys_picta_bellii ENSCPBG00000013507
