gallus_gallus ENSGALG00000053578
taeniopygia_guttata ENSTGUG00000016016
calidris_pygmaea ENSCPGG00000012690
anser_brachyrhynchus ENSABRG00000001846
anas_platyrhynchos_platyrhynchos ENSAPLG00000013331
meleagris_gallopavo ENSMGAG00000002402
coturnix_japonica ENSCJPG00005010525
numida_meleagris ENSNMEG00000004818
calidris_pugnax ENSCPUG00000019109
calidris_pygmaea ENSCPGG00000012691
manacus_vitellinus ENSMVIG00005019512
lepidothrix_coronata ENSLCOG00000002155
taeniopygia_guttata ENSTGUG00000000260
lonchura_striata_domestica ENSLSDG00000000402
junco_hyemalis ENSJHYG00000001304
serinus_canaria ENSSCAG00000006162
zonotrichia_albicollis ENSZALG00000013763
parus_major ENSPMJG00000004231
cyanistes_caeruleus ENSCCEG00000008105
ficedula_albicollis ENSFALG00000001028
melopsittacus_undulatus ENSMUNG00000003822
apteryx_owenii ENSAOWG00000017164
apteryx_rowi ENSARWG00000001707
apteryx_haastii ENSAHAG00000004778
dromaius_novaehollandiae ENSDNVG00000018839
nothoprocta_perdicaria ENSNPEG00000009088
notechis_scutatus ENSNSUG00000014686
pelodiscus_sinensis ENSPSIG00000002679
pelodiscus_sinensis ENSPSIG00000002662
gopherus_agassizii ENSGAGG00000006889
chelonoidis_abingdonii ENSCABG00000006811
chrysemys_picta_bellii ENSCPBG00000004012
crocodylus_porosus ENSCPRG00005002423
anolis_carolinensis ENSACAG00000006787
pogona_vitticeps ENSPVIG00000001518
salvator_merianae ENSSMRG00000016861
sphenodon_punctatus ENSSPUG00000000798
acanthochromis_polyacanthus ENSAPOG00000020551
amphiprion_ocellaris ENSAOCG00000020433
stegastes_partitus ENSSPAG00000018351
scophthalmus_maximus ENSSMAG00000018685
labrus_bergylta ENSLBEG00000009026
amphiprion_percula ENSAPEG00000001898
cynoglossus_semilaevis ENSCSEG00000000136
takifugu_rubripes ENSTRUG00000013981
tetraodon_nigroviridis ENSTNIG00000008479
mastacembelus_armatus ENSMAMG00000016340
monopterus_albus ENSMALG00000021947
anabas_testudineus ENSATEG00000005460
hippocampus_comes ENSHCOG00000018266
hippocampus_comes ENSHCOG00000018300
gasterosteus_aculeatus ENSGACG00000017406
seriola_lalandi_dorsalis ENSSLDG00000014119
seriola_dumerili ENSSDUG00000017107
cynoglossus_semilaevis ENSCSEG00000012352
fundulus_heteroclitus ENSFHEG00000011215
cyprinodon_variegatus ENSCVAG00000018245
xiphophorus_maculatus ENSXMAG00000005821
xiphophorus_couchianus ENSXCOG00000015171
gambusia_affinis ENSGAFG00000021458
poecilia_mexicana ENSPMEG00000006276
poecilia_formosa ENSPFOG00000012324
poecilia_latipinna ENSPLAG00000019400
poecilia_reticulata ENSPREG00000007521
oryzias_latipes_asm223467v1 ENSORLG00000017613
oryzias_latipes_asm223469v1 ENSORLG00015007537
oryzias_latipes_asm223471v1 ENSORLG00020007822
oryzias_melastigma ENSOMEG00000007854
maylandia_zebra ENSMZEG00005024976
astatotilapia_calliptera ENSACLG00000017155
haplochromis_burtoni ENSHBUG00000008801
neolamprologus_brichardi ENSNBRG00000004864
pundamilia_nyererei ENSPNYG00000015965
oreochromis_niloticus ENSONIG00000009472
amphilophus_citrinellus ENSACIG00000019227
periophthalmus_magnuspinnatus ENSPMGG00000008610
gadus_morhua ENSGMOG00000011551
esox_lucius ENSELUG00000022950
pygocentrus_nattereri ENSPNAG00000028975
astyanax_mexicanus ENSAMXG00000019420
ictalurus_punctatus ENSIPUG00000006566
danio_rerio ENSDARG00000063451
scleropages_formosus ENSSFOG00015009805
scleropages_formosus ENSSFOG00015016779
paramormyrops_kingsleyae ENSPKIG00000005675
lepisosteus_oculatus ENSLOCG00000009427
latimeria_chalumnae ENSLACG00000001596
petromyzon_marinus ENSPMAG00000005063
xenopus_tropicalis ENSXETG00000006170
ciona_savignyi ENSCSAVG00000003488
ciona_intestinalis ENSCING00000007104
procavia_capensis ENSPCAG00000002758
loxodonta_africana ENSLAFG00000027720
echinops_telfairi ENSETEG00000007490
sus_scrofa ENSSSCG00000038246
choloepus_hoffmanni ENSCHOG00000013055
dasypus_novemcinctus ENSDNOG00000046610
loxodonta_africana ENSLAFG00000010156
ursus_maritimus ENSUMAG00000001820
ursus_americanus ENSUAMG00000008417
ailuropoda_melanoleuca ENSAMEG00000012435
mustela_putorius_furo ENSMPUG00000011860
neovison_vison ENSNVIG00000016841
canis_lupus_familiaris ENSCAFG00000005361
canis_lupus_dingo ENSCAFG00020025237
vulpes_vulpes ENSVVUG00000005158
panthera_tigris_altaica ENSPTIG00000015508
panthera_pardus ENSPPRG00000005553
felis_catus ENSFCAG00000037981
equus_asinus_asinus ENSEASG00005007926
equus_caballus ENSECAG00000012099
bos_mutus ENSBMUG00000017579
bos_taurus ENSBTAG00000013015
bison_bison_bison ENSBBBG00000006025
ovis_aries ENSOARG00000003823
capra_hircus ENSCHIG00000025760
tursiops_truncatus ENSTTRG00000009750
sus_scrofa ENSSSCG00000011291
erinaceus_europaeus ENSEEUG00000004093
sorex_araneus ENSSARG00000002869
