microcebus_murinus ENSMICG00000035058
prolemur_simus ENSPSMG00000007905
propithecus_coquereli ENSPCOG00000025157
otolemur_garnettii ENSOGAG00000029101
homo_sapiens ENSG00000179922
gorilla_gorilla ENSGGOG00000016815
pan_troglodytes ENSPTRG00000011520
pan_paniscus ENSPPAG00000028459
pongo_abelii ENSPPYG00000010426
nomascus_leucogenys ENSNLEG00000010550
rhinopithecus_bieti ENSRBIG00000043588
rhinopithecus_roxellana ENSRROG00000030364
colobus_angolensis_palliatus ENSCANG00000030924
piliocolobus_tephrosceles ENSPTEG00000039758
cercocebus_atys ENSCATG00000032549
chlorocebus_sabaeus ENSCSAG00000001726
papio_anubis ENSPANG00000001785
theropithecus_gelada ENSTGEG00000013196
macaca_nemestrina ENSMNEG00000036215
macaca_fascicularis ENSMFAG00000003354
macaca_mulatta ENSMMUG00000004804
cebus_capucinus_imitator ENSCCAG00000032891
callithrix_jacchus ENSCJAG00000017118
aotus_nancymaae ENSANAG00000032571
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030199
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043290
mus_spicilegus ENSMSIG00000013038
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029146
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021013
rattus_norvegicus ENSRNOG00000016279
meriones_unguiculatus ENSMUGG00000004977
cricetulus_griseus_crigri-picr ENSCGRG00015027316
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013279
mesocricetus_auratus ENSMAUG00000005232
peromyscus_maniculatus_bairdii ENSPEMG00000028987
microtus_ochrogaster ENSMOCG00000009299
nannospalax_galili ENSNGAG00000011802
jaculus_jaculus ENSJJAG00000018599
castor_canadensis ENSCCNG00000012260
urocitellus_parryii ENSUPAG00010001966
ictidomys_tridecemlineatus ENSSTOG00000000887
spermophilus_dauricus ENSSDAG00000007416
marmota_marmota_marmota ENSMMMG00000001421
pteropus_vampyrus ENSPVAG00000004548
myotis_lucifugus ENSMLUG00000009100
equus_asinus_asinus ENSEASG00005020727
equus_caballus ENSECAG00000001409
mustela_putorius_furo ENSMPUG00000007306
neovison_vison ENSNVIG00000012440
vulpes_vulpes ENSVVUG00000006982
canis_lupus_dingo ENSCAFG00020015470
ursus_americanus ENSUAMG00000019888
panthera_pardus ENSPPRG00000013540
panthera_tigris_altaica ENSPTIG00000008401
felis_catus ENSFCAG00000030562
bos_mutus ENSBMUG00000001603
bos_taurus ENSBTAG00000016299
capra_hircus ENSCHIG00000023200
ovis_aries ENSOARG00000001117
tursiops_truncatus ENSTTRG00000001861
sus_scrofa ENSSSCG00000037024
chinchilla_lanigera ENSCLAG00000001598
octodon_degus ENSODEG00000011185
cavia_porcellus ENSCPOG00000039249
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012086
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007337
dipodomys_ordii ENSDORG00000027387
tupaia_belangeri ENSTBEG00000006416
loxodonta_africana ENSLAFG00000029320
echinops_telfairi ENSETEG00000015844
dasypus_novemcinctus ENSDNOG00000037332
