mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039540
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022893
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021977
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018715
rattus_norvegicus ENSRNOG00000026376
rattus_norvegicus ENSRNOG00000050332
meriones_unguiculatus ENSMUGG00000026466
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019523
cricetulus_griseus_crigri_1.0 ENSCGRG00000003154
cricetulus_griseus_crigri-picr ENSCGRG00015026839
peromyscus_maniculatus_bairdii ENSPEMG00000019630
