homo_sapiens ENSG00000248167
colobus_angolensis_palliatus ENSCANG00000028141
saimiri_boliviensis_boliviensis ENSSBOG00000031746
microcebus_murinus ENSMICG00000004749
prolemur_simus ENSPSMG00000002188
oryctolagus_cuniculus ENSOCUG00000014141
vulpes_vulpes ENSVVUG00000009510
canis_lupus_dingo ENSCAFG00020017552
ursus_maritimus ENSUMAG00000018932
myotis_lucifugus ENSMLUG00000015705
equus_caballus ENSECAG00000015974
cricetulus_griseus_crigri-picr ENSCGRG00015028514
phascolarctos_cinereus ENSPCIG00000014970
sarcophilus_harrisii ENSSHAG00000005422
