dromaius_novaehollandiae ENSDNVG00000019087
nothoprocta_perdicaria ENSNPEG00000002280
apteryx_owenii ENSAOWG00000010967
anser_brachyrhynchus ENSABRG00000000864
anas_platyrhynchos_platyrhynchos ENSAPLG00000008494
meleagris_gallopavo ENSMGAG00000003783
gallus_gallus ENSGALG00000045436
numida_meleagris ENSNMEG00000006706
crocodylus_porosus ENSCPRG00005000351
chelonoidis_abingdonii ENSCABG00000001933
gopherus_agassizii ENSGAGG00000022857
chrysemys_picta_bellii ENSCPBG00000025212
pelodiscus_sinensis ENSPSIG00000013646
anolis_carolinensis ENSACAG00000006921
pogona_vitticeps ENSPVIG00000002406
salvator_merianae ENSSMRG00000011129
notamacropus_eugenii ENSMEUG00000004154
monodelphis_domestica ENSMODG00000005508
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013176
mesocricetus_auratus ENSMAUG00000015908
microtus_ochrogaster ENSMOCG00000020251
peromyscus_maniculatus_bairdii ENSPEMG00000013148
cricetulus_griseus_crigri-picr ENSCGRG00015005052
cricetulus_griseus_crigri_1.0 ENSCGRG00000016543
mus_spicilegus ENSMSIG00000010002
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039021
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024365
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023448
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024905
rattus_norvegicus ENSRNOG00000050650
meriones_unguiculatus ENSMUGG00000012858
nannospalax_galili ENSNGAG00000009126
jaculus_jaculus ENSJJAG00000011671
castor_canadensis ENSCCNG00000027357
marmota_marmota_marmota ENSMMMG00000017238
spermophilus_dauricus ENSSDAG00000024123
ictidomys_tridecemlineatus ENSSTOG00000008954
urocitellus_parryii ENSUPAG00010014277
chinchilla_lanigera ENSCLAG00000017359
octodon_degus ENSODEG00000003941
cavia_porcellus ENSCPOG00000009055
fukomys_damarensis ENSFDAG00000007097
ochotona_princeps ENSOPRG00000016221
oryctolagus_cuniculus ENSOCUG00000006897
prolemur_simus ENSPSMG00000008485
propithecus_coquereli ENSPCOG00000023536
microcebus_murinus ENSMICG00000005618
pan_troglodytes ENSPTRG00000021395
pan_paniscus ENSPPAG00000033686
homo_sapiens ENSG00000167094
gorilla_gorilla ENSGGOG00000011036
pongo_abelii ENSPPYG00000019626
nomascus_leucogenys ENSNLEG00000017470
theropithecus_gelada ENSTGEG00000021962
papio_anubis ENSPANG00000024831
macaca_mulatta ENSMMUG00000016426
macaca_fascicularis ENSMFAG00000042412
macaca_nemestrina ENSMNEG00000039180
cercocebus_atys ENSCATG00000039439
chlorocebus_sabaeus ENSCSAG00000013773
mandrillus_leucophaeus ENSMLEG00000028546
piliocolobus_tephrosceles ENSPTEG00000016908
colobus_angolensis_palliatus ENSCANG00000040229
rhinopithecus_roxellana ENSRROG00000042923
rhinopithecus_bieti ENSRBIG00000034116
cebus_capucinus_imitator ENSCCAG00000033099
saimiri_boliviensis_boliviensis ENSSBOG00000016245
callithrix_jacchus ENSCJAG00000019847
aotus_nancymaae ENSANAG00000035076
tupaia_belangeri ENSTBEG00000002403
pteropus_vampyrus ENSPVAG00000000955
myotis_lucifugus ENSMLUG00000013457
bos_mutus ENSBMUG00000010746
bos_taurus ENSBTAG00000013509
bison_bison_bison ENSBBBG00000020746
ovis_aries ENSOARG00000011733
capra_hircus ENSCHIG00000021951
tursiops_truncatus ENSTTRG00000016459
sus_scrofa ENSSSCG00000005616
equus_caballus ENSECAG00000009269
equus_asinus_asinus ENSEASG00005020459
ursus_americanus ENSUAMG00000023930
ursus_maritimus ENSUMAG00000000772
ailuropoda_melanoleuca ENSAMEG00000016792
neovison_vison ENSNVIG00000010029
mustela_putorius_furo ENSMPUG00000013752
vulpes_vulpes ENSVVUG00000013213
canis_lupus_dingo ENSCAFG00020015777
panthera_tigris_altaica ENSPTIG00000021095
panthera_pardus ENSPPRG00000009024
felis_catus ENSFCAG00000024945
erinaceus_europaeus ENSEEUG00000012193
sorex_araneus ENSSARG00000005465
otolemur_garnettii ENSOGAG00000034264
choloepus_hoffmanni ENSCHOG00000004831
loxodonta_africana ENSLAFG00000016817
procavia_capensis ENSPCAG00000007038
echinops_telfairi ENSETEG00000019015
ornithorhynchus_anatinus ENSOANG00000028800
xenopus_tropicalis ENSXETG00000017281
latimeria_chalumnae ENSLACG00000016704
poecilia_mexicana ENSPMEG00000021495
poecilia_latipinna ENSPLAG00000013977
poecilia_formosa ENSPFOG00000003623
xiphophorus_maculatus ENSXMAG00000000046
xiphophorus_couchianus ENSXCOG00000011821
kryptolebias_marmoratus ENSKMAG00000003059
oryzias_melastigma ENSOMEG00000003945
amphiprion_ocellaris ENSAOCG00000022512
acanthochromis_polyacanthus ENSAPOG00000007079
stegastes_partitus ENSSPAG00000015948
maylandia_zebra ENSMZEG00005019938
pundamilia_nyererei ENSPNYG00000007920
haplochromis_burtoni ENSHBUG00000000849
astatotilapia_calliptera ENSACLG00000025369
neolamprologus_brichardi ENSNBRG00000015352
oreochromis_niloticus ENSONIG00000013891
monopterus_albus ENSMALG00000005215
mastacembelus_armatus ENSMAMG00000017572
anabas_testudineus ENSATEG00000010458
scophthalmus_maximus ENSSMAG00000013170
seriola_dumerili ENSSDUG00000013115
periophthalmus_magnuspinnatus ENSPMGG00000017899
gadus_morhua ENSGMOG00000003567
esox_lucius ENSELUG00000000556
pygocentrus_nattereri ENSPNAG00000004154
astyanax_mexicanus ENSAMXG00000014283
ictalurus_punctatus ENSIPUG00000014620
danio_rerio ENSDARG00000104035
danio_rerio ENSDARG00000110648
lepisosteus_oculatus ENSLOCG00000002597
petromyzon_marinus ENSPMAG00000000469
ciona_intestinalis ENSCING00000013489
ciona_savignyi ENSCSAVG00000004462
