meleagris_gallopavo ENSMGAG00000013864
gallus_gallus ENSGALG00000035217
coturnix_japonica ENSCJPG00005007286
numida_meleagris ENSNMEG00000015034
anas_platyrhynchos_platyrhynchos ENSAPLG00000003000
lonchura_striata_domestica ENSLSDG00000007749
serinus_canaria ENSSCAG00000008599
junco_hyemalis ENSJHYG00000018083
parus_major ENSPMJG00000008765
manacus_vitellinus ENSMVIG00005011838
lepidothrix_coronata ENSLCOG00000015744
melopsittacus_undulatus ENSMUNG00000010778
calidris_pygmaea ENSCPGG00000013602
calidris_pugnax ENSCPUG00000015055
apteryx_owenii ENSAOWG00000001567
apteryx_haastii ENSAHAG00000004516
apteryx_rowi ENSARWG00000006128
nothoprocta_perdicaria ENSNPEG00000012493
crocodylus_porosus ENSCPRG00005012804
chelonoidis_abingdonii ENSCABG00000014251
gopherus_agassizii ENSGAGG00000001060
chrysemys_picta_bellii ENSCPBG00000025163
pelodiscus_sinensis ENSPSIG00000007692
anolis_carolinensis ENSACAG00000009365
pogona_vitticeps ENSPVIG00000012493
notechis_scutatus ENSNSUG00000005224
salvator_merianae ENSSMRG00000011921
spermophilus_dauricus ENSSDAG00000013672
ochotona_princeps ENSOPRG00000009200
pan_troglodytes ENSPTRG00000046049
gorilla_gorilla ENSGGOG00000039695
rhinopithecus_roxellana ENSRROG00000031434
rhinopithecus_bieti ENSRBIG00000017475
aotus_nancymaae ENSANAG00000026049
carlito_syrichta ENSTSYG00000005552
prolemur_simus ENSPSMG00000021203
propithecus_coquereli ENSPCOG00000012845
microcebus_murinus ENSMICG00000034194
otolemur_garnettii ENSOGAG00000001348
tupaia_belangeri ENSTBEG00000002174
ursus_americanus ENSUAMG00000023678
ursus_maritimus ENSUMAG00000010884
neovison_vison ENSNVIG00000015792
canis_lupus_dingo ENSCAFG00020016039
canis_lupus_familiaris ENSCAFG00000023580
vulpes_vulpes ENSVVUG00000008913
panthera_tigris_altaica ENSPTIG00000010721
panthera_pardus ENSPPRG00000006818
felis_catus ENSFCAG00000024482
erinaceus_europaeus ENSEEUG00000009330
equus_asinus_asinus ENSEASG00005003624
equus_caballus ENSECAG00000007002
pteropus_vampyrus ENSPVAG00000017786
myotis_lucifugus ENSMLUG00000029620
tursiops_truncatus ENSTTRG00000014022
sus_scrofa ENSSSCG00000004269
choloepus_hoffmanni ENSCHOG00000001857
procavia_capensis ENSPCAG00000010137
echinops_telfairi ENSETEG00000011392
mastacembelus_armatus ENSMAMG00000021824
monopterus_albus ENSMALG00000002330
anabas_testudineus ENSATEG00000020674
seriola_lalandi_dorsalis ENSSLDG00000019454
mola_mola ENSMMOG00000007721
labrus_bergylta ENSLBEG00000012961
amphiprion_ocellaris ENSAOCG00000012775
amphiprion_percula ENSAPEG00000012442
acanthochromis_polyacanthus ENSAPOG00000008736
stegastes_partitus ENSSPAG00000007721
maylandia_zebra ENSMZEG00005005548
haplochromis_burtoni ENSHBUG00000008103
pundamilia_nyererei ENSPNYG00000019480
neolamprologus_brichardi ENSNBRG00000013949
amphilophus_citrinellus ENSACIG00000020647
poecilia_formosa ENSPFOG00000011888
poecilia_latipinna ENSPLAG00000017101
poecilia_mexicana ENSPMEG00000009170
poecilia_reticulata ENSPREG00000022571
xiphophorus_couchianus ENSXCOG00000011803
xiphophorus_maculatus ENSXMAG00000009427
fundulus_heteroclitus ENSFHEG00000007913
cyprinodon_variegatus ENSCVAG00000020999
hippocampus_comes ENSHCOG00000013763
periophthalmus_magnuspinnatus ENSPMGG00000019831
pygocentrus_nattereri ENSPNAG00000009838
astyanax_mexicanus ENSAMXG00000009251
ictalurus_punctatus ENSIPUG00000005689
danio_rerio ENSDARG00000106564
paramormyrops_kingsleyae ENSPKIG00000003744
