castor_canadensis ENSCCNG00000008092
dipodomys_ordii ENSDORG00000029816
spermophilus_dauricus ENSSDAG00000005813
marmota_marmota_marmota ENSMMMG00000010454
urocitellus_parryii ENSUPAG00010024003
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012751
cricetulus_griseus_crigri-picr ENSCGRG00015008795
mesocricetus_auratus ENSMAUG00000012003
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000075420
mus_spicilegus ENSMSIG00000028032
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018267
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017422
