oryzias_latipes_asm223471v1 ENSORLG00020017265
oryzias_latipes_asm223467v1 ENSORLG00000021792
oryzias_latipes_asm223469v1 ENSORLG00015015489
oryzias_melastigma ENSOMEG00000023533
kryptolebias_marmoratus ENSKMAG00000022186
astatotilapia_calliptera ENSACLG00000027118
haplochromis_burtoni ENSHBUG00000011374
maylandia_zebra ENSMZEG00005004660
amphilophus_citrinellus ENSACIG00000023468
amphilophus_citrinellus ENSACIG00000008874
stegastes_partitus ENSSPAG00000016776
labrus_bergylta ENSLBEG00000013931
labrus_bergylta ENSLBEG00000016525
cynoglossus_semilaevis ENSCSEG00000003484
amphiprion_percula ENSAPEG00000006373
amphiprion_ocellaris ENSAOCG00000022706
acanthochromis_polyacanthus ENSAPOG00000017753
cyprinodon_variegatus ENSCVAG00000003449
fundulus_heteroclitus ENSFHEG00000016077
seriola_lalandi_dorsalis ENSSLDG00000020673
seriola_dumerili ENSSDUG00000007159
scophthalmus_maximus ENSSMAG00000003111
mola_mola ENSMMOG00000015429
anabas_testudineus ENSATEG00000021040
monopterus_albus ENSMALG00000021201
hippocampus_comes ENSHCOG00000010159
esox_lucius ENSELUG00000006110
pygocentrus_nattereri ENSPNAG00000028169
astyanax_mexicanus ENSAMXG00000034131
ictalurus_punctatus ENSIPUG00000017590
paramormyrops_kingsleyae ENSPKIG00000017743
paramormyrops_kingsleyae ENSPKIG00000019839
scleropages_formosus ENSSFOG00015013126
