ictidomys_tridecemlineatus ENSSTOG00000015422
dipodomys_ordii ENSDORG00000013621
oryctolagus_cuniculus ENSOCUG00000016836
ochotona_princeps ENSOPRG00000015122
prolemur_simus ENSPSMG00000015883
microcebus_murinus ENSMICG00000014550
propithecus_coquereli ENSPCOG00000018432
otolemur_garnettii ENSOGAG00000006612
carlito_syrichta ENSTSYG00000000642
capra_hircus ENSCHIG00000008544
ovis_aries ENSOARG00000017598
bos_taurus ENSBTAG00000050752
bos_taurus ENSBTAG00000012023
bos_mutus ENSBMUG00000010796
tursiops_truncatus ENSTTRG00000015653
sus_scrofa ENSSSCG00000001214
vicugna_pacos ENSVPAG00000000049
erinaceus_europaeus ENSEEUG00000007098
erinaceus_europaeus ENSEEUG00000001485
equus_asinus_asinus ENSEASG00005012133
equus_caballus ENSECAG00000009019
myotis_lucifugus ENSMLUG00000017389
cricetulus_griseus_crigri-picr ENSCGRG00015008209
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010912
cricetulus_griseus_crigri_1.0 ENSCGRG00000004970
mesocricetus_auratus ENSMAUG00000012725
microtus_ochrogaster ENSMOCG00000002495
nannospalax_galili ENSNGAG00000011994
jaculus_jaculus ENSJJAG00000000066
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011718
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007387
fukomys_damarensis ENSFDAG00000020528
chinchilla_lanigera ENSCLAG00000008444
cavia_porcellus ENSCPOG00000002701
octodon_degus ENSODEG00000008830
ursus_americanus ENSUAMG00000012378
ursus_maritimus ENSUMAG00000019316
ailuropoda_melanoleuca ENSAMEG00000013875
mustela_putorius_furo ENSMPUG00000001261
neovison_vison ENSNVIG00000014238
canis_lupus_dingo ENSCAFG00020003096
canis_lupus_familiaris ENSCAFG00000011947
vulpes_vulpes ENSVVUG00000020135
panthera_pardus ENSPPRG00000013752
panthera_tigris_altaica ENSPTIG00000005600
felis_catus ENSFCAG00000027268
bos_mutus ENSBMUG00000002178
choloepus_hoffmanni ENSCHOG00000008399
dasypus_novemcinctus ENSDNOG00000033292
loxodonta_africana ENSLAFG00000015887
procavia_capensis ENSPCAG00000015713
echinops_telfairi ENSETEG00000015415
