capra_hircus ENSCHIG00000012793
sus_scrofa ENSSSCG00000036148
mustela_putorius_furo ENSMPUG00000016943
canis_lupus_familiaris ENSCAFG00000030398
rhinopithecus_bieti ENSRBIG00000040081
spermophilus_dauricus ENSSDAG00000000682
dasypus_novemcinctus ENSDNOG00000040726
monodelphis_domestica ENSMODG00000027350
ornithorhynchus_anatinus ENSOANG00000002012
ornithorhynchus_anatinus ENSOANG00000003490
pogona_vitticeps ENSPVIG00000000059
notechis_scutatus ENSNSUG00000007339
sphenodon_punctatus ENSSPUG00000013555
lonchura_striata_domestica ENSLSDG00000009029
dromaius_novaehollandiae ENSDNVG00000011912
gopherus_agassizii ENSGAGG00000023282
chelonoidis_abingdonii ENSCABG00000021848
chrysemys_picta_bellii ENSCPBG00000026876
