saimiri_boliviensis_boliviensis ENSSBOG00000019237
cebus_capucinus_imitator ENSCCAG00000019220
aotus_nancymaae ENSANAG00000019533
pan_troglodytes ENSPTRG00000044860
pan_paniscus ENSPPAG00000032446
gorilla_gorilla ENSGGOG00000041434
nomascus_leucogenys ENSNLEG00000027988
theropithecus_gelada ENSTGEG00000001051
papio_anubis ENSPANG00000030312
mandrillus_leucophaeus ENSMLEG00000012844
carlito_syrichta ENSTSYG00000037186
microcebus_murinus ENSMICG00000033522
propithecus_coquereli ENSPCOG00000012038
castor_canadensis ENSCCNG00000009309
sus_scrofa ENSSSCG00000039147
