equus_caballus ENSECAG00000016652
equus_asinus_asinus ENSEASG00005006651
pteropus_vampyrus ENSPVAG00000016540
sus_scrofa ENSSSCG00000000549
tursiops_truncatus ENSTTRG00000012356
ailuropoda_melanoleuca ENSAMEG00000011565
ursus_maritimus ENSUMAG00000001317
canis_lupus_dingo ENSCAFG00020013476
canis_lupus_familiaris ENSCAFG00000010994
vulpes_vulpes ENSVVUG00000030242
panthera_pardus ENSPPRG00000006483
panthera_tigris_altaica ENSPTIG00000016378
felis_catus ENSFCAG00000007533
myotis_lucifugus ENSMLUG00000003254
neovison_vison ENSNVIG00000001780
bos_mutus ENSBMUG00000023024
bos_taurus ENSBTAG00000004283
bison_bison_bison ENSBBBG00000001757
capra_hircus ENSCHIG00000026121
ovis_aries ENSOARG00000019722
vicugna_pacos ENSVPAG00000012171
jaculus_jaculus ENSJJAG00000010937
jaculus_jaculus ENSJJAG00000011238
microtus_ochrogaster ENSMOCG00000021752
otolemur_garnettii ENSOGAG00000010615
macaca_mulatta ENSMMUG00000038995
macaca_fascicularis ENSMFAG00000040984
cercocebus_atys ENSCATG00000032479
theropithecus_gelada ENSTGEG00000027173
rhinopithecus_roxellana ENSRROG00000036736
colobus_angolensis_palliatus ENSCANG00000035379
pongo_abelii ENSPPYG00000004381
mandrillus_leucophaeus ENSMLEG00000037770
cercocebus_atys ENSCATG00000032505
papio_anubis ENSPANG00000012635
macaca_fascicularis ENSMFAG00000036882
macaca_mulatta ENSMMUG00000021737
macaca_nemestrina ENSMNEG00000030950
theropithecus_gelada ENSTGEG00000027767
chlorocebus_sabaeus ENSCSAG00000007602
gorilla_gorilla ENSGGOG00000013345
pan_troglodytes ENSPTRG00000004790
pan_paniscus ENSPPAG00000033579
homo_sapiens ENSG00000110841
nomascus_leucogenys ENSNLEG00000005508
rhinopithecus_roxellana ENSRROG00000042748
rhinopithecus_bieti ENSRBIG00000024802
piliocolobus_tephrosceles ENSPTEG00000029507
saimiri_boliviensis_boliviensis ENSSBOG00000019194
cebus_capucinus_imitator ENSCCAG00000027863
callithrix_jacchus ENSCJAG00000038353
aotus_nancymaae ENSANAG00000029996
carlito_syrichta ENSTSYG00000010809
ursus_americanus ENSUAMG00000023097
erinaceus_europaeus ENSEEUG00000002425
chinchilla_lanigera ENSCLAG00000002767
cavia_porcellus ENSCPOG00000006847
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012188
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001966
fukomys_damarensis ENSFDAG00000009493
spermophilus_dauricus ENSSDAG00000016201
urocitellus_parryii ENSUPAG00010016965
marmota_marmota_marmota ENSMMMG00000021683
cricetulus_griseus_crigri_1.0 ENSCGRG00000011034
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001020798
cricetulus_griseus_crigri-picr ENSCGRG00015003494
peromyscus_maniculatus_bairdii ENSPEMG00000009235
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030116
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000016487
mus_spicilegus ENSMSIG00000013677
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029061
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022822
rattus_norvegicus ENSRNOG00000031709
meriones_unguiculatus ENSMUGG00000010543
castor_canadensis ENSCCNG00000016674
echinops_telfairi ENSETEG00000017077
prolemur_simus ENSPSMG00000016796
microcebus_murinus ENSMICG00000017684
tupaia_belangeri ENSTBEG00000008185
procavia_capensis ENSPCAG00000003982
oryctolagus_cuniculus ENSOCUG00000016191
ochotona_princeps ENSOPRG00000007855
dipodomys_ordii ENSDORG00000029800
choloepus_hoffmanni ENSCHOG00000004994
loxodonta_africana ENSLAFG00000010485
propithecus_coquereli ENSPCOG00000024753
ovis_aries ENSOARG00000002632
dasypus_novemcinctus ENSDNOG00000003067
castor_canadensis ENSCCNG00000023752
octodon_degus ENSODEG00000009646
pan_paniscus ENSPPAG00000030904
pan_troglodytes ENSPTRG00000050206
rhinopithecus_bieti ENSRBIG00000040135
phascolarctos_cinereus ENSPCIG00000005251
notamacropus_eugenii ENSMEUG00000014378
sarcophilus_harrisii ENSSHAG00000002157
monodelphis_domestica ENSMODG00000014437
sarcophilus_harrisii ENSSHAG00000009260
apteryx_owenii ENSAOWG00000010299
apteryx_rowi ENSARWG00000018382
apteryx_haastii ENSAHAG00000013057
nothoprocta_perdicaria ENSNPEG00000001649
dromaius_novaehollandiae ENSDNVG00000000795
zonotrichia_albicollis ENSZALG00000000999
junco_hyemalis ENSJHYG00000010113
serinus_canaria ENSSCAG00000009235
lonchura_striata_domestica ENSLSDG00000014528
taeniopygia_guttata ENSTGUG00000012151
ficedula_albicollis ENSFALG00000003955
parus_major ENSPMJG00000009077
cyanistes_caeruleus ENSCCEG00000019278
manacus_vitellinus ENSMVIG00005019955
lepidothrix_coronata ENSLCOG00000007912
melopsittacus_undulatus ENSMUNG00000007551
calidris_pygmaea ENSCPGG00000016008
calidris_pugnax ENSCPUG00000005640
anser_brachyrhynchus ENSABRG00000004742
anas_platyrhynchos_platyrhynchos ENSAPLG00000009279
gallus_gallus ENSGALG00000014106
meleagris_gallopavo ENSMGAG00000013758
coturnix_japonica ENSCJPG00005014207
numida_meleagris ENSNMEG00000013388
crocodylus_porosus ENSCPRG00005003349
gopherus_agassizii ENSGAGG00000000781
chelonoidis_abingdonii ENSCABG00000000990
chrysemys_picta_bellii ENSCPBG00000023210
pelodiscus_sinensis ENSPSIG00000010149
pogona_vitticeps ENSPVIG00000017325
anolis_carolinensis ENSACAG00000012507
salvator_merianae ENSSMRG00000012209
sphenodon_punctatus ENSSPUG00000015727
anas_platyrhynchos_platyrhynchos ENSAPLG00000025790
latimeria_chalumnae ENSLACG00000001111
nannospalax_galili ENSNGAG00000009391
nannospalax_galili ENSNGAG00000010515
mesocricetus_auratus ENSMAUG00000012620
mesocricetus_auratus ENSMAUG00000020104
microtus_ochrogaster ENSMOCG00000010996
cavia_aperea ENSCAPG00000013557
mola_mola ENSMMOG00000005609
ornithorhynchus_anatinus ENSOANG00000006286
xenopus_tropicalis ENSXETG00000016522
labrus_bergylta ENSLBEG00000008675
neolamprologus_brichardi ENSNBRG00000003489
anabas_testudineus ENSATEG00000021652
mastacembelus_armatus ENSMAMG00000006117
scophthalmus_maximus ENSSMAG00000006761
cynoglossus_semilaevis ENSCSEG00000005894
seriola_dumerili ENSSDUG00000018561
seriola_lalandi_dorsalis ENSSLDG00000022734
gasterosteus_aculeatus ENSGACG00000011771
amphiprion_percula ENSAPEG00000006946
amphiprion_ocellaris ENSAOCG00000010466
acanthochromis_polyacanthus ENSAPOG00000018516
stegastes_partitus ENSSPAG00000008992
poecilia_formosa ENSPFOG00000016359
poecilia_mexicana ENSPMEG00000018773
poecilia_latipinna ENSPLAG00000015236
poecilia_reticulata ENSPREG00000017701
xiphophorus_maculatus ENSXMAG00000001511
xiphophorus_couchianus ENSXCOG00000020485
gambusia_affinis ENSGAFG00000007142
fundulus_heteroclitus ENSFHEG00000008333
cyprinodon_variegatus ENSCVAG00000006528
kryptolebias_marmoratus ENSKMAG00000004952
oryzias_latipes_asm223471v1 ENSORLG00020021622
oryzias_latipes_asm223467v1 ENSORLG00000011011
oryzias_latipes_asm223469v1 ENSORLG00015012186
oryzias_melastigma ENSOMEG00000010572
astatotilapia_calliptera ENSACLG00000027329
maylandia_zebra ENSMZEG00005018917
pundamilia_nyererei ENSPNYG00000013280
haplochromis_burtoni ENSHBUG00000014220
oreochromis_niloticus ENSONIG00000014653
amphilophus_citrinellus ENSACIG00000006012
labrus_bergylta ENSLBEG00000020434
monopterus_albus ENSMALG00000003403
takifugu_rubripes ENSTRUG00000008248
tetraodon_nigroviridis ENSTNIG00000012140
mola_mola ENSMMOG00000017067
hippocampus_comes ENSHCOG00000011888
periophthalmus_magnuspinnatus ENSPMGG00000013686
gadus_morhua ENSGMOG00000004142
esox_lucius ENSELUG00000024172
pygocentrus_nattereri ENSPNAG00000018871
astyanax_mexicanus ENSAMXG00000020196
ictalurus_punctatus ENSIPUG00000016913
danio_rerio ENSDARG00000100057
takifugu_rubripes ENSTRUG00000013873
tetraodon_nigroviridis ENSTNIG00000012657
gasterosteus_aculeatus ENSGACG00000020026
cynoglossus_semilaevis ENSCSEG00000004570
amphiprion_percula ENSAPEG00000021411
amphiprion_ocellaris ENSAOCG00000007188
mastacembelus_armatus ENSMAMG00000015433
mola_mola ENSMMOG00000006996
scophthalmus_maximus ENSSMAG00000004880
fundulus_heteroclitus ENSFHEG00000021284
cyprinodon_variegatus ENSCVAG00000016230
xiphophorus_couchianus ENSXCOG00000013791
xiphophorus_maculatus ENSXMAG00000017426
gambusia_affinis ENSGAFG00000016367
poecilia_formosa ENSPFOG00000017778
poecilia_latipinna ENSPLAG00000019673
poecilia_mexicana ENSPMEG00000019489
poecilia_reticulata ENSPREG00000022557
kryptolebias_marmoratus ENSKMAG00000012499
oryzias_latipes_asm223467v1 ENSORLG00000016372
oryzias_latipes_asm223471v1 ENSORLG00020009049
oryzias_latipes_asm223469v1 ENSORLG00015008233
oryzias_melastigma ENSOMEG00000003669
astatotilapia_calliptera ENSACLG00000017416
maylandia_zebra ENSMZEG00005001628
haplochromis_burtoni ENSHBUG00000012255
pundamilia_nyererei ENSPNYG00000018682
neolamprologus_brichardi ENSNBRG00000010794
oreochromis_niloticus ENSONIG00000000001
amphilophus_citrinellus ENSACIG00000014253
amphiprion_ocellaris ENSAOCG00000023016
acanthochromis_polyacanthus ENSAPOG00000023202
stegastes_partitus ENSSPAG00000023074
periophthalmus_magnuspinnatus ENSPMGG00000023400
labrus_bergylta ENSLBEG00000021784
monopterus_albus ENSMALG00000011551
anabas_testudineus ENSATEG00000023121
seriola_lalandi_dorsalis ENSSLDG00000019169
seriola_lalandi_dorsalis ENSSLDG00000016502
seriola_dumerili ENSSDUG00000018031
hippocampus_comes ENSHCOG00000018040
gadus_morhua ENSGMOG00000010347
esox_lucius ENSELUG00000002578
astyanax_mexicanus ENSAMXG00000005360
pygocentrus_nattereri ENSPNAG00000008523
ictalurus_punctatus ENSIPUG00000017624
danio_rerio ENSDARG00000045749
paramormyrops_kingsleyae ENSPKIG00000024823
scleropages_formosus ENSSFOG00015024002
lepisosteus_oculatus ENSLOCG00000015237
petromyzon_marinus ENSPMAG00000004269
eptatretus_burgeri ENSEBUG00000001149
periophthalmus_magnuspinnatus ENSPMGG00000020946
periophthalmus_magnuspinnatus ENSPMGG00000020952
kryptolebias_marmoratus ENSKMAG00000006789
eptatretus_burgeri ENSEBUG00000001804
eptatretus_burgeri ENSEBUG00000009287
hippocampus_comes ENSHCOG00000016431
hippocampus_comes ENSHCOG00000016411
stegastes_partitus ENSSPAG00000017276
stegastes_partitus ENSSPAG00000017293
amphiprion_ocellaris ENSAOCG00000001673
amphiprion_percula ENSAPEG00000008506
acanthochromis_polyacanthus ENSAPOG00000009864
labrus_bergylta ENSLBEG00000028765
mastacembelus_armatus ENSMAMG00000014204
monopterus_albus ENSMALG00000004319
anabas_testudineus ENSATEG00000008477
seriola_dumerili ENSSDUG00000003645
seriola_lalandi_dorsalis ENSSLDG00000013641
fundulus_heteroclitus ENSFHEG00000021850
cyprinodon_variegatus ENSCVAG00000023169
xiphophorus_maculatus ENSXMAG00000015590
xiphophorus_couchianus ENSXCOG00000020679
gambusia_affinis ENSGAFG00000021921
poecilia_formosa ENSPFOG00000008322
poecilia_mexicana ENSPMEG00000016997
poecilia_latipinna ENSPLAG00000007852
poecilia_reticulata ENSPREG00000002035
oryzias_latipes_asm223469v1 ENSORLG00015003269
oryzias_latipes_asm223471v1 ENSORLG00020009387
oryzias_latipes_asm223467v1 ENSORLG00000019339
oryzias_melastigma ENSOMEG00000016418
astatotilapia_calliptera ENSACLG00000012559
maylandia_zebra ENSMZEG00005012943
pundamilia_nyererei ENSPNYG00000008584
haplochromis_burtoni ENSHBUG00000002225
neolamprologus_brichardi ENSNBRG00000001542
scophthalmus_maximus ENSSMAG00000016679
mola_mola ENSMMOG00000019404
oreochromis_niloticus ENSONIG00000010998
oreochromis_niloticus ENSONIG00000010996
amphilophus_citrinellus ENSACIG00000000236
amphilophus_citrinellus ENSACIG00000000156
cynoglossus_semilaevis ENSCSEG00000021753
takifugu_rubripes ENSTRUG00000007868
tetraodon_nigroviridis ENSTNIG00000006343
gasterosteus_aculeatus ENSGACG00000002452
gadus_morhua ENSGMOG00000008924
esox_lucius ENSELUG00000015986
pygocentrus_nattereri ENSPNAG00000019627
pygocentrus_nattereri ENSPNAG00000019659
astyanax_mexicanus ENSAMXG00000013041
