mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028090
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029138
rattus_norvegicus ENSRNOG00000055899
meriones_unguiculatus ENSMUGG00000027006
cricetulus_griseus_crigri-picr ENSCGRG00015025327
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029287
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027094
ictidomys_tridecemlineatus ENSSTOG00000022866
marmota_marmota_marmota ENSMMMG00000020337
urocitellus_parryii ENSUPAG00010005900
spermophilus_dauricus ENSSDAG00000006707
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019126
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005373
fukomys_damarensis ENSFDAG00000013380
chinchilla_lanigera ENSCLAG00000009921
