loxodonta_africana ENSLAFG00000030756
dasypus_novemcinctus ENSDNOG00000037080
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024036
cricetulus_griseus_crigri_1.0 ENSCGRG00000003139
cricetulus_griseus_crigri-picr ENSCGRG00015005416
mesocricetus_auratus ENSMAUG00000010970
microtus_ochrogaster ENSMOCG00000013277
peromyscus_maniculatus_bairdii ENSPEMG00000000557
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025332
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027443
mus_spicilegus ENSMSIG00000003169
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024414
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025857
rattus_norvegicus ENSRNOG00000004946
meriones_unguiculatus ENSMUGG00000020403
jaculus_jaculus ENSJJAG00000012500
castor_canadensis ENSCCNG00000008563
dipodomys_ordii ENSDORG00000023744
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013506
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009572
fukomys_damarensis ENSFDAG00000002588
chinchilla_lanigera ENSCLAG00000015474
octodon_degus ENSODEG00000012595
cavia_porcellus ENSCPOG00000025993
urocitellus_parryii ENSUPAG00010009878
ictidomys_tridecemlineatus ENSSTOG00000024532
marmota_marmota_marmota ENSMMMG00000004491
spermophilus_dauricus ENSSDAG00000016643
pan_paniscus ENSPPAG00000034245
pan_troglodytes ENSPTRG00000045117
nomascus_leucogenys ENSNLEG00000033018
rhinopithecus_bieti ENSRBIG00000044901
rhinopithecus_roxellana ENSRROG00000037494
piliocolobus_tephrosceles ENSPTEG00000002777
colobus_angolensis_palliatus ENSCANG00000040330
macaca_nemestrina ENSMNEG00000032864
macaca_mulatta ENSMMUG00000016490
macaca_fascicularis ENSMFAG00000032810
mandrillus_leucophaeus ENSMLEG00000034262
papio_anubis ENSPANG00000007716
cercocebus_atys ENSCATG00000043404
theropithecus_gelada ENSTGEG00000020213
cebus_capucinus_imitator ENSCCAG00000037786
saimiri_boliviensis_boliviensis ENSSBOG00000025115
callithrix_jacchus ENSCJAG00000000701
aotus_nancymaae ENSANAG00000036383
panthera_tigris_altaica ENSPTIG00000005550
panthera_pardus ENSPPRG00000013202
felis_catus ENSFCAG00000026179
ursus_americanus ENSUAMG00000024301
ursus_maritimus ENSUMAG00000004140
equus_asinus_asinus ENSEASG00005002580
equus_caballus ENSECAG00000014988
bison_bison_bison ENSBBBG00000022528
bos_taurus ENSBTAG00000013416
capra_hircus ENSCHIG00000003642
ovis_aries ENSOARG00000005935
urocitellus_parryii ENSUPAG00010009872
marmota_marmota_marmota ENSMMMG00000004483
ictidomys_tridecemlineatus ENSSTOG00000021841
spermophilus_dauricus ENSSDAG00000016632
castor_canadensis ENSCCNG00000008566
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024407
cricetulus_griseus_crigri-picr ENSCGRG00015005442
cricetulus_griseus_crigri_1.0 ENSCGRG00000008573
microtus_ochrogaster ENSMOCG00000015424
peromyscus_maniculatus_bairdii ENSPEMG00000018705
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027444
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025331
mus_spicilegus ENSMSIG00000003153
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024413
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025856
rattus_norvegicus ENSRNOG00000004858
nannospalax_galili ENSNGAG00000017525
jaculus_jaculus ENSJJAG00000012315
prolemur_simus ENSPSMG00000008923
otolemur_garnettii ENSOGAG00000031265
dasypus_novemcinctus ENSDNOG00000031415
oryctolagus_cuniculus ENSOCUG00000027150
