cyprinodon_variegatus ENSCVAG00000006242
fundulus_heteroclitus ENSFHEG00000002495
poecilia_formosa ENSPFOG00000009761
poecilia_latipinna ENSPLAG00000023878
poecilia_reticulata ENSPREG00000015469
poecilia_mexicana ENSPMEG00000003637
xiphophorus_maculatus ENSXMAG00000022972
xiphophorus_couchianus ENSXCOG00000001640
gambusia_affinis ENSGAFG00000016779
kryptolebias_marmoratus ENSKMAG00000004296
oryzias_latipes_asm223467v1 ENSORLG00000022969
oryzias_latipes_asm223469v1 ENSORLG00015017211
oryzias_latipes_asm223471v1 ENSORLG00020018926
oryzias_melastigma ENSOMEG00000018821
maylandia_zebra ENSMZEG00005004613
astatotilapia_calliptera ENSACLG00000016826
pundamilia_nyererei ENSPNYG00000014886
haplochromis_burtoni ENSHBUG00000012691
oreochromis_niloticus ENSONIG00000005326
amphilophus_citrinellus ENSACIG00000022373
gasterosteus_aculeatus ENSGACG00000016922
anabas_testudineus ENSATEG00000014331
cynoglossus_semilaevis ENSCSEG00000005853
seriola_lalandi_dorsalis ENSSLDG00000015832
seriola_dumerili ENSSDUG00000016976
labrus_bergylta ENSLBEG00000005536
monopterus_albus ENSMALG00000012259
scophthalmus_maximus ENSSMAG00000017799
mastacembelus_armatus ENSMAMG00000021629
mola_mola ENSMMOG00000002912
takifugu_rubripes ENSTRUG00000024356
amphiprion_ocellaris ENSAOCG00000001161
amphiprion_percula ENSAPEG00000009958
acanthochromis_polyacanthus ENSAPOG00000013024
stegastes_partitus ENSSPAG00000007671
tetraodon_nigroviridis ENSTNIG00000016800
hippocampus_comes ENSHCOG00000007104
periophthalmus_magnuspinnatus ENSPMGG00000018196
gadus_morhua ENSGMOG00000008671
esox_lucius ENSELUG00000007504
pygocentrus_nattereri ENSPNAG00000008604
astyanax_mexicanus ENSAMXG00000010525
ictalurus_punctatus ENSIPUG00000002580
danio_rerio ENSDARG00000029609
scleropages_formosus ENSSFOG00015005972
paramormyrops_kingsleyae ENSPKIG00000008514
lepisosteus_oculatus ENSLOCG00000001373
notamacropus_eugenii ENSMEUG00000010976
phascolarctos_cinereus ENSPCIG00000016939
procavia_capensis ENSPCAG00000015028
echinops_telfairi ENSETEG00000004273
ailuropoda_melanoleuca ENSAMEG00000017979
ursus_americanus ENSUAMG00000015226
neovison_vison ENSNVIG00000019904
mustela_putorius_furo ENSMPUG00000013309
canis_lupus_dingo ENSCAFG00020014046
canis_lupus_familiaris ENSCAFG00000014712
vulpes_vulpes ENSVVUG00000029782
felis_catus ENSFCAG00000046598
pteropus_vampyrus ENSPVAG00000017102
sus_scrofa ENSSSCG00000013043
tursiops_truncatus ENSTTRG00000010228
bos_taurus ENSBTAG00000017181
bos_mutus ENSBMUG00000015005
