gorilla_gorilla ENSGGOG00000040446
homo_sapiens ENSG00000100027
pan_troglodytes ENSPTRG00000052634
pan_paniscus ENSPPAG00000032984
pongo_abelii ENSPPYG00000011607
nomascus_leucogenys ENSNLEG00000000235
cebus_capucinus_imitator ENSCCAG00000019462
callithrix_jacchus ENSCJAG00000044981
saimiri_boliviensis_boliviensis ENSSBOG00000025556
aotus_nancymaae ENSANAG00000023399
colobus_angolensis_palliatus ENSCANG00000042066
piliocolobus_tephrosceles ENSPTEG00000005155
rhinopithecus_roxellana ENSRROG00000043831
rhinopithecus_bieti ENSRBIG00000028107
macaca_nemestrina ENSMNEG00000038247
macaca_mulatta ENSMMUG00000046199
macaca_fascicularis ENSMFAG00000032433
mandrillus_leucophaeus ENSMLEG00000042626
cercocebus_atys ENSCATG00000026254
chlorocebus_sabaeus ENSCSAG00000013663
papio_anubis ENSPANG00000022386
junco_hyemalis ENSJHYG00000014533
chrysemys_picta_bellii ENSCPBG00000002413
eptatretus_burgeri ENSEBUG00000013443
oryzias_latipes_asm223471v1 ENSORLG00020014471
hippocampus_comes ENSHCOG00000008472
seriola_dumerili ENSSDUG00000018327
petromyzon_marinus ENSPMAG00000003573
phascolarctos_cinereus ENSPCIG00000030743
monodelphis_domestica ENSMODG00000014358
sarcophilus_harrisii ENSSHAG00000007176
calidris_pugnax ENSCPUG00000006447
calidris_pygmaea ENSCPGG00000013562
melopsittacus_undulatus ENSMUNG00000013354
anas_platyrhynchos_platyrhynchos ENSAPLG00000026762
anser_brachyrhynchus ENSABRG00000014559
gallus_gallus ENSGALG00000052223
meleagris_gallopavo ENSMGAG00000001080
coturnix_japonica ENSCJPG00005019020
numida_meleagris ENSNMEG00000010743
serinus_canaria ENSSCAG00000004670
zonotrichia_albicollis ENSZALG00000012694
lonchura_striata_domestica ENSLSDG00000009513
taeniopygia_guttata ENSTGUG00000008598
cyanistes_caeruleus ENSCCEG00000016691
parus_major ENSPMJG00000014267
apteryx_rowi ENSARWG00000009541
apteryx_owenii ENSAOWG00000006083
apteryx_haastii ENSAHAG00000018617
nothoprocta_perdicaria ENSNPEG00000010480
dromaius_novaehollandiae ENSDNVG00000002256
crocodylus_porosus ENSCPRG00005000641
gopherus_agassizii ENSGAGG00000020724
chelonoidis_abingdonii ENSCABG00000020760
pelodiscus_sinensis ENSPSIG00000003214
pogona_vitticeps ENSPVIG00000000884
anolis_carolinensis ENSACAG00000001397
notechis_scutatus ENSNSUG00000009517
salvator_merianae ENSSMRG00000009624
sphenodon_punctatus ENSSPUG00000015624
xenopus_tropicalis ENSXETG00000024940
astyanax_mexicanus ENSAMXG00000042535
pygocentrus_nattereri ENSPNAG00000020710
ictalurus_punctatus ENSIPUG00000020326
danio_rerio ENSDARG00000035630
mastacembelus_armatus ENSMAMG00000015800
monopterus_albus ENSMALG00000020949
anabas_testudineus ENSATEG00000007218
seriola_lalandi_dorsalis ENSSLDG00000025506
stegastes_partitus ENSSPAG00000006493
scleropages_formosus ENSSFOG00015014572
lepisosteus_oculatus ENSLOCG00000002013
eptatretus_burgeri ENSEBUG00000014848
dasypus_novemcinctus ENSDNOG00000004882
canis_lupus_familiaris ENSCAFG00000015397
canis_lupus_dingo ENSCAFG00020015090
vulpes_vulpes ENSVVUG00000020414
ursus_americanus ENSUAMG00000021267
ursus_maritimus ENSUMAG00000003440
ailuropoda_melanoleuca ENSAMEG00000008868
panthera_tigris_altaica ENSPTIG00000006914
panthera_pardus ENSPPRG00000010159
felis_catus ENSFCAG00000040144
mustela_putorius_furo ENSMPUG00000003148
pteropus_vampyrus ENSPVAG00000013638
erinaceus_europaeus ENSEEUG00000002814
equus_asinus_asinus ENSEASG00005022273
equus_caballus ENSECAG00000008761
myotis_lucifugus ENSMLUG00000016663
myotis_lucifugus ENSMLUG00000002283
sus_scrofa ENSSSCG00000037288
octodon_degus ENSODEG00000016029
fukomys_damarensis ENSFDAG00000018695
castor_canadensis ENSCCNG00000026060
dipodomys_ordii ENSDORG00000025855
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022773
rattus_norvegicus ENSRNOG00000001858
meriones_unguiculatus ENSMUGG00000009579
peromyscus_maniculatus_bairdii ENSPEMG00000026407
microtus_ochrogaster ENSMOCG00000013760
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011898
cricetulus_griseus_crigri-picr ENSCGRG00015009644
cricetulus_griseus_crigri_1.0 ENSCGRG00000007512
mesocricetus_auratus ENSMAUG00000016854
nannospalax_galili ENSNGAG00000011268
