xenopus_tropicalis ENSXETG00000009480
latimeria_chalumnae ENSLACG00000011388
notechis_scutatus ENSNSUG00000006298
notechis_scutatus ENSNSUG00000006299
pogona_vitticeps ENSPVIG00000011878
anolis_carolinensis ENSACAG00000029126
salvator_merianae ENSSMRG00000007357
sphenodon_punctatus ENSSPUG00000010948
calidris_pugnax ENSCPUG00000000652
calidris_pygmaea ENSCPGG00000005330
melopsittacus_undulatus ENSMUNG00000010814
parus_major ENSPMJG00000004871
cyanistes_caeruleus ENSCCEG00000001925
zonotrichia_albicollis ENSZALG00000006350
junco_hyemalis ENSJHYG00000002855
manacus_vitellinus ENSMVIG00005000514
lepidothrix_coronata ENSLCOG00000016455
serinus_canaria ENSSCAG00000016440
ficedula_albicollis ENSFALG00000008758
taeniopygia_guttata ENSTGUG00000013864
taeniopygia_guttata ENSTGUG00000010273
lonchura_striata_domestica ENSLSDG00000005176
junco_hyemalis ENSJHYG00000002862
coturnix_japonica ENSCJPG00005019996
gallus_gallus ENSGALG00000008230
numida_meleagris ENSNMEG00000013546
anser_brachyrhynchus ENSABRG00000007251
anas_platyrhynchos_platyrhynchos ENSAPLG00000026176
apteryx_owenii ENSAOWG00000004711
apteryx_rowi ENSARWG00000000579
apteryx_haastii ENSAHAG00000002081
dromaius_novaehollandiae ENSDNVG00000013967
nothoprocta_perdicaria ENSNPEG00000011412
crocodylus_porosus ENSCPRG00005012695
gopherus_agassizii ENSGAGG00000024294
chelonoidis_abingdonii ENSCABG00000012625
chrysemys_picta_bellii ENSCPBG00000024492
pelodiscus_sinensis ENSPSIG00000004981
notamacropus_eugenii ENSMEUG00000008783
phascolarctos_cinereus ENSPCIG00000028313
monodelphis_domestica ENSMODG00000011120
propithecus_coquereli ENSPCOG00000027010
microcebus_murinus ENSMICG00000034497
prolemur_simus ENSPSMG00000012356
otolemur_garnettii ENSOGAG00000017097
pan_paniscus ENSPPAG00000041879
gorilla_gorilla ENSGGOG00000014657
colobus_angolensis_palliatus ENSCANG00000030001
pan_troglodytes ENSPTRG00000002908
homo_sapiens ENSG00000156374
gorilla_gorilla ENSGGOG00000027414
pongo_abelii ENSPPYG00000002618
theropithecus_gelada ENSTGEG00000021645
papio_anubis ENSPANG00000020957
mandrillus_leucophaeus ENSMLEG00000038894
macaca_fascicularis ENSMFAG00000001835
macaca_nemestrina ENSMNEG00000030820
macaca_mulatta ENSMMUG00000008873
cercocebus_atys ENSCATG00000041896
chlorocebus_sabaeus ENSCSAG00000005362
rhinopithecus_bieti ENSRBIG00000034630
rhinopithecus_roxellana ENSRROG00000030643
piliocolobus_tephrosceles ENSPTEG00000005185
pan_troglodytes ENSPTRG00000038824
nomascus_leucogenys ENSNLEG00000033689
saimiri_boliviensis_boliviensis ENSSBOG00000021501
cebus_capucinus_imitator ENSCCAG00000037838
callithrix_jacchus ENSCJAG00000018192
aotus_nancymaae ENSANAG00000028199
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016264
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002539
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018184
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009839
fukomys_damarensis ENSFDAG00000014221
cavia_porcellus ENSCPOG00000004021
