pongo_abelii ENSPPYG00000006096
homo_sapiens ENSG00000165948
nomascus_leucogenys ENSNLEG00000028196
papio_anubis ENSPANG00000032176
theropithecus_gelada ENSTGEG00000004440
macaca_fascicularis ENSMFAG00000002807
macaca_nemestrina ENSMNEG00000029364
macaca_mulatta ENSMMUG00000002383
mandrillus_leucophaeus ENSMLEG00000042401
cercocebus_atys ENSCATG00000036473
chlorocebus_sabaeus ENSCSAG00000010993
rhinopithecus_roxellana ENSRROG00000032633
rhinopithecus_bieti ENSRBIG00000031703
colobus_angolensis_palliatus ENSCANG00000041745
