astatotilapia_calliptera ENSACLG00000025195
pundamilia_nyererei ENSPNYG00000013928
haplochromis_burtoni ENSHBUG00000009731
pundamilia_nyererei ENSPNYG00000004237
neolamprologus_brichardi ENSNBRG00000022948
neolamprologus_brichardi ENSNBRG00000022914
amphilophus_citrinellus ENSACIG00000023196
poecilia_latipinna ENSPLAG00000016165
xiphophorus_couchianus ENSXCOG00000020370
cyprinodon_variegatus ENSCVAG00000010604
kryptolebias_marmoratus ENSKMAG00000013263
oryzias_latipes_asm223471v1 ENSORLG00020002021
periophthalmus_magnuspinnatus ENSPMGG00000012853
scleropages_formosus ENSSFOG00015013454
scleropages_formosus ENSSFOG00015021920
