chelonoidis_abingdonii ENSCABG00000021912
gopherus_agassizii ENSGAGG00000016818
chrysemys_picta_bellii ENSCPBG00000017963
pelodiscus_sinensis ENSPSIG00000012181
apteryx_haastii ENSAHAG00000018125
apteryx_owenii ENSAOWG00000008531
apteryx_rowi ENSARWG00000008288
dromaius_novaehollandiae ENSDNVG00000004224
salvator_merianae ENSSMRG00000011133
anolis_carolinensis ENSACAG00000000746
pogona_vitticeps ENSPVIG00000019788
notechis_scutatus ENSNSUG00000013868
anser_brachyrhynchus ENSABRG00000019146
anas_platyrhynchos_platyrhynchos ENSAPLG00000004162
gallus_gallus ENSGALG00000049136
lonchura_striata_domestica ENSLSDG00000007243
serinus_canaria ENSSCAG00000008286
junco_hyemalis ENSJHYG00000007523
cyanistes_caeruleus ENSCCEG00000017997
melopsittacus_undulatus ENSMUNG00000005147
calidris_pugnax ENSCPUG00000016051
capra_hircus ENSCHIG00000020213
ovis_aries ENSOARG00000016817
bos_taurus ENSBTAG00000002510
bos_mutus ENSBMUG00000023420
bison_bison_bison ENSBBBG00000019515
tursiops_truncatus ENSTTRG00000002475
vicugna_pacos ENSVPAG00000009531
sus_scrofa ENSSSCG00000028542
pteropus_vampyrus ENSPVAG00000003475
myotis_lucifugus ENSMLUG00000000412
equus_asinus_asinus ENSEASG00005011347
equus_caballus ENSECAG00000020298
ailuropoda_melanoleuca ENSAMEG00000006434
ursus_maritimus ENSUMAG00000014465
ursus_americanus ENSUAMG00000025971
neovison_vison ENSNVIG00000020754
mustela_putorius_furo ENSMPUG00000013707
canis_lupus_dingo ENSCAFG00020013120
canis_lupus_familiaris ENSCAFG00000015686
vulpes_vulpes ENSVVUG00000029847
panthera_pardus ENSPPRG00000006380
panthera_tigris_altaica ENSPTIG00000017670
felis_catus ENSFCAG00000014766
erinaceus_europaeus ENSEEUG00000003055
mus_spicilegus ENSMSIG00000031220
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023569
