loxodonta_africana ENSLAFG00000027847
procavia_capensis ENSPCAG00000013176
pan_paniscus ENSPPAG00000039362
pan_troglodytes ENSPTRG00000017980
gorilla_gorilla ENSGGOG00000005575
homo_sapiens ENSG00000204420
pongo_abelii ENSPPYG00000016454
rhinopithecus_roxellana ENSRROG00000043021
colobus_angolensis_palliatus ENSCANG00000012497
theropithecus_gelada ENSTGEG00000029393
papio_anubis ENSPANG00000009719
mandrillus_leucophaeus ENSMLEG00000042946
macaca_mulatta ENSMMUG00000015694
chlorocebus_sabaeus ENSCSAG00000008668
callithrix_jacchus ENSCJAG00000002843
carlito_syrichta ENSTSYG00000031353
chinchilla_lanigera ENSCLAG00000007245
octodon_degus ENSODEG00000017842
cavia_aperea ENSCAPG00000016145
cavia_porcellus ENSCPOG00000021071
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019397
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018671
spermophilus_dauricus ENSSDAG00000005773
urocitellus_parryii ENSUPAG00010020337
marmota_marmota_marmota ENSMMMG00000010181
ictidomys_tridecemlineatus ENSSTOG00000013076
castor_canadensis ENSCCNG00000011068
dipodomys_ordii ENSDORG00000016418
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022402
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073414
mus_spicilegus ENSMSIG00000005916
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021497
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020492
rattus_norvegicus ENSRNOG00000026936
meriones_unguiculatus ENSMUGG00000002597
cricetulus_griseus_crigri-picr ENSCGRG00015028453
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000218
cricetulus_griseus_crigri_1.0 ENSCGRG00000015565
mesocricetus_auratus ENSMAUG00000000529
microtus_ochrogaster ENSMOCG00000022391
peromyscus_maniculatus_bairdii ENSPEMG00000009149
nannospalax_galili ENSNGAG00000021859
ochotona_princeps ENSOPRG00000003466
microcebus_murinus ENSMICG00000036583
otolemur_garnettii ENSOGAG00000010301
rhinopithecus_bieti ENSRBIG00000041565
piliocolobus_tephrosceles ENSPTEG00000036912
macaca_nemestrina ENSMNEG00000044443
macaca_fascicularis ENSMFAG00000036544
cercocebus_atys ENSCATG00000041131
nomascus_leucogenys ENSNLEG00000006251
saimiri_boliviensis_boliviensis ENSSBOG00000019605
cebus_capucinus_imitator ENSCCAG00000019265
aotus_nancymaae ENSANAG00000023599
propithecus_coquereli ENSPCOG00000024968
bison_bison_bison ENSBBBG00000017879
bos_taurus ENSBTAG00000013525
capra_hircus ENSCHIG00000014942
prolemur_simus ENSPSMG00000018151
pteropus_vampyrus ENSPVAG00000012389
myotis_lucifugus ENSMLUG00000009481
ursus_americanus ENSUAMG00000012218
ursus_maritimus ENSUMAG00000014122
ailuropoda_melanoleuca ENSAMEG00000009186
mustela_putorius_furo ENSMPUG00000011087
neovison_vison ENSNVIG00000015644
canis_lupus_dingo ENSCAFG00020020738
canis_lupus_familiaris ENSCAFG00000000615
vulpes_vulpes ENSVVUG00000021067
panthera_tigris_altaica ENSPTIG00000013479
panthera_pardus ENSPPRG00000007507
felis_catus ENSFCAG00000004507
equus_caballus ENSECAG00000022397
equus_asinus_asinus ENSEASG00005015758
bos_mutus ENSBMUG00000014463
ovis_aries ENSOARG00000005696
tursiops_truncatus ENSTTRG00000014107
sus_scrofa ENSSSCG00000034664
erinaceus_europaeus ENSEEUG00000010913
sorex_araneus ENSSARG00000001250
dasypus_novemcinctus ENSDNOG00000032598
phascolarctos_cinereus ENSPCIG00000018517
notamacropus_eugenii ENSMEUG00000015186
monodelphis_domestica ENSMODG00000015252
sarcophilus_harrisii ENSSHAG00000006406
