loxodonta_africana ENSLAFG00000027080
sus_scrofa ENSSSCG00000006787
propithecus_coquereli ENSPCOG00000000129
prolemur_simus ENSPSMG00000010613
otolemur_garnettii ENSOGAG00000033613
pan_paniscus ENSPPAG00000035113
pan_troglodytes ENSPTRG00000001101
homo_sapiens ENSG00000121933
gorilla_gorilla ENSGGOG00000005924
pongo_abelii ENSPPYG00000001030
nomascus_leucogenys ENSNLEG00000028673
theropithecus_gelada ENSTGEG00000003661
papio_anubis ENSPANG00000013353
mandrillus_leucophaeus ENSMLEG00000043418
macaca_mulatta ENSMMUG00000003581
macaca_fascicularis ENSMFAG00000002528
macaca_nemestrina ENSMNEG00000038209
cercocebus_atys ENSCATG00000033794
chlorocebus_sabaeus ENSCSAG00000001579
colobus_angolensis_palliatus ENSCANG00000039676
piliocolobus_tephrosceles ENSPTEG00000028689
rhinopithecus_roxellana ENSRROG00000024975
rhinopithecus_bieti ENSRBIG00000027992
saimiri_boliviensis_boliviensis ENSSBOG00000031608
cebus_capucinus_imitator ENSCCAG00000027498
callithrix_jacchus ENSCJAG00000013385
aotus_nancymaae ENSANAG00000022347
oryctolagus_cuniculus ENSOCUG00000007822
ochotona_princeps ENSOPRG00000003917
equus_caballus ENSECAG00000018512
equus_asinus_asinus ENSEASG00005005446
myotis_lucifugus ENSMLUG00000012427
ursus_americanus ENSUAMG00000011765
ursus_maritimus ENSUMAG00000013881
ailuropoda_melanoleuca ENSAMEG00000005422
mustela_putorius_furo ENSMPUG00000004819
neovison_vison ENSNVIG00000001026
panthera_pardus ENSPPRG00000001496
panthera_tigris_altaica ENSPTIG00000022060
bison_bison_bison ENSBBBG00000009970
bos_mutus ENSBMUG00000009513
ovis_aries ENSOARG00000019615
bos_taurus ENSBTAG00000039738
capra_hircus ENSCHIG00000010825
tursiops_truncatus ENSTTRG00000001548
vicugna_pacos ENSVPAG00000003352
dasypus_novemcinctus ENSDNOG00000004748
choloepus_hoffmanni ENSCHOG00000013291
echinops_telfairi ENSETEG00000005076
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003998
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004637
chinchilla_lanigera ENSCLAG00000009052
fukomys_damarensis ENSFDAG00000003016
octodon_degus ENSODEG00000008789
urocitellus_parryii ENSUPAG00010022070
marmota_marmota_marmota ENSMMMG00000011967
spermophilus_dauricus ENSSDAG00000018151
ictidomys_tridecemlineatus ENSSTOG00000000483
mus_spicilegus ENSMSIG00000005765
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026427
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025478
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000074344
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026923
rattus_norvegicus ENSRNOG00000043375
meriones_unguiculatus ENSMUGG00000013935
cricetulus_griseus_crigri_1.0 ENSCGRG00000016177
cricetulus_griseus_crigri-picr ENSCGRG00015027017
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018286
mesocricetus_auratus ENSMAUG00000010720
peromyscus_maniculatus_bairdii ENSPEMG00000019932
nannospalax_galili ENSNGAG00000021259
jaculus_jaculus ENSJJAG00000011089
dipodomys_ordii ENSDORG00000000135
canis_lupus_familiaris ENSCAFG00000031229
phascolarctos_cinereus ENSPCIG00000027725
sarcophilus_harrisii ENSSHAG00000013320
monodelphis_domestica ENSMODG00000023236
latimeria_chalumnae ENSLACG00000018576
