taeniopygia_guttata ENSTGUG00000002682
lonchura_striata_domestica ENSLSDG00000006666
serinus_canaria ENSSCAG00000006320
parus_major ENSPMJG00000001207
cyanistes_caeruleus ENSCCEG00000021401
ficedula_albicollis ENSFALG00000000686
junco_hyemalis ENSJHYG00000009406
lepidothrix_coronata ENSLCOG00000012210
calidris_pygmaea ENSCPGG00000002138
calidris_pugnax ENSCPUG00000014559
anas_platyrhynchos_platyrhynchos ENSAPLG00000016530
anser_brachyrhynchus ENSABRG00000012753
apteryx_haastii ENSAHAG00000009894
apteryx_owenii ENSAOWG00000007790
crocodylus_porosus ENSCPRG00005000974
gopherus_agassizii ENSGAGG00000016795
chelonoidis_abingdonii ENSCABG00000001342
chrysemys_picta_bellii ENSCPBG00000016191
sphenodon_punctatus ENSSPUG00000005774
sarcophilus_harrisii ENSSHAG00000014224
monodelphis_domestica ENSMODG00000014909
phascolarctos_cinereus ENSPCIG00000021527
notamacropus_eugenii ENSMEUG00000000167
propithecus_coquereli ENSPCOG00000025503
prolemur_simus ENSPSMG00000005744
microcebus_murinus ENSMICG00000045470
carlito_syrichta ENSTSYG00000025793
castor_canadensis ENSCCNG00000026958
dipodomys_ordii ENSDORG00000006544
peromyscus_maniculatus_bairdii ENSPEMG00000010252
microtus_ochrogaster ENSMOCG00000021088
cricetulus_griseus_crigri_1.0 ENSCGRG00000011244
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014185
cricetulus_griseus_crigri-picr ENSCGRG00015001180
mesocricetus_auratus ENSMAUG00000002759
mus_spicilegus ENSMSIG00000005773
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018037
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000019301
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017194
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018324
rattus_norvegicus ENSRNOG00000019830
meriones_unguiculatus ENSMUGG00000023341
nannospalax_galili ENSNGAG00000011336
jaculus_jaculus ENSJJAG00000020824
urocitellus_parryii ENSUPAG00010009808
ictidomys_tridecemlineatus ENSSTOG00000003627
spermophilus_dauricus ENSSDAG00000009784
marmota_marmota_marmota ENSMMMG00000005512
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000013516
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010336
chinchilla_lanigera ENSCLAG00000016130
octodon_degus ENSODEG00000018063
cavia_porcellus ENSCPOG00000021970
oryctolagus_cuniculus ENSOCUG00000022009
ochotona_princeps ENSOPRG00000012105
pan_troglodytes ENSPTRG00000052042
pan_paniscus ENSPPAG00000042092
homo_sapiens ENSG00000108786
pongo_abelii ENSPPYG00000008389
nomascus_leucogenys ENSNLEG00000011561
macaca_nemestrina ENSMNEG00000036285
macaca_mulatta ENSMMUG00000009884
macaca_fascicularis ENSMFAG00000030629
mandrillus_leucophaeus ENSMLEG00000038299
cercocebus_atys ENSCATG00000029899
papio_anubis ENSPANG00000021444
theropithecus_gelada ENSTGEG00000010300
chlorocebus_sabaeus ENSCSAG00000003232
rhinopithecus_roxellana ENSRROG00000045649
rhinopithecus_bieti ENSRBIG00000030971
colobus_angolensis_palliatus ENSCANG00000004350
piliocolobus_tephrosceles ENSPTEG00000017346
pan_paniscus ENSPPAG00000034980
pan_troglodytes ENSPTRG00000009204
gorilla_gorilla ENSGGOG00000010849
cebus_capucinus_imitator ENSCCAG00000027913
saimiri_boliviensis_boliviensis ENSSBOG00000034608
callithrix_jacchus ENSCJAG00000047763
aotus_nancymaae ENSANAG00000024517
aotus_nancymaae ENSANAG00000029773
otolemur_garnettii ENSOGAG00000012195
tupaia_belangeri ENSTBEG00000000861
equus_asinus_asinus ENSEASG00005009974
equus_caballus ENSECAG00000011423
bos_taurus ENSBTAG00000047604
bos_mutus ENSBMUG00000015816
bison_bison_bison ENSBBBG00000011096
capra_hircus ENSCHIG00000024608
tursiops_truncatus ENSTTRG00000016411
erinaceus_europaeus ENSEEUG00000004032
myotis_lucifugus ENSMLUG00000001029
pteropus_vampyrus ENSPVAG00000016554
mustela_putorius_furo ENSMPUG00000010295
neovison_vison ENSNVIG00000012908
canis_lupus_familiaris ENSCAFG00000014961
canis_lupus_dingo ENSCAFG00020013468
vulpes_vulpes ENSVVUG00000023776
ursus_americanus ENSUAMG00000007335
panthera_pardus ENSPPRG00000015435
felis_catus ENSFCAG00000011663
ailuropoda_melanoleuca ENSAMEG00000006514
ursus_maritimus ENSUMAG00000025043
panthera_tigris_altaica ENSPTIG00000010104
sorex_araneus ENSSARG00000014270
ovis_aries ENSOARG00000002225
dasypus_novemcinctus ENSDNOG00000007276
loxodonta_africana ENSLAFG00000010635
procavia_capensis ENSPCAG00000016122
echinops_telfairi ENSETEG00000006807
xenopus_tropicalis ENSXETG00000016096
paramormyrops_kingsleyae ENSPKIG00000019603
scleropages_formosus ENSSFOG00015022849
labrus_bergylta ENSLBEG00000003651
gasterosteus_aculeatus ENSGACG00000008535
takifugu_rubripes ENSTRUG00000015200
tetraodon_nigroviridis ENSTNIG00000011702
mola_mola ENSMMOG00000020590
mastacembelus_armatus ENSMAMG00000000520
xiphophorus_couchianus ENSXCOG00000016745
xiphophorus_maculatus ENSXMAG00000009114
gambusia_affinis ENSGAFG00000000342
poecilia_formosa ENSPFOG00000013488
poecilia_latipinna ENSPLAG00000023825
poecilia_mexicana ENSPMEG00000000430
poecilia_reticulata ENSPREG00000009771
cyprinodon_variegatus ENSCVAG00000022844
fundulus_heteroclitus ENSFHEG00000011682
kryptolebias_marmoratus ENSKMAG00000019706
oryzias_latipes_asm223471v1 ENSORLG00020007720
oryzias_latipes_asm223467v1 ENSORLG00000004159
oryzias_latipes_asm223469v1 ENSORLG00015021090
oryzias_melastigma ENSOMEG00000023458
oryzias_melastigma ENSOMEG00000014050
cynoglossus_semilaevis ENSCSEG00000017252
seriola_lalandi_dorsalis ENSSLDG00000008313
seriola_dumerili ENSSDUG00000017322
scophthalmus_maximus ENSSMAG00000006817
monopterus_albus ENSMALG00000005021
anabas_testudineus ENSATEG00000002371
amphiprion_ocellaris ENSAOCG00000014164
amphiprion_percula ENSAPEG00000018034
acanthochromis_polyacanthus ENSAPOG00000023384
stegastes_partitus ENSSPAG00000020726
astatotilapia_calliptera ENSACLG00000003253
maylandia_zebra ENSMZEG00005022668
pundamilia_nyererei ENSPNYG00000010122
haplochromis_burtoni ENSHBUG00000002210
oreochromis_niloticus ENSONIG00000001194
neolamprologus_brichardi ENSNBRG00000001612
amphilophus_citrinellus ENSACIG00000011427
hippocampus_comes ENSHCOG00000007587
periophthalmus_magnuspinnatus ENSPMGG00000003881
gadus_morhua ENSGMOG00000014848
esox_lucius ENSELUG00000000805
pygocentrus_nattereri ENSPNAG00000029104
astyanax_mexicanus ENSAMXG00000017757
ictalurus_punctatus ENSIPUG00000017226
danio_rerio ENSDARG00000027469
lepisosteus_oculatus ENSLOCG00000012469
