amphiprion_ocellaris ENSAOCG00000017291
acanthochromis_polyacanthus ENSAPOG00000018558
oryzias_latipes_asm223471v1 ENSORLG00020000345
pundamilia_nyererei ENSPNYG00000024030
labrus_bergylta ENSLBEG00000015954
scleropages_formosus ENSSFOG00015004856
neolamprologus_brichardi ENSNBRG00000012744
acanthochromis_polyacanthus ENSAPOG00000008998
scophthalmus_maximus ENSSMAG00000005348
poecilia_latipinna ENSPLAG00000012305
xiphophorus_couchianus ENSXCOG00000015868
scleropages_formosus ENSSFOG00015022366
chelonoidis_abingdonii ENSCABG00000006480
nothoprocta_perdicaria ENSNPEG00000007869
