mola_mola ENSMMOG00000012694
labrus_bergylta ENSLBEG00000028472
oryzias_latipes_asm223467v1 ENSORLG00000027376
oryzias_latipes_asm223471v1 ENSORLG00020000842
oryzias_latipes_asm223469v1 ENSORLG00015005355
oryzias_melastigma ENSOMEG00000013572
kryptolebias_marmoratus ENSKMAG00000019194
scophthalmus_maximus ENSSMAG00000006694
haplochromis_burtoni ENSHBUG00000020044
pundamilia_nyererei ENSPNYG00000021316
astatotilapia_calliptera ENSACLG00000009082
maylandia_zebra ENSMZEG00005021298
neolamprologus_brichardi ENSNBRG00000000789
amphilophus_citrinellus ENSACIG00000019613
takifugu_rubripes ENSTRUG00000023335
monopterus_albus ENSMALG00000001741
mastacembelus_armatus ENSMAMG00000000739
anabas_testudineus ENSATEG00000000737
amphiprion_percula ENSAPEG00000006252
amphiprion_ocellaris ENSAOCG00000020768
acanthochromis_polyacanthus ENSAPOG00000005412
stegastes_partitus ENSSPAG00000013891
seriola_dumerili ENSSDUG00000005674
seriola_lalandi_dorsalis ENSSLDG00000002792
cynoglossus_semilaevis ENSCSEG00000004573
periophthalmus_magnuspinnatus ENSPMGG00000008203
esox_lucius ENSELUG00000019589
pygocentrus_nattereri ENSPNAG00000020137
astyanax_mexicanus ENSAMXG00000036445
ictalurus_punctatus ENSIPUG00000003369
danio_rerio ENSDARG00000103211
esox_lucius ENSELUG00000007798
latimeria_chalumnae ENSLACG00000006430
