stegastes_partitus ENSSPAG00000001180
acanthochromis_polyacanthus ENSAPOG00000014931
amphilophus_citrinellus ENSACIG00000006521
astatotilapia_calliptera ENSACLG00000018466
maylandia_zebra ENSMZEG00005020292
pundamilia_nyererei ENSPNYG00000009609
amphiprion_percula ENSAPEG00000003179
amphiprion_ocellaris ENSAOCG00000022483
anabas_testudineus ENSATEG00000016413
labrus_bergylta ENSLBEG00000021175
mola_mola ENSMMOG00000019249
seriola_lalandi_dorsalis ENSSLDG00000012106
seriola_dumerili ENSSDUG00000016444
poecilia_mexicana ENSPMEG00000004665
poecilia_latipinna ENSPLAG00000004640
pygocentrus_nattereri ENSPNAG00000006505
astyanax_mexicanus ENSAMXG00000035144
ictalurus_punctatus ENSIPUG00000000313
scleropages_formosus ENSSFOG00015017886
sphenodon_punctatus ENSSPUG00000012948
chelonoidis_abingdonii ENSCABG00000001437
pan_troglodytes ENSPTRG00000051567
ciona_savignyi ENSCSAVG00000000112
caenorhabditis_elegans_strain_n2 WBGene00003171
