amphiprion_ocellaris ENSAOCG00000003031
amphiprion_percula ENSAPEG00000015560
acanthochromis_polyacanthus ENSAPOG00000024253
scophthalmus_maximus ENSSMAG00000010227
xiphophorus_maculatus ENSXMAG00000023203
xiphophorus_couchianus ENSXCOG00000002867
gambusia_affinis ENSGAFG00000002673
poecilia_latipinna ENSPLAG00000014002
poecilia_reticulata ENSPREG00000013252
cyprinodon_variegatus ENSCVAG00000013748
oryzias_latipes_asm223469v1 ENSORLG00015000383
oryzias_latipes_asm223467v1 ENSORLG00000029981
oryzias_latipes_asm223471v1 ENSORLG00020019069
oryzias_melastigma ENSOMEG00000007864
astatotilapia_calliptera ENSACLG00000018519
neolamprologus_brichardi ENSNBRG00000022938
amphilophus_citrinellus ENSACIG00000016369
labrus_bergylta ENSLBEG00000008349
seriola_dumerili ENSSDUG00000016549
anabas_testudineus ENSATEG00000006806
esox_lucius ENSELUG00000011378
astyanax_mexicanus ENSAMXG00000031204
ictalurus_punctatus ENSIPUG00000006509
paramormyrops_kingsleyae ENSPKIG00000024086
chelonoidis_abingdonii ENSCABG00000003348
chrysemys_picta_bellii ENSCPBG00000013829
