pongo_abelii ENSPPYG00000017562
pteropus_vampyrus ENSPVAG00000015834
procavia_capensis ENSPCAG00000010780
erinaceus_europaeus ENSEEUG00000012446
sorex_araneus ENSSARG00000003589
canis_lupus_familiaris ENSCAFG00000029400
vicugna_pacos ENSVPAG00000009897
nannospalax_galili ENSNGAG00000017583
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020191
cavia_aperea ENSCAPG00000013787
cavia_porcellus ENSCPOG00000021638
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005202
tupaia_belangeri ENSTBEG00000004271
echinops_telfairi ENSETEG00000010255
choloepus_hoffmanni ENSCHOG00000012447
