astyanax_mexicanus ENSAMXG00000010288
pygocentrus_nattereri ENSPNAG00000003686
ictalurus_punctatus ENSIPUG00000001845
danio_rerio ENSDARG00000014373
cynoglossus_semilaevis ENSCSEG00000006039
tetraodon_nigroviridis ENSTNIG00000014474
monopterus_albus ENSMALG00000002923
monopterus_albus ENSMALG00000000273
cyprinodon_variegatus ENSCVAG00000004325
seriola_dumerili ENSSDUG00000022015
seriola_lalandi_dorsalis ENSSLDG00000015312
scophthalmus_maximus ENSSMAG00000009800
amphiprion_percula ENSAPEG00000008490
acanthochromis_polyacanthus ENSAPOG00000021394
stegastes_partitus ENSSPAG00000014307
xiphophorus_maculatus ENSXMAG00000009677
gambusia_affinis ENSGAFG00000016509
poecilia_formosa ENSPFOG00000018842
poecilia_mexicana ENSPMEG00000002976
poecilia_reticulata ENSPREG00000017840
poecilia_latipinna ENSPLAG00000020726
fundulus_heteroclitus ENSFHEG00000019935
oryzias_latipes_asm223471v1 ENSORLG00020014206
oryzias_latipes_asm223467v1 ENSORLG00000020672
oryzias_latipes_asm223469v1 ENSORLG00015016600
oryzias_melastigma ENSOMEG00000010651
kryptolebias_marmoratus ENSKMAG00000012439
astatotilapia_calliptera ENSACLG00000007422
maylandia_zebra ENSMZEG00005019116
haplochromis_burtoni ENSHBUG00000001897
pundamilia_nyererei ENSPNYG00000022212
neolamprologus_brichardi ENSNBRG00000014442
oreochromis_niloticus ENSONIG00000012063
oreochromis_niloticus ENSONIG00000003749
amphilophus_citrinellus ENSACIG00000017623
labrus_bergylta ENSLBEG00000019504
anabas_testudineus ENSATEG00000011704
mastacembelus_armatus ENSMAMG00000003574
mola_mola ENSMMOG00000004689
gasterosteus_aculeatus ENSGACG00000015323
hippocampus_comes ENSHCOG00000018337
periophthalmus_magnuspinnatus ENSPMGG00000015642
esox_lucius ENSELUG00000017328
scleropages_formosus ENSSFOG00015006531
lepisosteus_oculatus ENSLOCG00000010887
anolis_carolinensis ENSACAG00000014951
pogona_vitticeps ENSPVIG00000010265
salvator_merianae ENSSMRG00000018939
sphenodon_punctatus ENSSPUG00000007260
apteryx_haastii ENSAHAG00000003008
apteryx_owenii ENSAOWG00000010222
apteryx_rowi ENSARWG00000013233
nothoprocta_perdicaria ENSNPEG00000000641
dromaius_novaehollandiae ENSDNVG00000016926
cyanistes_caeruleus ENSCCEG00000016323
parus_major ENSPMJG00000015906
ficedula_albicollis ENSFALG00000010910
taeniopygia_guttata ENSTGUG00000002548
lonchura_striata_domestica ENSLSDG00000017211
serinus_canaria ENSSCAG00000009273
zonotrichia_albicollis ENSZALG00000005504
manacus_vitellinus ENSMVIG00005008672
calidris_pygmaea ENSCPGG00000003701
calidris_pugnax ENSCPUG00000015123
anser_brachyrhynchus ENSABRG00000021052
anas_platyrhynchos_platyrhynchos ENSAPLG00000011662
numida_meleagris ENSNMEG00000006675
gallus_gallus ENSGALG00000014713
coturnix_japonica ENSCJPG00005001336
crocodylus_porosus ENSCPRG00005016968
chelonoidis_abingdonii ENSCABG00000008439
gopherus_agassizii ENSGAGG00000007953
chrysemys_picta_bellii ENSCPBG00000026547
pelodiscus_sinensis ENSPSIG00000017179
phascolarctos_cinereus ENSPCIG00000024758
notamacropus_eugenii ENSMEUG00000007757
sarcophilus_harrisii ENSSHAG00000009132
monodelphis_domestica ENSMODG00000019511
ornithorhynchus_anatinus ENSOANG00000004888
cricetulus_griseus_crigri_1.0 ENSCGRG00000001251
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014961
cricetulus_griseus_crigri-picr ENSCGRG00015000905
mesocricetus_auratus ENSMAUG00000019873
peromyscus_maniculatus_bairdii ENSPEMG00000010086
microtus_ochrogaster ENSMOCG00000013250
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019772
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000021758
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018893
