ictalurus_punctatus ENSIPUG00000003177
astyanax_mexicanus ENSAMXG00000043957
pygocentrus_nattereri ENSPNAG00000022650
danio_rerio ENSDARG00000075203
monopterus_albus ENSMALG00000012882
anabas_testudineus ENSATEG00000013716
seriola_dumerili ENSSDUG00000016087
scophthalmus_maximus ENSSMAG00000018299
haplochromis_burtoni ENSHBUG00000011822
astatotilapia_calliptera ENSACLG00000015541
acanthochromis_polyacanthus ENSAPOG00000022813
gambusia_affinis ENSGAFG00000001254
xiphophorus_maculatus ENSXMAG00000022274
poecilia_latipinna ENSPLAG00000023122
poecilia_mexicana ENSPMEG00000003279
fundulus_heteroclitus ENSFHEG00000002793
oryzias_latipes_asm223471v1 ENSORLG00020018240
oryzias_latipes_asm223469v1 ENSORLG00015017910
oryzias_latipes_asm223467v1 ENSORLG00000024657
oryzias_melastigma ENSOMEG00000019516
esox_lucius ENSELUG00000005721
paramormyrops_kingsleyae ENSPKIG00000018930
scleropages_formosus ENSSFOG00015005551
pelodiscus_sinensis ENSPSIG00000003402
pogona_vitticeps ENSPVIG00000023222
notamacropus_eugenii ENSMEUG00000010373
phascolarctos_cinereus ENSPCIG00000026283
sarcophilus_harrisii ENSSHAG00000007101
ornithorhynchus_anatinus ENSOANG00000022438
loxodonta_africana ENSLAFG00000015770
procavia_capensis ENSPCAG00000003596
echinops_telfairi ENSETEG00000015219
choloepus_hoffmanni ENSCHOG00000007257
pan_paniscus ENSPPAG00000033566
pan_troglodytes ENSPTRG00000003938
homo_sapiens ENSG00000173715
gorilla_gorilla ENSGGOG00000014453
pongo_abelii ENSPPYG00000003008
nomascus_leucogenys ENSNLEG00000006249
theropithecus_gelada ENSTGEG00000005241
papio_anubis ENSPANG00000005285
mandrillus_leucophaeus ENSMLEG00000030761
macaca_nemestrina ENSMNEG00000035054
macaca_fascicularis ENSMFAG00000033611
macaca_mulatta ENSMMUG00000004529
cercocebus_atys ENSCATG00000044541
chlorocebus_sabaeus ENSCSAG00000008394
piliocolobus_tephrosceles ENSPTEG00000031309
colobus_angolensis_palliatus ENSCANG00000034233
rhinopithecus_roxellana ENSRROG00000019870
rhinopithecus_bieti ENSRBIG00000035572
cebus_capucinus_imitator ENSCCAG00000020661
saimiri_boliviensis_boliviensis ENSSBOG00000035577
callithrix_jacchus ENSCJAG00000001212
aotus_nancymaae ENSANAG00000029124
carlito_syrichta ENSTSYG00000000372
microcebus_murinus ENSMICG00000003846
prolemur_simus ENSPSMG00000025863
propithecus_coquereli ENSPCOG00000027928
otolemur_garnettii ENSOGAG00000010551
tupaia_belangeri ENSTBEG00000002419
chinchilla_lanigera ENSCLAG00000016901
octodon_degus ENSODEG00000017597
fukomys_damarensis ENSFDAG00000017093
cavia_porcellus ENSCPOG00000022344
urocitellus_parryii ENSUPAG00010008468
spermophilus_dauricus ENSSDAG00000011401
ictidomys_tridecemlineatus ENSSTOG00000012549
marmota_marmota_marmota ENSMMMG00000021850
castor_canadensis ENSCCNG00000024406
dipodomys_ordii ENSDORG00000025412
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023426
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000071691
mus_spicilegus ENSMSIG00000005272
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022512
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014009
rattus_norvegicus ENSRNOG00000026579
meriones_unguiculatus ENSMUGG00000005616
cricetulus_griseus_crigri-picr ENSCGRG00015017511
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015205
cricetulus_griseus_crigri_1.0 ENSCGRG00000012236
mesocricetus_auratus ENSMAUG00000016221
microtus_ochrogaster ENSMOCG00000014903
peromyscus_maniculatus_bairdii ENSPEMG00000016746
nannospalax_galili ENSNGAG00000007645
jaculus_jaculus ENSJJAG00000016640
oryctolagus_cuniculus ENSOCUG00000003485
ochotona_princeps ENSOPRG00000006770
sorex_araneus ENSSARG00000004878
erinaceus_europaeus ENSEEUG00000004825
mustela_putorius_furo ENSMPUG00000003473
neovison_vison ENSNVIG00000013720
ursus_maritimus ENSUMAG00000011868
ursus_americanus ENSUAMG00000008364
ailuropoda_melanoleuca ENSAMEG00000010822
canis_lupus_familiaris ENSCAFG00000012251
canis_lupus_dingo ENSCAFG00020022133
vulpes_vulpes ENSVVUG00000010589
panthera_pardus ENSPPRG00000001469
panthera_tigris_altaica ENSPTIG00000010010
felis_catus ENSFCAG00000007399
equus_asinus_asinus ENSEASG00005005084
equus_caballus ENSECAG00000024731
pteropus_vampyrus ENSPVAG00000010489
bos_mutus ENSBMUG00000021093
bos_taurus ENSBTAG00000019689
bison_bison_bison ENSBBBG00000010983
ovis_aries ENSOARG00000008338
capra_hircus ENSCHIG00000005652
tursiops_truncatus ENSTTRG00000011184
sus_scrofa ENSSSCG00000029902
vicugna_pacos ENSVPAG00000001951
myotis_lucifugus ENSMLUG00000016409
ornithorhynchus_anatinus ENSOANG00000032255
