ictalurus_punctatus ENSIPUG00000006570
ornithorhynchus_anatinus ENSOANG00000030545
petromyzon_marinus ENSPMAG00000009769
eptatretus_burgeri ENSEBUG00000001835
gadus_morhua ENSGMOG00000018967
esox_lucius ENSELUG00000017360
tetraodon_nigroviridis ENSTNIG00000003173
takifugu_rubripes ENSTRUG00000000170
mola_mola ENSMMOG00000001100
labrus_bergylta ENSLBEG00000012290
scophthalmus_maximus ENSSMAG00000009820
cynoglossus_semilaevis ENSCSEG00000006847
seriola_dumerili ENSSDUG00000002304
seriola_lalandi_dorsalis ENSSLDG00000018424
anabas_testudineus ENSATEG00000016402
mastacembelus_armatus ENSMAMG00000017729
monopterus_albus ENSMALG00000004070
hippocampus_comes ENSHCOG00000011251
amphiprion_ocellaris ENSAOCG00000003664
amphiprion_percula ENSAPEG00000023258
acanthochromis_polyacanthus ENSAPOG00000009947
stegastes_partitus ENSSPAG00000008250
astatotilapia_calliptera ENSACLG00000024974
maylandia_zebra ENSMZEG00005009235
pundamilia_nyererei ENSPNYG00000018843
haplochromis_burtoni ENSHBUG00000021659
neolamprologus_brichardi ENSNBRG00000012764
oreochromis_niloticus ENSONIG00000010037
amphilophus_citrinellus ENSACIG00000007605
poecilia_formosa ENSPFOG00000019533
poecilia_formosa ENSPFOG00000012563
poecilia_mexicana ENSPMEG00000000553
poecilia_latipinna ENSPLAG00000022448
poecilia_reticulata ENSPREG00000007028
xiphophorus_couchianus ENSXCOG00000007304
xiphophorus_maculatus ENSXMAG00000021775
gambusia_affinis ENSGAFG00000005781
cyprinodon_variegatus ENSCVAG00000000242
fundulus_heteroclitus ENSFHEG00000022046
kryptolebias_marmoratus ENSKMAG00000007716
oryzias_latipes_asm223471v1 ENSORLG00020015069
oryzias_latipes_asm223467v1 ENSORLG00000012118
oryzias_latipes_asm223469v1 ENSORLG00015023006
oryzias_melastigma ENSOMEG00000020590
gasterosteus_aculeatus ENSGACG00000004507
periophthalmus_magnuspinnatus ENSPMGG00000002629
pygocentrus_nattereri ENSPNAG00000029217
danio_rerio ENSDARG00000087517
paramormyrops_kingsleyae ENSPKIG00000024350
scleropages_formosus ENSSFOG00015009867
lepisosteus_oculatus ENSLOCG00000015968
paramormyrops_kingsleyae ENSPKIG00000004178
scleropages_formosus ENSSFOG00015000786
esox_lucius ENSELUG00000011448
notamacropus_eugenii ENSMEUG00000006048
sarcophilus_harrisii ENSSHAG00000017533
monodelphis_domestica ENSMODG00000004924
phascolarctos_cinereus ENSPCIG00000029490
pteropus_vampyrus ENSPVAG00000005200
myotis_lucifugus ENSMLUG00000003589
equus_asinus_asinus ENSEASG00005001727
equus_caballus ENSECAG00000000722
ursus_maritimus ENSUMAG00000008482
ursus_americanus ENSUAMG00000003649
ailuropoda_melanoleuca ENSAMEG00000003794
mustela_putorius_furo ENSMPUG00000001471
neovison_vison ENSNVIG00000017698
canis_lupus_familiaris ENSCAFG00000030748
canis_lupus_dingo ENSCAFG00020027538
vulpes_vulpes ENSVVUG00000021639
panthera_pardus ENSPPRG00000009239
panthera_tigris_altaica ENSPTIG00000007433
felis_catus ENSFCAG00000030089
erinaceus_europaeus ENSEEUG00000002784
chinchilla_lanigera ENSCLAG00000016652
octodon_degus ENSODEG00000006961
cavia_porcellus ENSCPOG00000005060
cavia_aperea ENSCAPG00000011801
fukomys_damarensis ENSFDAG00000005546
fukomys_damarensis ENSFDAG00000000210
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014320
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000057
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007073
ictidomys_tridecemlineatus ENSSTOG00000010603
spermophilus_dauricus ENSSDAG00000005291
marmota_marmota_marmota ENSMMMG00000001534
urocitellus_parryii ENSUPAG00010020906
castor_canadensis ENSCCNG00000022669
dipodomys_ordii ENSDORG00000005643
cricetulus_griseus_crigri-picr ENSCGRG00015009259
