homo_sapiens ENSG00000225362
gorilla_gorilla ENSGGOG00000022815
pan_troglodytes ENSPTRG00000039639
pan_paniscus ENSPPAG00000031013
nomascus_leucogenys ENSNLEG00000013775
rhinopithecus_bieti ENSRBIG00000034397
rhinopithecus_roxellana ENSRROG00000029049
piliocolobus_tephrosceles ENSPTEG00000030170
colobus_angolensis_palliatus ENSCANG00000032581
theropithecus_gelada ENSTGEG00000026778
papio_anubis ENSPANG00000016293
chlorocebus_sabaeus ENSCSAG00000013687
macaca_nemestrina ENSMNEG00000037018
macaca_fascicularis ENSMFAG00000035955
mandrillus_leucophaeus ENSMLEG00000029118
aotus_nancymaae ENSANAG00000038229
cebus_capucinus_imitator ENSCCAG00000024778
