poecilia_reticulata ENSPREG00000011059
poecilia_mexicana ENSPMEG00000016198
cyprinodon_variegatus ENSCVAG00000007864
fundulus_heteroclitus ENSFHEG00000010975
kryptolebias_marmoratus ENSKMAG00000009687
oryzias_latipes_asm223469v1 ENSORLG00015001342
oryzias_latipes_asm223467v1 ENSORLG00000028793
amphiprion_percula ENSAPEG00000002893
amphiprion_ocellaris ENSAOCG00000003504
acanthochromis_polyacanthus ENSAPOG00000020656
monopterus_albus ENSMALG00000007965
mastacembelus_armatus ENSMAMG00000004988
anabas_testudineus ENSATEG00000006288
labrus_bergylta ENSLBEG00000028205
seriola_lalandi_dorsalis ENSSLDG00000006798
hippocampus_comes ENSHCOG00000011522
