felis_catus ENSFCAG00000031041
mustela_putorius_furo ENSMPUG00000020072
equus_caballus ENSECAG00000007947
myotis_lucifugus ENSMLUG00000027828
mus_spicilegus ENSMSIG00000000513
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021131
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000054036
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020234
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020237
rattus_norvegicus ENSRNOG00000031503
meriones_unguiculatus ENSMUGG00000013649
meriones_unguiculatus ENSMUGG00000013592
cricetulus_griseus_crigri_1.0 ENSCGRG00000018457
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010245
cricetulus_griseus_crigri-picr ENSCGRG00015005362
peromyscus_maniculatus_bairdii ENSPEMG00000024651
nannospalax_galili ENSNGAG00000018584
ictidomys_tridecemlineatus ENSSTOG00000019743
castor_canadensis ENSCCNG00000000226
cavia_porcellus ENSCPOG00000024843
loxodonta_africana ENSLAFG00000030854
