carlito_syrichta ENSTSYG00000004860
microcebus_murinus ENSMICG00000043266
oryctolagus_cuniculus ENSOCUG00000029361
ursus_americanus ENSUAMG00000003992
ailuropoda_melanoleuca ENSAMEG00000014580
mustela_putorius_furo ENSMPUG00000012036
neovison_vison ENSNVIG00000009054
canis_lupus_familiaris ENSCAFG00000031506
vulpes_vulpes ENSVVUG00000012769
panthera_tigris_altaica ENSPTIG00000013323
panthera_pardus ENSPPRG00000003316
felis_catus ENSFCAG00000036103
tursiops_truncatus ENSTTRG00000006857
vicugna_pacos ENSVPAG00000001773
bos_mutus ENSBMUG00000008685
bos_taurus ENSBTAG00000046204
bison_bison_bison ENSBBBG00000021578
capra_hircus ENSCHIG00000021111
equus_caballus ENSECAG00000022947
equus_caballus ENSECAG00000035963
pteropus_vampyrus ENSPVAG00000011577
myotis_lucifugus ENSMLUG00000015649
tursiops_truncatus ENSTTRG00000011523
tursiops_truncatus ENSTTRG00000006856
tursiops_truncatus ENSTTRG00000006854
bos_taurus ENSBTAG00000053811
ovis_aries ENSOARG00000006326
bos_mutus ENSBMUG00000010176
bison_bison_bison ENSBBBG00000000851
capra_hircus ENSCHIG00000015268
bison_bison_bison ENSBBBG00000018339
sus_scrofa ENSSSCG00000036877
vicugna_pacos ENSVPAG00000001058
pteropus_vampyrus ENSPVAG00000014397
panthera_tigris_altaica ENSPTIG00000010148
panthera_pardus ENSPPRG00000009545
choloepus_hoffmanni ENSCHOG00000001099
choloepus_hoffmanni ENSCHOG00000013100
choloepus_hoffmanni ENSCHOG00000000606
choloepus_hoffmanni ENSCHOG00000002430
choloepus_hoffmanni ENSCHOG00000009439
choloepus_hoffmanni ENSCHOG00000006576
choloepus_hoffmanni ENSCHOG00000008629
