piliocolobus_tephrosceles ENSPTEG00000004583
colobus_angolensis_palliatus ENSCANG00000034927
rhinopithecus_bieti ENSRBIG00000030101
rhinopithecus_roxellana ENSRROG00000030877
cercocebus_atys ENSCATG00000035642
mandrillus_leucophaeus ENSMLEG00000035770
theropithecus_gelada ENSTGEG00000000062
papio_anubis ENSPANG00000004178
macaca_fascicularis ENSMFAG00000033327
macaca_nemestrina ENSMNEG00000034816
chlorocebus_sabaeus ENSCSAG00000000887
pan_paniscus ENSPPAG00000017051
pan_troglodytes ENSPTRG00000000278
homo_sapiens ENSG00000127472
gorilla_gorilla ENSGGOG00000006921
pongo_abelii ENSPPYG00000001779
nomascus_leucogenys ENSNLEG00000007895
cebus_capucinus_imitator ENSCCAG00000026341
callithrix_jacchus ENSCJAG00000043111
saimiri_boliviensis_boliviensis ENSSBOG00000028116
aotus_nancymaae ENSANAG00000033125
carlito_syrichta ENSTSYG00000003128
propithecus_coquereli ENSPCOG00000028643
microcebus_murinus ENSMICG00000045448
prolemur_simus ENSPSMG00000003439
otolemur_garnettii ENSOGAG00000002452
mus_spicilegus ENSMSIG00000014122
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000041193
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027679
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026699
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029030
rattus_norvegicus ENSRNOG00000016838
meriones_unguiculatus ENSMUGG00000024132
cricetulus_griseus_crigri_1.0 ENSCGRG00000010164
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001003436
cricetulus_griseus_crigri-picr ENSCGRG00015024511
mesocricetus_auratus ENSMAUG00000011239
microtus_ochrogaster ENSMOCG00000010173
peromyscus_maniculatus_bairdii ENSPEMG00000024410
nannospalax_galili ENSNGAG00000003263
jaculus_jaculus ENSJJAG00000018325
urocitellus_parryii ENSUPAG00010016412
marmota_marmota_marmota ENSMMMG00000019757
spermophilus_dauricus ENSSDAG00000011505
ictidomys_tridecemlineatus ENSSTOG00000020588
cavia_porcellus ENSCPOG00000039189
cavia_aperea ENSCAPG00000008629
octodon_degus ENSODEG00000015113
chinchilla_lanigera ENSCLAG00000015123
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004812
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011437
fukomys_damarensis ENSFDAG00000014010
castor_canadensis ENSCCNG00000002404
dipodomys_ordii ENSDORG00000015526
myotis_lucifugus ENSMLUG00000014923
pteropus_vampyrus ENSPVAG00000011948
sus_scrofa ENSSSCG00000034429
vicugna_pacos ENSVPAG00000000396
bos_mutus ENSBMUG00000022442
bos_taurus ENSBTAG00000039122
bison_bison_bison ENSBBBG00000004005
ovis_aries ENSOARG00000000994
capra_hircus ENSCHIG00000019130
tursiops_truncatus ENSTTRG00000007281
equus_caballus ENSECAG00000006879
equus_asinus_asinus ENSEASG00005014875
ursus_maritimus ENSUMAG00000018881
ursus_americanus ENSUAMG00000011662
ailuropoda_melanoleuca ENSAMEG00000003165
mustela_putorius_furo ENSMPUG00000016116
neovison_vison ENSNVIG00000015180
canis_lupus_dingo ENSCAFG00020008330
canis_lupus_familiaris ENSCAFG00000023246
vulpes_vulpes ENSVVUG00000029466
panthera_pardus ENSPPRG00000018256
panthera_tigris_altaica ENSPTIG00000009888
felis_catus ENSFCAG00000004906
ochotona_princeps ENSOPRG00000007318
oryctolagus_cuniculus ENSOCUG00000008356
tupaia_belangeri ENSTBEG00000005515
erinaceus_europaeus ENSEEUG00000015150
choloepus_hoffmanni ENSCHOG00000010728
dasypus_novemcinctus ENSDNOG00000018620
procavia_capensis ENSPCAG00000008348
loxodonta_africana ENSLAFG00000005974
