prolemur_simus ENSPSMG00000003270
otolemur_garnettii ENSOGAG00000027901
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025383
mus_spicilegus ENSMSIG00000001544
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090485
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024462
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025905
rattus_norvegicus ENSRNOG00000036898
meriones_unguiculatus ENSMUGG00000000112
cricetulus_griseus_crigri-picr ENSCGRG00015003808
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008307
choloepus_hoffmanni ENSCHOG00000006267
