labrus_bergylta ENSLBEG00000013311
periophthalmus_magnuspinnatus ENSPMGG00000022123
tetraodon_nigroviridis ENSTNIG00000013101
takifugu_rubripes ENSTRUG00000017724
mola_mola ENSMMOG00000008510
gasterosteus_aculeatus ENSGACG00000003638
scophthalmus_maximus ENSSMAG00000012372
cynoglossus_semilaevis ENSCSEG00000017430
seriola_lalandi_dorsalis ENSSLDG00000023384
seriola_dumerili ENSSDUG00000004980
mastacembelus_armatus ENSMAMG00000015440
monopterus_albus ENSMALG00000007462
anabas_testudineus ENSATEG00000012975
amphiprion_percula ENSAPEG00000024659
amphiprion_ocellaris ENSAOCG00000004383
acanthochromis_polyacanthus ENSAPOG00000020464
stegastes_partitus ENSSPAG00000021902
maylandia_zebra ENSMZEG00005010989
haplochromis_burtoni ENSHBUG00000011149
astatotilapia_calliptera ENSACLG00000021115
pundamilia_nyererei ENSPNYG00000012228
neolamprologus_brichardi ENSNBRG00000016325
oreochromis_niloticus ENSONIG00000010251
amphilophus_citrinellus ENSACIG00000004268
hippocampus_comes ENSHCOG00000004210
poecilia_latipinna ENSPLAG00000021958
poecilia_formosa ENSPFOG00000013317
poecilia_mexicana ENSPMEG00000020851
poecilia_reticulata ENSPREG00000001484
xiphophorus_maculatus ENSXMAG00000008156
xiphophorus_couchianus ENSXCOG00000005361
gambusia_affinis ENSGAFG00000017823
fundulus_heteroclitus ENSFHEG00000019350
cyprinodon_variegatus ENSCVAG00000004525
kryptolebias_marmoratus ENSKMAG00000008640
oryzias_latipes_asm223467v1 ENSORLG00000026320
oryzias_latipes_asm223469v1 ENSORLG00015020678
oryzias_latipes_asm223471v1 ENSORLG00020005591
oryzias_melastigma ENSOMEG00000017283
gadus_morhua ENSGMOG00000016360
esox_lucius ENSELUG00000012077
pygocentrus_nattereri ENSPNAG00000017342
astyanax_mexicanus ENSAMXG00000029258
ictalurus_punctatus ENSIPUG00000014319
danio_rerio ENSDARG00000025948
scleropages_formosus ENSSFOG00015007517
paramormyrops_kingsleyae ENSPKIG00000021434
lepisosteus_oculatus ENSLOCG00000004851
pan_troglodytes ENSPTRG00000014743
pan_paniscus ENSPPAG00000031143
homo_sapiens ENSG00000076242
gorilla_gorilla ENSGGOG00000016342
pongo_abelii ENSPPYG00000014021
nomascus_leucogenys ENSNLEG00000004886
mandrillus_leucophaeus ENSMLEG00000029367
cercocebus_atys ENSCATG00000040935
papio_anubis ENSPANG00000017238
theropithecus_gelada ENSTGEG00000020248
macaca_fascicularis ENSMFAG00000000774
macaca_mulatta ENSMMUG00000022533
macaca_nemestrina ENSMNEG00000045140
chlorocebus_sabaeus ENSCSAG00000014144
rhinopithecus_roxellana ENSRROG00000036305
rhinopithecus_bieti ENSRBIG00000027553
piliocolobus_tephrosceles ENSPTEG00000022988
colobus_angolensis_palliatus ENSCANG00000010176
saimiri_boliviensis_boliviensis ENSSBOG00000027454
callithrix_jacchus ENSCJAG00000012414
aotus_nancymaae ENSANAG00000028316
cebus_capucinus_imitator ENSCCAG00000019967
aotus_nancymaae ENSANAG00000022463
carlito_syrichta ENSTSYG00000005359
propithecus_coquereli ENSPCOG00000012761
microcebus_murinus ENSMICG00000049403
prolemur_simus ENSPSMG00000016260
otolemur_garnettii ENSOGAG00000008416
castor_canadensis ENSCCNG00000003043
dipodomys_ordii ENSDORG00000005831
mus_spicilegus ENSMSIG00000026406
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000032498
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033903
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032755
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015622
rattus_norvegicus ENSRNOG00000033809
meriones_unguiculatus ENSMUGG00000021580
cricetulus_griseus_crigri-picr ENSCGRG00015018967
cricetulus_griseus_crigri_1.0 ENSCGRG00000011460
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022452
mesocricetus_auratus ENSMAUG00000015550
microtus_ochrogaster ENSMOCG00000019848
peromyscus_maniculatus_bairdii ENSPEMG00000009556
nannospalax_galili ENSNGAG00000021659
jaculus_jaculus ENSJJAG00000021943
spermophilus_dauricus ENSSDAG00000005764
marmota_marmota_marmota ENSMMMG00000011531
urocitellus_parryii ENSUPAG00010005272
ictidomys_tridecemlineatus ENSSTOG00000005413
cavia_porcellus ENSCPOG00000003928
cavia_aperea ENSCAPG00000005062
octodon_degus ENSODEG00000006098
chinchilla_lanigera ENSCLAG00000004334
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002978
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009720
fukomys_damarensis ENSFDAG00000002303
tupaia_belangeri ENSTBEG00000007744
ursus_maritimus ENSUMAG00000006371
ursus_americanus ENSUAMG00000027612
ailuropoda_melanoleuca ENSAMEG00000017905
mustela_putorius_furo ENSMPUG00000002917
neovison_vison ENSNVIG00000024948
canis_lupus_familiaris ENSCAFG00000004783
canis_lupus_dingo ENSCAFG00020001378
vulpes_vulpes ENSVVUG00000006761
panthera_tigris_altaica ENSPTIG00000009444
panthera_pardus ENSPPRG00000019234
felis_catus ENSFCAG00000001371
equus_caballus ENSECAG00000000690
equus_asinus_asinus ENSEASG00005007389
pteropus_vampyrus ENSPVAG00000005087
myotis_lucifugus ENSMLUG00000003552
tursiops_truncatus ENSTTRG00000014879
sus_scrofa ENSSSCG00000024222
bos_taurus ENSBTAG00000016758
bos_mutus ENSBMUG00000005239
bison_bison_bison ENSBBBG00000019630
ovis_aries ENSOARG00000016550
capra_hircus ENSCHIG00000011953
vicugna_pacos ENSVPAG00000006828
erinaceus_europaeus ENSEEUG00000008419
sorex_araneus ENSSARG00000014377
loxodonta_africana ENSLAFG00000021468
procavia_capensis ENSPCAG00000006540
echinops_telfairi ENSETEG00000014924
choloepus_hoffmanni ENSCHOG00000002642
dasypus_novemcinctus ENSDNOG00000014454
oryctolagus_cuniculus ENSOCUG00000002240
ochotona_princeps ENSOPRG00000010675
notamacropus_eugenii ENSMEUG00000008046
phascolarctos_cinereus ENSPCIG00000021642
monodelphis_domestica ENSMODG00000013353
sarcophilus_harrisii ENSSHAG00000004752
ornithorhynchus_anatinus ENSOANG00000015305
notechis_scutatus ENSNSUG00000014899
notechis_scutatus ENSNSUG00000014900
pogona_vitticeps ENSPVIG00000015776
anolis_carolinensis ENSACAG00000010048
salvator_merianae ENSSMRG00000006084
sphenodon_punctatus ENSSPUG00000015919
apteryx_owenii ENSAOWG00000008103
apteryx_rowi ENSARWG00000013495
apteryx_haastii ENSAHAG00000009884
dromaius_novaehollandiae ENSDNVG00000001271
nothoprocta_perdicaria ENSNPEG00000000587
parus_major ENSPMJG00000011852
cyanistes_caeruleus ENSCCEG00000013318
