oryzias_melastigma ENSOMEG00000011138
oryzias_latipes_asm223467v1 ENSORLG00000025980
maylandia_zebra ENSMZEG00005017958
takifugu_rubripes ENSTRUG00000023933
sphenodon_punctatus ENSSPUG00000015615
eptatretus_burgeri ENSEBUG00000004080
ciona_savignyi ENSCSAVG00000006185
ciona_intestinalis ENSCING00000007322
eptatretus_burgeri ENSEBUG00000011272
sphenodon_punctatus ENSSPUG00000015594
ciona_intestinalis ENSCING00000023747
drosophila_melanogaster FBgn0010051
caenorhabditis_elegans_strain_n2 WBGene00002173
