spermophilus_dauricus ENSSDAG00000004339
urocitellus_parryii ENSUPAG00010023839
marmota_marmota_marmota ENSMMMG00000001253
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000090738
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033089
mus_spicilegus ENSMSIG00000015736
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031965
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014830
rattus_norvegicus ENSRNOG00000042925
meriones_unguiculatus ENSMUGG00000001648
peromyscus_maniculatus_bairdii ENSPEMG00000011589
microtus_ochrogaster ENSMOCG00000005821
cricetulus_griseus_crigri_1.0 ENSCGRG00000009776
cricetulus_griseus_crigri-picr ENSCGRG00015008519
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018035
mesocricetus_auratus ENSMAUG00000011718
nannospalax_galili ENSNGAG00000012302
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033090
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000032108
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031966
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014831
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033088
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000098847
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031964
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014829
rattus_norvegicus ENSRNOG00000039445
cricetulus_griseus_crigri-picr ENSCGRG00015008579
cricetulus_griseus_crigri-picr ENSCGRG00015008529
mesocricetus_auratus ENSMAUG00000014230
microtus_ochrogaster ENSMOCG00000010226
meriones_unguiculatus ENSMUGG00000013075
cricetulus_griseus_crigri-picr ENSCGRG00015008571
cricetulus_griseus_crigri-picr ENSCGRG00015008554
cricetulus_griseus_crigri-picr ENSCGRG00015008595
cricetulus_griseus_crigri-picr ENSCGRG00015008548
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019285
cricetulus_griseus_crigri_1.0 ENSCGRG00000003386
peromyscus_maniculatus_bairdii ENSPEMG00000011844
castor_canadensis ENSCCNG00000013014
dasypus_novemcinctus ENSDNOG00000032899
dasypus_novemcinctus ENSDNOG00000040324
