sus_scrofa ENSSSCG00000003898
vicugna_pacos ENSVPAG00000012363
capra_hircus ENSCHIG00000025017
ovis_aries ENSOARG00000002565
bos_mutus ENSBMUG00000019092
bos_taurus ENSBTAG00000019933
bison_bison_bison ENSBBBG00000015483
tursiops_truncatus ENSTTRG00000011909
sorex_araneus ENSSARG00000014477
pteropus_vampyrus ENSPVAG00000016880
myotis_lucifugus ENSMLUG00000007816
ursus_americanus ENSUAMG00000003802
ursus_maritimus ENSUMAG00000023560
ailuropoda_melanoleuca ENSAMEG00000014008
mustela_putorius_furo ENSMPUG00000012773
neovison_vison ENSNVIG00000019797
canis_lupus_familiaris ENSCAFG00000004205
canis_lupus_familiaris ENSCAFG00000008135
canis_lupus_dingo ENSCAFG00020014775
vulpes_vulpes ENSVVUG00000007048
panthera_tigris_altaica ENSPTIG00000004539
panthera_pardus ENSPPRG00000019784
felis_catus ENSFCAG00000007999
equus_asinus_asinus ENSEASG00005004902
castor_canadensis ENSCCNG00000003426
dipodomys_ordii ENSDORG00000007207
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028708
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027289
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026317
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028649
meriones_unguiculatus ENSMUGG00000010656
jaculus_jaculus ENSJJAG00000009067
octodon_degus ENSODEG00000009653
octodon_degus ENSODEG00000014905
chinchilla_lanigera ENSCLAG00000003888
cavia_aperea ENSCAPG00000015459
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100001814
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000820
ochotona_princeps ENSOPRG00000017297
oryctolagus_cuniculus ENSOCUG00000003495
pan_paniscus ENSPPAG00000000987
pan_troglodytes ENSPTRG00000046874
gorilla_gorilla ENSGGOG00000012084
homo_sapiens ENSG00000079277
pongo_abelii ENSPPYG00000001392
nomascus_leucogenys ENSNLEG00000016447
piliocolobus_tephrosceles ENSPTEG00000037671
colobus_angolensis_palliatus ENSCANG00000015434
rhinopithecus_roxellana ENSRROG00000039899
rhinopithecus_bieti ENSRBIG00000033459
macaca_mulatta ENSMMUG00000020162
macaca_nemestrina ENSMNEG00000037534
macaca_fascicularis ENSMFAG00000026976
mandrillus_leucophaeus ENSMLEG00000043277
cercocebus_atys ENSCATG00000041619
papio_anubis ENSPANG00000017534
theropithecus_gelada ENSTGEG00000001473
chlorocebus_sabaeus ENSCSAG00000001237
aotus_nancymaae ENSANAG00000022817
callithrix_jacchus ENSCJAG00000021149
saimiri_boliviensis_boliviensis ENSSBOG00000025387
loxodonta_africana ENSLAFG00000015556
dasypus_novemcinctus ENSDNOG00000039937
monodelphis_domestica ENSMODG00000001951
gallus_gallus ENSGALG00000010440
xenopus_tropicalis ENSXETG00000016357
saccharomyces_cerevisiae_strain_s288c YKL171W
