anabas_testudineus ENSATEG00000022413
mastacembelus_armatus ENSMAMG00000011984
seriola_lalandi_dorsalis ENSSLDG00000004245
monopterus_albus ENSMALG00000000432
labrus_bergylta ENSLBEG00000022990
maylandia_zebra ENSMZEG00005012563
astatotilapia_calliptera ENSACLG00000008726
pundamilia_nyererei ENSPNYG00000005264
haplochromis_burtoni ENSHBUG00000011849
neolamprologus_brichardi ENSNBRG00000021645
oreochromis_niloticus ENSONIG00000014246
amphilophus_citrinellus ENSACIG00000020802
xiphophorus_maculatus ENSXMAG00000010272
xiphophorus_couchianus ENSXCOG00000009426
gambusia_affinis ENSGAFG00000017171
poecilia_formosa ENSPFOG00000011970
poecilia_latipinna ENSPLAG00000023902
poecilia_mexicana ENSPMEG00000015691
poecilia_reticulata ENSPREG00000009352
fundulus_heteroclitus ENSFHEG00000005556
cyprinodon_variegatus ENSCVAG00000000958
kryptolebias_marmoratus ENSKMAG00000005570
amphiprion_ocellaris ENSAOCG00000004313
acanthochromis_polyacanthus ENSAPOG00000012479
stegastes_partitus ENSSPAG00000018192
oryzias_latipes_asm223471v1 ENSORLG00020007680
oryzias_latipes_asm223469v1 ENSORLG00015017141
oryzias_latipes_asm223467v1 ENSORLG00000001755
oryzias_melastigma ENSOMEG00000015671
periophthalmus_magnuspinnatus ENSPMGG00000014441
mola_mola ENSMMOG00000010324
scophthalmus_maximus ENSSMAG00000008038
cynoglossus_semilaevis ENSCSEG00000020148
hippocampus_comes ENSHCOG00000006250
esox_lucius ENSELUG00000023908
pygocentrus_nattereri ENSPNAG00000022192
astyanax_mexicanus ENSAMXG00000031424
danio_rerio ENSDARG00000104992
